Candidate,Candidate Status,Beginning Funds on Hand,Monetary Contributions,Monetary Expenditures,Non-Monetary Contributions,Other Receipts,Ending Funds on Hand,Year
"ALBRITTON, GREGORY LAMAR",Active,0.0,685650.0,604347.26,48438.66,24445.24,259998.76,2025
"ALEXANDER, LOUISE UNITA",Active,0.0,37607.0,48714.53,0.0,0.0,-11107.53,2022
"ALLEN, GERALD",Active,174128.63,403146.49,365693.1,23218.25,51382.12,164274.22,2025
"BARFOOT, CHARLES WILLIAMSON",Active,0.0,298231.25,535410.34,5217.93,21688.36,0.0,2025
"BEASLEY, WILLIAM M ""BILLY""",Active,75688.62,456250.0,613381.23,0.0,0.0,111240.53,2025
"BELL, LANCE",Active,0.0,381070.0,186420.94,0.0,40268.0,234917.06,2025
"BENDERSON, JAMES RICHARD",Dissolved,1357.34,960.0,2317.34,928.34,0.0,0.0,2022
"BOATWRIGHT, DAVID ALAN",Dissolved,0.0,3795.0,3795.0,0.0,0.0,0.0,2023
"BUTLER, TOM",Active,48763.08,952845.56,998374.17,108479.34,2120.93,34501.59,2026
"CARNLEY, JOSHUA",Active,0.0,615119.05,691737.91,7957.75,254264.66,177645.8,2025
"CHAMBLISS, CLYDE",Active,0.0,300079.37,318895.7,1460.71,1993.14,296521.49,2026
"CHESTEEN, JAMES DONALD",Active,93638.17,449950.0,338240.37,19244.44,0.0,294893.34,2025
"CHRISTINE, BRIAN S.",Active,0.0,254727.19,253170.18,1287.93,0.0,1557.01,2023
"COKER, JOHN ALLEN",Dissolved,0.0,6166.49,6166.49,1230.0,0.0,0.0,2022
"COLEMAN-MADISON, LINDA",Active,126988.28,261930.0,191424.21,0.0,2000.0,280845.7,2025
"COLEMAN, MERIKA ",Active,0.0,273425.0,216757.33,170.0,5000.0,61667.67,2025
"DRAPER, WENDY GHEE",Active,0.0,297987.0,317817.74,16912.82,30963.76,11133.02,2023
"DUNN, MICHAEL BLAKE",Dissolved,0.0,50.0,0.0,2546.17,0.0,50.0,2022
"ELLIOTT, CHRIS",Active,116064.36,441319.0,362846.61,1314.46,1182.26,240213.61,2025
"FIGURES, VIVIAN DAVIS",Active,22212.94,369460.0,422336.35,1112.5,32795.04,2197.55,2025
"GIVHAN, SAM",Active,30410.38,554996.24,263693.64,47964.27,46347.74,475090.47,2025
"GUDGER, GARLAN EDWARD",Active,12562.31,880376.49,585345.89,16068.38,102737.1,563059.04,2026
"HATCHER, LYCURGUS THONTHIEUS",Active,10199.28,140050.0,78660.78,500.0,989.76,86850.88,2025
"HOLTZCLAW, BILL",Dissolved,0.0,13650.0,28650.0,3582.94,15000.0,0.0,2022
"HORTON, NORMAN ",Dissolved,0.0,25329.03,47656.03,924.03,22327.0,0.0,2026
"HOVEY, JAMES THOMAS",Active,0.0,677889.78,552645.12,42270.96,224066.15,614920.08,2026
"HUNTLEY, RODNEY",Dissolved,60.0,2307.9,3367.9,205.0,1000.0,0.0,2022
"JONES, ANDREW",Active,42306.49,458565.62,281153.96,8635.75,3688.18,223406.33,2025
"JONES, MICHAEL L",Dissolved,0.0,714099.91,724822.91,32705.51,10723.0,0.0,2024
"KELLEY, KEITH",Active,0.0,425247.11,206318.63,3098.92,41486.46,269020.69,2025
"LEE, FRANK ""CHRIS""",Active,0.0,11430.0,11000.0,14052.74,0.0,430.0,2025
"LEWIS, KIMBERLY CAUDLE",Dissolved,0.0,158355.64,166547.96,35732.67,8192.32,0.0,2024
"LIVINGSTON, STEVE",Active,45495.72,308550.0,208609.27,4092.81,13477.81,268797.01,2025
"MATHIS, WILLIAM NATHAN",Active,5719.36,0.0,0.0,12019.36,0.0,5719.36,2026
"MCCULLARS, DANNY ALLEN",Active,0.0,7199.59,3268.53,236.31,0.0,3931.06,2023
"MELSON, TIMOTHY IVAN",Active,0.0,696110.0,596946.86,34482.97,80453.65,344231.27,2025
"MELTON, DARRIO TRAMAN",Dissolved,0.0,38241.5,82441.5,6784.68,44200.0,0.0,2023
"MURRAY, MONA LISA",Dissolved,0.0,901.0,697.05,13700.0,0.0,203.95,2022
"NIMMER, JOHN MICHAEL",Dissolved,0.0,4217.88,2860.0,3731.42,0.0,1357.88,2022
"ORR, ARTHUR",Active,594099.63,340801.0,112183.63,7016.66,135937.07,1320105.71,2026
"POWELL, EVERETT",Dissolved,0.0,74325.0,185325.0,7500.0,111000.0,0.0,2022
"PRICE, RANDY",Active,63871.39,679329.66,476381.77,3742.43,215.44,217427.94,2025
"REED, GREG J",Active,279947.72,498380.0,309568.09,3746.15,104294.37,781890.88,2026
"REESE, SHERRI",Active,0.0,11596.22,11046.25,1390.96,0.0,549.97,2026
"RHEA, TERESA COX",Dissolved,0.0,35930.0,50930.0,1715.95,15000.0,0.0,2026
"RIEHM, PETE JOSEF",Active,0.0,97460.32,120273.44,50.0,22813.12,0.0,2024
"ROBERTS, DANIEL JARRELL",Active,114642.5,585180.55,371795.63,43257.18,17232.96,447181.66,2025
"SANDERS FORTIER, MALIKA ASHA",Dissolved,33165.25,21573.52,56064.28,2491.28,1863.92,538.41,2022
"SANDERS, HENRY",Dissolved,67277.83,77425.14,192060.67,0.0,0.0,-24934.93,2024
"SANDERS, HENRY",Active,0.0,157644.21,157644.21,6998.53,0.0,0.0,2026
"SCOFIELD, CLAY DANIEL",Active,120153.43,340025.0,80658.63,6261.67,307.0,551284.9,2026
"SESSIONS, DAVID ROSS",Active,4000.0,347111.07,303062.04,4892.85,0.0,327732.3,2025
"SEXTON, STEPHEN",Dissolved,0.0,500.0,500.0,29614.49,0.0,0.0,2023
"SHELNUTT, SHAY WESLEY",Active,0.0,556505.0,470775.13,8710.53,110714.99,307859.02,2025
"SHEPHERD, PORTIA",Dissolved,0.0,8745.78,1837.59,0.0,0.0,6908.19,2024
"SIMS, MITCHELL LAMAR",Dissolved,0.0,925.0,10925.0,166.0,10000.0,0.0,2021
"SINGLETON, BOBBY D",Active,45250.62,566575.0,444492.02,9420.0,57.53,312978.54,2025
"SMITH, CORNELIUS D",Active,500.0,1500.0,50.0,0.0,0.0,1950.0,2024
"SMITHERMAN, RODGER MELL",Active,1153.1,301200.0,393437.09,0.0,1449.28,144244.84,2025
"STEWART, ROBERT LEE",Active,0.0,311348.36,311665.46,3946.88,331.25,14.15,2025
"STUTTS, LARRY COLLINS",Active,6036.03,583718.53,586764.6,12694.15,75035.0,51167.8,2024
"SUTHERLAND, JOHN THOMAS",Dissolved,0.0,14937.0,17037.0,3921.22,2100.0,0.0,2022
"WAGGONER, JAMES T",Active,364017.06,339550.0,461939.89,2863.86,0.0,455142.31,2025
"WARD, LISA",Dissolved,0.0,87604.82,87604.82,6782.92,0.0,0.0,2024
"WEAVER, APRIL C.",Active,0.0,330330.46,165215.16,5278.22,0.0,240376.35,2025
