state,year,chamber,district,dem_votes,rep_votes,dem_incumbent,rep_incumbent,incumbency_balance,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,dem_candidate,rep_candidate,legislative_dem_margin,outcome_eligible,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,outcome_priority,,,LIBERTARIAN,OTHER,NONPARTISAN,INDEPENDENT,election_date,election_stage,race_id,office,dem_candidate_count,rep_candidate_count,candidate_count,winner_name,winner_party,stage_total_votes,source_files,race_index_source,selected_final_stage,is_final_stage,selected_priority,selected
AL,1994,house,1,7385.0,4946.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Starkey,Phillips,19.779417727678208,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,1,7385.0,4396.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"starkey, nelson, jr","phillips, duane",25.371360665478313,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,2,8019.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"hamilton, james h",,100.0,False,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,3,True
AL,1994,house,3,7723.0,3821.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Black,Smallwood,33.8011088011088,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,3,7723.0,3821.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"black, marcel","smallwood, john",33.8011088011088,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,4,5012.0,9236.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Smith,Papucci,-29.646266142616508,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,4,5012.0,9236.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"smith, rose","papucci, nelson",-29.646266142616508,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,5,7602.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"carter, tommy",,100.0,False,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,3,True
AL,1994,house,6,6409.0,6770.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Schmitz,Jorgensen,-2.73920631307383,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,6,6409.0,6770.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"schmitz, sue","jorgensen, lee",-2.73920631307383,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,7,6188.0,5641.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Letson,Randolph,4.624228590751543,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,7,6188.0,5641.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"letson, sam r","randolph, b",4.624228590751543,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,8,8391.0,2602.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Dukes,New,52.66078413535887,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
AL,1994,house,8,8391.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"dukes, bill j",,100.0,False,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,1,False
AL,1994,house,9,9001.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"parker, paul",,100.0,False,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,3,True
AL,1994,house,10,0.0,10090.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,"haney, jim",-100.0,False,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,3,True
AL,1994,house,11,6582.0,5936.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"drake, tom","oden, jeremy h",5.160568780955424,True,Klarner State Legislative Election Returns,data/raw/historical_statewide_elections/dataverse_files.zip,Klarner candidate-contest archive,Klarner contest archive,source_observed,3,,,,,,,,,,,,,,,,,,,,,3,True
AL,1994,house,12,7159.0,6564.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Morrison,Bowling,4.335786635575311,True,Canonical Alabama election warehouse export,data/processed/war/cmo_v5_races.csv,Canonical Alabama candidate export,Canonical Alabama candidate export,canonical_reviewed,1,,,,,,,,,,,,,,,,,,,,,1,True
