state,year,chamber,district,dem_votes,rep_votes,legislative_dem_margin,dem_candidate,rep_candidate,dem_incumbent,rep_incumbent,incumbency_balance,outcome_eligible,dem_win,rep_win,uncont,dontuse,bigthird,dswitch,rswitch,outcome_source,outcome_source_path,candidate_source,incumbency_source,incumbency_quality,klarner_dem_votes,klarner_rep_votes,klarner_legislative_dem_margin,klarner_dem_candidate,klarner_rep_candidate,klarner_incumbency_balance,_merge,dem_vote_difference_texas_minus_klarner,rep_vote_difference_texas_minus_klarner,margin_difference_texas_minus_klarner,selected_outcome_source
TX,1994,house,1,,,,,,,,,,,,,,,,,,,,,,22036.0,0.0,100.0,"telford, barry b",,1.0,right_only,,,,klarner_fallback
TX,1994,house,2,,,,,,,,,,,,,,,,,,,,,,22374.0,0.0,100.0,"ramsay, tom",,1.0,right_only,,,,klarner_fallback
TX,1994,house,3,17577.0,11765.0,19.807784063799332,L.P. (Pete) Patterson,Ken McKim,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,17577.0,11765.0,19.807784063799332,"patterson, l p (pete)","mckim, ken",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,4,16935.0,14891.0,6.422421919185571,Keith Oakley,Jerry Speight,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,16935.0,14891.0,6.422421919185571,"oakley, keith","speight, jerry",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,5,17371.0,12377.0,16.787683205593652,Bob Glaze,Lance Lenz,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,17371.0,12377.0,16.787683205593652,"glaze, bob","lenz, lance",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,6,11142.0,24419.0,-37.33584544866567,Randy Hanson,Ted Kamel,0.0,1.0,-1.0,True,0.0,1.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,11142.0,24419.0,-37.33584544866567,"hanson, randy","kamel, ted",-1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,7,,,,,,,,,,,,,,,,,,,,,,0.0,23764.0,-100.0,,"yost, jerry",-1.0,right_only,,,,klarner_fallback
TX,1994,house,8,,,,,,,,,,,,,,,,,,,,,,23720.0,0.0,100.0,"sadler, paul",,1.0,right_only,,,,klarner_fallback
TX,1994,house,9,,,,,,,,,,,,,,,,,,,,,,22184.0,0.0,100.0,"johnson, jerry k",,1.0,right_only,,,,klarner_fallback
TX,1994,house,10,,,,,,,,,,,,,,,,,,,,,,0.0,23260.0,-100.0,,"pitts, james r (jim)",-1.0,right_only,,,,klarner_fallback
TX,1994,house,11,,,,,,,,,,,,,,,,,,,,,,21854.0,0.0,100.0,"bomer, elton",,1.0,right_only,,,,klarner_fallback
TX,1994,house,12,,,,,,,,,,,,,,,,,,,,,,24491.0,0.0,100.0,"alexander, clyde",,1.0,right_only,,,,klarner_fallback
TX,1994,house,13,,,,,,,,,,,,,,,,,,,,,,25313.0,0.0,100.0,"kubiak, dan b",,1.0,right_only,,,,klarner_fallback
TX,1994,house,14,,,,,,,,,,,,,,,,,,,,,,0.0,21325.0,-100.0,,"ogden, steve",-1.0,right_only,,,,klarner_fallback
TX,1994,house,15,,,,,,,,,,,,,,,,,,,,,,0.0,28504.0,-100.0,,"brady, kevin",-1.0,right_only,,,,klarner_fallback
TX,1994,house,16,,,,,,,,,,,,,,,,,,,,,,0.0,25078.0,-100.0,,"rabuck, bob",-1.0,right_only,,,,klarner_fallback
TX,1994,house,17,22577.0,10547.0,36.318077526868734,Billy Clemons,David Youngblood,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,22577.0,10547.0,36.318077526868734,"clemons, billy","youngblood, david",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,18,21234.0,10577.0,33.50099022350759,"Allen Ross Hightower, Jr.",Earl Carter,1.0,0.0,1.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,21234.0,10577.0,33.50099022350759,"hightower, allen r, jr","carter, earl",1.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,19,,,,,,,,,,,,,,,,,,,,,,22350.0,0.0,100.0,"lewis, ron e",,1.0,right_only,,,,klarner_fallback
TX,1994,house,20,,,,,,,,,,,,,,,,,,,,,,21727.0,0.0,100.0,"zbranek, zeb d",,1.0,right_only,,,,klarner_fallback
TX,1994,house,21,,,,,,,,,,,,,,,,,,,,,,24192.0,0.0,100.0,"stiles, mark",,1.0,right_only,,,,klarner_fallback
TX,1994,house,22,,,,,,,,,,,,,,,,,,,,,,18869.0,0.0,100.0,"price, albert j",,1.0,right_only,,,,klarner_fallback
TX,1994,house,23,15717.0,13638.0,7.082268778742974,Patricia Gray,Robin Fontenot,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,15717.0,13638.0,7.082268778742974,"gray, patricia","fontenot, robin",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,24,16804.0,15215.0,4.962678409694244,Craig Eiland,Jerry Purdon,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,,,,Texas official returns normalized by the Texas project,external://texas-state-house-and-state-senate-model/data/processed/elections/sos_canonical_candidate_totals_1992_2018.csv,Texas Secretary of State candidate-total exports,Texas official outcomes; Klarner source-observed 1994 incumbency,source_observed,16804.0,15215.0,4.962678409694244,"eiland, craig","purdon, jerry",0.0,both,0.0,0.0,0.0,texas_official_upstream
TX,1994,house,25,,,,,,,,,,,,,,,,,,,,,,0.0,26734.0,-100.0,,"harris, jack",-1.0,right_only,,,,klarner_fallback
