result_unit_id,county,result_precinct,result_precinct_norm,result_match_norm,source_file,source_layout,is_non_geographic,vtd_geoid,vtd_code,vtd_name,vtd_name_norm,match_method,match_score,score_margin,candidate_count,candidate_2_name,candidate_2_score,candidate_3_name,candidate_3_score,accepted_match,needs_review,review_reason,accepted_units_for_vtd,relationship_note,openelections_unit_found,house_inferred_districts,senate_inferred_districts,house_inferred_district_count,senate_inferred_district_count,house_largest_activity_share,senate_largest_activity_share,house_spatial_districts,senate_spatial_districts,house_largest_spatial_share,senate_largest_spatial_share,house_district_compatible,senate_district_compatible,district_validation,validated_match,accepted_unvalidated,accepted_conflict,recommended_vtd_geoid,recommended_vtd_name,recommended_score,recommended_margin,recommendation_method,constrained_candidate_count
1,AUTAUGA,0040 E_MEMORIAL CHRISTIAN,40 E MEMORIAL CHRISTIAN,E MEMORIAL CHRISTIAN,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,46.51,1.08,2,CHURCH OF THE LIVING WATER,45.43,SAFE HARBOR MINISTRIES,42.86,False,True,low_or_ambiguous_score,,,True,88,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,False,True,conflict,False,False,False,010010020,Church of the Living Water,45.43,2.58,district_constrained_review,7
4,AUTAUGA,110 CENTRAL AL ELECTRIC,110 CENTRAL AL ELECTRIC,CENTRAL AL ELECTRIC,2014-General-Autauga.xlsx,contest_rows,False,010010080,0080,Independence Voting Center,INDEPENDENCE VOTING CENTER,review,46.44,0.23,3,BILLINGSLEY GOVERNMENT CENTER,46.22,AUTAUGAVILLE,45.0,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,0.9999999999999993,0.9999999999999993,True,True,compatible,False,False,False,010010080,Independence Voting Center,46.44,1.44,district_constrained_review,7
6,AUTAUGA,140 AUTAUGAVILLE VFD,140 AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,AUTAUGAVILLE VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,90.0,4.5,1,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,1.0000000000000002,0.999999981300777,True,True,compatible,False,False,False,010010140,Autaugaville,90.0,5.18,district_constrained_review,7
8,AUTAUGA,160 AUTAUGA ACADEMY,160 AUTAUGA ACADEMY,AUTAUGA ACADEMY,2014-General-Autauga.xlsx,contest_rows,False,010010140,0140,Autaugaville,AUTAUGAVILLE,review,59.26,23.63,1,INDEPENDENCE VOTING CENTER,35.62,MARBURY COMMUNITY CENTER,34.62,False,True,low_or_ambiguous_score,,,True,42;69;88,30,3.0,1.0,0.4888888888888889,1.0,69,30,1.0000000000000002,0.999999981300777,True,True,compatible,False,False,False,010010140,Autaugaville,59.26,23.63,district_constrained_review,17
10,AUTAUGA,180 OLD KINGSTON VFD,180 OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010180,0180,Old Kingston Vote Site,OLD KINGSTON VOTE SITE,review,85.5,0.0,3,PINE LEVEL FIRE STATION,85.5,WHITE CITY FIRE STATION,85.5,False,True,low_or_ambiguous_score,,,True,69,30,1.0,1.0,1.0,1.0,69,30,1.0000000000000002,1.0000000000000002,True,True,compatible,False,False,False,010010180,Old Kingston Vote Site,85.5,0.68,district_constrained_review,7
11,AUTAUGA,20 JOURNEY CHURCH,20 JOURNEY CHURCH,20 JOURNEY CHURCH,2014-General-Autauga.xlsx,contest_rows,False,010010020,0020,Church of the Living Water,CHURCH OF THE LIVING WATER,review,85.5,34.52,1,TRINITY METHODIST CHURCH,50.98,PRATTMONT BAPTIST CHURCH,49.57,False,True,low_or_ambiguous_score,,,True,88,30,1.0,1.0,1.0,1.0,88,30,1.0000000000000007,1.0000000000000007,True,True,compatible,False,False,False,010010020,Church of the Living Water,85.5,34.52,district_constrained_review,7
12,AUTAUGA,220 UPPER KINGSTON,220 UPPER KINGSTON,UPPER KINGSTON,2014-General-Autauga.xlsx,contest_rows,False,010010220,0220,Upper Kingston Community Center,UPPER KINGSTON COMMUNITY CENTER,review,90.0,4.5,1,OLD KINGSTON VOTE SITE,85.5,PINE LEVEL FIRE STATION,46.96,False,True,low_or_ambiguous_score,,,True,42;88,30,2.0,1.0,0.5482912332838039,1.0,42;88,30,0.852657671624285,1.0000000000000004,True,True,compatible,False,False,False,010010220,Upper Kingston Community Center,90.0,43.04,district_constrained_medium,12
13,AUTAUGA,30 BILLINGSLEY GOV_ BUILDING,30 BILLINGSLEY GOV BUILDING,30 BILLINGSLEY GOV BUILDING,2014-General-Autauga.xlsx,contest_rows,False,010010030,0030,Billingsley Government Center,BILLINGSLEY GOVERNMENT CENTER,review,60.71,21.94,1,OLD KINGSTON VOTE SITE,38.78,PINE LEVEL FIRE STATION,36.0,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,0.9999999999999983,0.9999999999999983,True,True,compatible,False,False,False,010010030,Billingsley Government Center,60.71,24.71,district_constrained_review,7
14,AUTAUGA,50 WHITE CITY VFD,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,50 WHITE CITY VOLUNTEER FIRE DEPARTMENT,2014-General-Autauga.xlsx,contest_rows,False,010010070,0070,Pine Level Fire Station,PINE LEVEL FIRE STATION,review,85.5,0.0,3,WHITE CITY FIRE STATION,85.5,BOOTH VOLUNTEER FIRE DEPARTMENT,84.82,False,True,low_or_ambiguous_score,,,True,42,30,1.0,1.0,1.0,1.0,42,30,1.0000000000000018,1.0000000000000018,True,True,compatible,False,False,False,010010070,Pine Level Fire Station,85.5,0.0,district_constrained_review,7
15,AUTAUGA,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,60 MARBURY MIDDLE SCHOOL,2014-General-Autauga.xlsx,contest_rows,False,010010060,0060,Marbury Community Center,MARBURY COMMUNITY CENTER,review,50.0,6.52,1,SAFE HARBOR MINISTRIES,43.48,MULBERRY STATESVILLE,36.36,False,True,low_or_ambiguous_score,,,True,31;42,30,2.0,1.0,0.637883008356546,1.0,31;42,30,0.7574514525238214,1.0000000000000013,True,True,compatible,False,False,False,010010060,Marbury Community Center,50.0,6.52,district_constrained_review,7
