canonical_candidate_id,cycle,chamber,district,party,candidate,requested_record,preferred_authority,missing_is_zero
AL-1994-house-1-D-STARKEY,1994,house,1,D,Starkey,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-1-R-PHILLIPS,1994,house,1,R,Phillips,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-3-D-BLACK,1994,house,3,D,Black,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-3-R-SMALLWOOD,1994,house,3,R,Smallwood,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-4-D-SMITH,1994,house,4,D,Smith,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-4-R-PAPUCCI,1994,house,4,R,Papucci,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-6-D-SCHMITZ,1994,house,6,D,Schmitz,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-6-R-JORGENSEN,1994,house,6,R,Jorgensen,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-7-D-LETSON,1994,house,7,D,Letson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-7-R-RANDOLPH,1994,house,7,R,Randolph,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-8-D-DUKES,1994,house,8,D,Dukes,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-8-R-NEW,1994,house,8,R,New,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-12-D-MORRISON,1994,house,12,D,Morrison,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-12-R-BOWLING,1994,house,12,R,Bowling,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-15-D-SHARP,1994,house,15,D,Sharp,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-15-R-CURRY,1994,house,15,R,Curry,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-17-D-MILLICAN,1994,house,17,D,Millican,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-17-R-HARPER,1994,house,17,R,Harper,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-19-D-HALL,1994,house,19,D,Hall,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-19-R-ANDERSON,1994,house,19,R,Anderson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-26-D-MCDANIEL,1994,house,26,D,Mcdaniel,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-26-R-HOLCOMB,1994,house,26,R,Holcomb,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-27-D-MURPHREE,1994,house,27,D,Murphree,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-27-R-MARTIN,1994,house,27,R,Martin,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-28-D-FORD,1994,house,28,D,Ford,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-28-R-O-BARR,1994,house,28,R,O'Barr,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-29-D-PAGE,1994,house,29,D,Page,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-29-R-ESTES,1994,house,29,R,Estes,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-30-D-GALLIHER,1994,house,30,D,Galliher,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-30-R-HODGES,1994,house,30,R,Hodges,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-32-D-BOYD,1994,house,32,D,Boyd,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-32-R-MONTGOMERY,1994,house,32,R,Montgomery,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-33-D-JOHNSON,1994,house,33,D,Johnson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-33-R-HATTAWAY,1994,house,33,R,Hattaway,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-35-D-SHADDIX,1994,house,35,D,Shaddix,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-35-R-SIMS,1994,house,35,R,Sims,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-36-D-CAMPBELL,1994,house,36,D,Campbell,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-36-R-ROGERS,1994,house,36,R,Rogers,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-40-D-MARTIN,1994,house,40,D,Martin,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-40-R-KNIGHT,1994,house,40,R,Knight,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-42-D-SMITH,1994,house,42,D,Smith,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-42-R-BIALAS,1994,house,42,R,Bialas,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-43-D-ROMEI,1994,house,43,D,Romei,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-43-R-SANDERSON,1994,house,43,R,Sanderson,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-46-D-JONES,1994,house,46,D,Jones,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-46-R-CARNS,1994,house,46,R,Carns,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-48-D-GULAS,1994,house,48,D,Gulas,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-48-R-HAWKINS,1994,house,48,R,Hawkins,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
AL-1994-house-49-D-HOLLADAY,1994,house,49,D,Holladay,candidate PCC receipts/summary for full election cycle,Alabama Secretary of State FCPA archive; ADAH if transferred,False
