review_id,state,cycle,chamber,district,party,candidate,likely_committee_name,provider_identity,identity_confidence,identity_status,finance_status,current_amount,blocking_issue,evidence_source_path,evidence_source_url,review_status,reviewer,reviewed_at_utc
FINREV-AL-2018-HD27-D,AL,2018,house,27,D,Bill Jones,WILLIAM B JONES,3059,high,approved_exact_scope,observed_positive,3457.46,,data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-BILL-JONES-HD27.json,https://fcpa.alabamavotes.gov/page.request.do,resolved,Codex official-source reconciliation,2026-08-31
FINREV-AL-2018-HD48-D,AL,2018,house,48,D,Alli Summerford,"ALLISON SUMMERFORD DENNING",2703,high,approved_exact_scope,observed_positive,76487.23,,data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-ALLI-SUMMERFORD-HD48.json,https://fcpa.alabamavotes.gov/page.request.do,resolved,Codex official-source reconciliation,2026-08-31
FINREV-AL-2018-HD66-D,AL,2018,house,66,D,Susan E. Smith,SUSAN ELAINE SMITH,3159,high,approved_exact_scope,observed_positive,10654.84,,data/raw/finance/southern_summaries/AL/adjudicated_committee_searches_v2/FINID-AL-SUSAN-SMITH-HD66.json,https://fcpa.alabamavotes.gov/page.request.do,resolved,Codex official-source reconciliation,2026-08-31
FINREV-NC-2016-SD3-D,NC,2016,senate,3,D,Erica Smith-Ingram,VOTE ERICA FOR NC,STA-73RLZJ-C-001,high,approved_exact_scope,observed_positive,42481.51,,data/raw/finance/southern/NC/transactions_v2/2015/NCSN.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,resolved,Codex official-source reconciliation,2026-08-31
FINREV-NC-2022-HD66-R,NC,2022,house,66,R,Ives Brizuela de Sholar,CAMPAIGN DISTRICT 66,STA-R9ID38-C-001,high,approved_exact_scope,observed_positive,125.00,,data/raw/finance/southern/NC/transactions_v2/2022/NSHS.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,resolved,Codex official-source reconciliation,2026-08-31
FINREV-NC-2022-HD117-D,NC,2022,house,117,D,Michael Greer O'Shea,O'SHEA FOR NC,STA-220225-C-001,high,approved_exact_scope,observed_positive,20322.13,,data/raw/finance/southern/NC/transactions_v2/2022/NSHS.csv,https://cf.ncsbe.gov/CFTxnLkup/Export,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TN-2020-HD86-R,TN,2020,house,86,R,Rob White,"WHITE, ROB",8093,high,automatic_exact_name_scope,unknown,,Official filer report list returns no reports; the source contract does not define absence as zero,data/raw/finance/southern_summaries/TN/2020/report_lists/8093_page_1.html,https://apps.tn.gov/tncamp/public/replist.htm?id=8093,pending_no_report,Codex official-source reconciliation,2026-08-31
FINREV-TN-2020-HD90-D,TN,2020,house,90,D,Torrey C. Harris,"HARRIS, TORREY",6812,high,approved_exact_scope,observed_positive,100364.18,,data/raw/finance/southern_summaries/TN/report_workbooks/126167.xls,https://apps.tn.gov/tncamp/public/replist.htm?id=6812&owner=HARRIS%2C%20TORREY,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TN-2024-HD97-D,TN,2024,house,97,D,Jesse Huseth,"HUSETH, JESSE",10523,high,approved_exact_scope,observed_positive,251801.82,,data/raw/finance/southern_summaries/TN/2024/adjudicated_report_lists_v2/10523_page_1.html,https://apps.tn.gov/tncamp/public/replist.htm?id=10523&owner=HUSETH%2C%20JESSE,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2016-HD13-D,TX,2016,house,13,D,Cecil R. Webster,"Webster Sr., Cecil (Mr.)",00070477,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2015-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2016-HD13-R,TX,2016,house,13,R,Leighton Schubert,"Schubert, Leighton (Mr.)",00070460,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2015-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2016-HD41-R,TX,2016,house,41,R,Hilda Garza De Shazo,"DeShazo, Hilda Garza (Ms.)",00080430,high,approved_exact_identity,observed_positive,85838.74,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2016-HD109-R,TX,2016,house,109,R,A. Denise Russell,"Russell, Alissa D. (Mrs.)",00069509,high,approved_exact_scope,observed_zero,0.00,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD1-R,TX,2018,house,1,R,Gary VanDeaver,"VanDeaver, Gary W. (The Honorable)",00069367,high,approved_exact_scope,observed_positive,150736.37,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD26-D,TX,2018,house,26,D,L. Sarah DeMerchant,"DeMerchant, Laquitta S. (Mrs.)",00070962,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2017-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD49-R,TX,2018,house,49,R,Kyle Austin,"Frels-Henry, Kyle Austin (Mr.)",00082449,high,approved_exact_scope,observed_zero,0.00,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD55-R,TX,2018,house,55,R,Hugh D. Shine,"Shine, Hugh D. (The Honorable)",00026513,high,approved_exact_scope,observed_positive,655346.46,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD150-D,TX,2018,house,150,D,Michael Shawn Kelly,"Kelly, Michael Shawn (Mr.)",00069766,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2017-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2020-HD2-D,TX,2020,house,2,D,Bill Brannon,"Brannon Jr., William Everett (Mr.)",00082377,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2019-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2020-HD28-D,TX,2020,house,28,D,Elizabeth Eliz Markowitz,"Markowitz, Elizabeth A. (Ms.)",00082081,high,exact_filer,review_overlapping_report_periods,,Positive report periods overlap and cannot be summed without report-level supersession evidence,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2020-HD142-R,TX,2020,house,142,R,Jason Rowe,"Rowe, Jason D. (Mr.)",00084443,high,approved_exact_scope,unknown,,The exact district-matched TEC filer has no report cover in the cycle window; absence is not an explicit zero,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_no_report,Codex official-source reconciliation,2026-08-31
FINREV-TX-2022-HD22-R,TX,2022,house,22,R,Jacorion Randle,"Randle, Jacorion X. (Mr.)",00084342,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2021-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2022-HD31-D,TX,2022,house,31,D,Martha M. Gutierrez,"Gutierrez, Martha M.",00086413,high,approved_exact_scope,unknown,,The exact district-matched TEC filer has no report cover in the cycle window; absence is not an explicit zero,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_no_report,Codex official-source reconciliation,2026-08-31
FINREV-TX-2024-HD6-D,TX,2024,house,6,D,Cody J. Grace,"Grace, Cody J. (Mr.)",00085740,high,exact_filer,review_boundary_spanning_report,,A positive report crosses the fixed 2023-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TX-2024-HD99-D,TX,2024,house,99,D,Mimi Coffey,"Coffey, Elizabeth M. (Ms.)",00085868,high,approved_exact_identity,review_boundary_spanning_report,,A positive report crosses the fixed 2023-01-01 cycle boundary and cannot be wholly allocated,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,pending_period_reconciliation,Codex official-source reconciliation,2026-08-31
FINREV-TN-2018-HD92-R,TN,2018,house,92,R,Rick Tillis,"TILLIS, THOMAS R.",6029,high,approved_exact_scope,observed_positive,155183.28,,data/raw/finance/southern_summaries/TN/2018/candidate_index_page_6.html,https://apps.tn.gov/tncamp/public/replist.htm?id=6029,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-HD41-R,TX,2018,house,41,R,Hilda Garza De Shazo,"DeShazo, Hilda Garza (Mrs.)",00080430,high,approved_exact_scope,observed_positive,50546.40,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
FINREV-TX-2018-SD7-R,TX,2018,senate,7,R,Paul Bettencourt,"Bettencourt, Paul",00069337,high,approved_exact_scope,observed_zero,0.00,,texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,resolved,Codex official-source reconciliation,2026-08-31
