adjudication_id,state_code,cycle_start,cycle_end,chamber,district,party,candidate_name,provider_identity,provider_candidate_name,evidence_source_path,evidence_source_url,evidence_quote,rationale,review_status,reviewer
FINID-TX-RICK-MILLER-HD26,TX,2016,2018,house,26,R,"D.F. Rick Miller",00062278,"Miller, Dana F. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Rick; ctaSeekOfficeDistrict=26; filerHoldOfficeDistrict=26","Official TEC filer registry supplies the candidate's Rick short name, Miller surname, and exact House district.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-SERGIO-MUNOZ-HD36,TX,2016,2024,house,36,D,"Sergio Munoz Jr.",00065967,"Munoz Jr., Sergio (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameSuffixCd=JR; ctaSeekOfficeDistrict=36; filerHoldOfficeDistrict=36","The Jr. suffix and exact House district distinguish this filer from Sergio Munoz Sr.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-BOBBY-GUERRA-HD41,TX,2016,2024,house,41,D,"Bobby Guerra",00035579,"Guerra, Roberto D. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Bobby; ctaSeekOfficeDistrict=41; filerHoldOfficeDistrict=41","Official TEC short name and exact House district establish the recurring candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-JM-LOZANO-HD43,TX,2016,2024,house,43,R,"J.M. Lozano",00065802,"Lozano, Jose M. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=J.M.; ctaSeekOfficeDistrict=43; filerHoldOfficeDistrict=43","Official TEC short name and exact House district establish the recurring candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-PHIL-KING-HD61,TX,2016,2020,house,61,R,"Phil King",00036483,"King, Phillip S. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Phil; filerIdent remains 00036483 across House and later Senate reports","The stable TEC filer and exact short-name identity bridge the candidate's House service before his Senate move.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-RON-SIMMONS-HD65,TX,2016,2018,house,65,R,"Ron Simmons",00068046,"Simmons, Ronald E. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Ron; ctaSeekOfficeDistrict=65; filerHoldOfficeDistrict=65","Official TEC short name and exact House district establish the candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-STEVE-ALLISON-HD121,TX,2018,2022,house,121,R,"Steve Allison",00082201,"Allison, Stephen P. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Steve; ctaSeekOfficeDistrict=121; filerHoldOfficeDistrict=121","Official TEC short name and exact House district establish the recurring candidate identity.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-DIEGO-BERNAL-HD123,TX,2018,2018,house,123,D,"Diego Bernal",00070466,"Bernal, Diego M. (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"candidate source misspells Bernal as Bernanl; ctaSeekOfficeDistrict=123","Exact given name, corrected surname, party, office, and district resolve the election-source typographical error.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-SAM-HARLESS-HD126,TX,2018,2022,house,126,R,"E. Sam Harless",00069334,"Harless, Eric (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"filerNameShort=Sam; ctaSeekOfficeDistrict=126; filerHoldOfficeDistrict=126","Official TEC short name and exact House district distinguish this filer from Patricia Harless.",approved,Codex official-source reconciliation 2026-08-31
FINID-TX-JOSE-MENENDEZ-SD26,TX,2020,2020,senate,26,D,"Jose Menendez",00042411,"Menendez, Jose (The Honorable)",texas-state-house-and-state-senate-model/data/raw/tx_ethics/tec_cf_csv/TEC_CF_CSV.zip,https://www.ethics.state.tx.us/search/cf/,"Election source encoded combining accents as HTML entities; the same TEC filer is resolved in adjacent cycles.","HTML entity decoding restores the exact recurring official candidate identity.",approved,Codex official-source reconciliation 2026-08-31
