canonical_candidate_id,research_name,identity_status,source_url,notes
AL-1998-house-65-D-DOLBARE,Jeff Dolbare,verified_identity,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,Contemporaneous roster and office history resolve the surname-only incumbent as Jeff Dolbare.
AL-1998-house-4-D-MANCUSO,"Angelo ""Doc"" Mancuso",verified_identity,https://en.wikipedia.org/wiki/Angelo_Mancuso_%28American_politician%29,Office history identifies Mancuso as the Democrat elected to House District 4 in 1998.
AL-1994-house-104-D-ROCKHOLD,Lois M. Rockhold,verified_identity,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,The contemporaneous 1994 legislative roster identifies the abbreviated incumbent as Lois M. Rockhold.
AL-1998-house-80-D-VANCE,Lesley Vance,verified_identity,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,Contemporaneous office continuity identifies the surname-only incumbent as Lesley Vance.
AL-1998-senate-26-D-LANGFORD,Charles D. Langford,verified_identity,https://files.eric.ed.gov/fulltext/ED409043.pdf,The contemporaneous 1994-1998 Alabama legislative directory identifies the Democratic senator for District 26 as Charles D. Langford.
AL-1998-senate-11-D-PREUITT,Jim Preuitt,verified_identity,https://en.wikipedia.org/wiki/Jim_Preuitt,Office history identifies the senator elected to District 11 in 1994 and reelected in 1998 as James Edward "Jim" Preuitt.
AL-1994-house-43-D-ROMEI,David Romei,verified_identity,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,The contemporaneous general-election roster gives the candidate's full name as David Romei.
AL-1994-senate-9-D-MITCHEM,Hinton Mitchem,verified_identity,https://www.forestry.alabama.gov/Pages/Informational/Treasured_Forests/Magazine/1994_Fall.pdf,The contemporaneous roster and continuous Senate service resolve the abbreviated candidate as Hinton Mitchem.
AL-2006-house-32-R-BEN-LITTLE,Benjamin L. Little,verified_identity,https://lwval.org/election2006/election2006_candidates.pdf,The same-cycle League candidate roster identifies Ben Little as Benjamin L. Little.
AL-2002-house-6-R-FARGERSON-SHAWN,Shawn Fargerson,verified_identity,https://www2.alabamavotes.gov/downloads/election/2002/r-cert-061002-amend.pdf,The official Republican candidate certification confirms the source's inverted surname-first identity.
