chamber,district,voted_all,reg_all,voted_gender_male,reg_gender_male,voted_gender_female,reg_gender_female,voted_gender_unknown,reg_gender_unknown,voted_age_18_19,reg_age_18_19,voted_age_20_24,reg_age_20_24,voted_age_25_29,reg_age_25_29,voted_age_30_34,reg_age_30_34,voted_age_35_44,reg_age_35_44,voted_age_45_54,reg_age_45_54,voted_age_55_64,reg_age_55_64,voted_age_65_74,reg_age_65_74,voted_age_75_84,reg_age_75_84,voted_age_85over,reg_age_85over,voted_party_democratic,reg_party_democratic,voted_party_republican,reg_party_republican,voted_party_ind_npp,reg_party_ind_npp,voted_party_others,reg_party_others,voted_eur,reg_eur,voted_hisp,reg_hisp,voted_aa,reg_aa,voted_esa,reg_esa,voted_oth,reg_oth,voted_unk,reg_unk,voted_self_afam,reg_self_afam,voted_eur_party_democratic,reg_eur_party_democratic,voted_eur_party_republican,reg_eur_party_republican,voted_eur_party_ind_npp,reg_eur_party_ind_npp,voted_eur_party_others,reg_eur_party_others,voted_hisp_party_democratic,reg_hisp_party_democratic,voted_hisp_party_republican,reg_hisp_party_republican,voted_hisp_party_ind_npp,reg_hisp_party_ind_npp,voted_hisp_party_others,reg_hisp_party_others,voted_aa_party_democratic,reg_aa_party_democratic,voted_aa_party_republican,reg_aa_party_republican,voted_aa_party_ind_npp,reg_aa_party_ind_npp,voted_aa_party_others,reg_aa_party_others,voted_esa_party_democratic,reg_esa_party_democratic,voted_esa_party_republican,reg_esa_party_republican,voted_esa_party_ind_npp,reg_esa_party_ind_npp,voted_esa_party_others,reg_esa_party_others,voted_oth_party_democratic,reg_oth_party_democratic,voted_oth_party_republican,reg_oth_party_republican,voted_oth_party_ind_npp,reg_oth_party_ind_npp,voted_oth_party_others,reg_oth_party_others,voted_unk_party_democratic,reg_unk_party_democratic,voted_unk_party_republican,reg_unk_party_republican,voted_unk_party_ind_npp,reg_unk_party_ind_npp,voted_unk_party_others,reg_unk_party_others,voted_self_afam_party_democratic,reg_self_afam_party_democratic,voted_self_afam_party_republican,reg_self_afam_party_republican,voted_self_afam_party_ind_npp,reg_self_afam_party_ind_npp,voted_self_afam_party_others,reg_self_afam_party_others,l2_general_turnout_rate,cycle,status
house,1,22216,35432,9977,16356,12239,19076,0,256,208,319,1330,2554,1475,3140,1437,3015,2964,5407,3128,4907,3928,5586,4229,5498,2675,3630,842,1366,4392,7787,13357,17126,4467,10519,0,0,18531,28768,339,714,1595,3104,129,243,158,267,1464,2592,1588,3084,2291,3555,12118,15528,4122,9685,0,0,221,556,117,156,1,2,0,0,1496,2974,98,126,1,4,0,0,82,182,47,61,0,0,0,0,81,176,76,90,1,1,0,0,221,344,901,1165,342,827,0,0,1489,2955,98,125,1,4,0,0,0.6270038383382254,2026,experimental_L2_derived_not_forecast_promoted
house,2,25732,38734,12121,18546,13611,20187,0,590,231,383,1382,2592,1591,3167,1696,3088,3346,5545,3817,5608,5102,6845,4913,6410,3007,3962,647,1123,3500,6130,17650,22352,4582,10252,0,0,22065,32629,472,1029,1149,2001,116,230,166,259,1764,3175,1143,1985,1856,2924,15976,20237,4233,9468,0,0,300,813,170,214,2,2,0,0,1052,1853,95,146,2,2,0,0,51,147,65,82,0,1,0,0,67,141,99,118,0,0,0,0,174,252,1245,1555,345,779,0,0,1047,1838,94,145,2,2,0,0,0.6643259152166056,2026,experimental_L2_derived_not_forecast_promoted
house,3,19449,32959,8473,15041,10973,17912,3,526,182,278,1009,2247,1240,3040,1294,2891,2900,5515,2867,4786,3603,5293,3673,4949,2057,2844,620,1106,5901,11450,10249,13091,3299,8418,0,0,13997,22282,367,760,3659,7539,125,232,121,226,1180,2440,3623,7428,1841,2924,9123,11640,3033,7718,0,0,260,627,107,132,0,1,0,0,3523,7335,136,204,0,0,0,0,72,168,53,64,0,0,0,0,54,149,67,77,0,0,0,0,151,247,763,974,266,699,0,0,3494,7232,129,196,0,0,0,0,0.5900967869170788,2026,experimental_L2_derived_not_forecast_promoted
house,4,25170,37398,11592,17757,13577,19640,1,789,266,408,1499,2996,1583,3126,1668,3103,4150,6532,4611,6417,4748,6186,3728,4742,2225,2839,691,1044,6676,11174,15110,19204,3384,7020,0,0,18292,26039,901,1626,3130,5365,618,1125,295,519,1934,3512,3079,5278,2162,3004,13157,16788,2973,6247,0,0,626,1301,274,321,1,4,0,0,2946,5127,182,234,2,4,0,0,462,939,155,185,1,1,0,0,185,381,110,138,0,0,0,0,295,422,1232,1538,407,764,0,0,2901,5051,176,223,2,4,0,0,0.6730306433499118,2026,experimental_L2_derived_not_forecast_promoted
house,5,25253,38003,11491,17821,13762,20182,0,524,202,329,1284,2647,1614,3251,1794,3285,3875,6351,4004,5791,4899,6530,4387,5496,2514,3238,678,1074,5508,9690,15492,19233,4253,9080,0,0,19137,27809,686,1451,3316,5554,197,370,179,297,1738,3046,3290,5500,1677,2619,13573,16872,3887,8318,0,0,468,1182,218,269,0,0,0,0,3006,5180,307,369,3,5,0,0,109,266,88,103,0,1,0,0,78,172,101,125,0,0,0,0,170,271,1205,1495,363,756,0,0,2984,5132,303,363,3,5,0,0,0.6645001710391285,2026,experimental_L2_derived_not_forecast_promoted
house,6,27344,39989,12706,19221,14636,20765,2,92,270,426,1561,2959,2009,3684,2121,3642,4244,6741,4509,6302,5722,7347,4286,5358,2177,2775,445,753,8511,13088,16621,22550,2212,4351,0,0,18127,26133,913,1512,5792,8580,273,491,262,493,1977,2869,5703,8435,1854,2665,14522,19971,1751,3497,0,0,621,1178,290,329,2,5,0,0,5472,8186,313,382,7,12,0,0,176,370,95,119,2,2,0,0,146,344,115,148,1,1,0,0,242,345,1286,1601,449,834,0,0,5399,8059,297,364,7,12,0,0,0.6837880417114707,2026,experimental_L2_derived_not_forecast_promoted
house,7,22164,34827,10329,16505,11834,18321,1,909,193,301,1213,2296,1390,2759,1366,2735,2974,5230,3385,5222,4677,6541,4040,5426,2347,3250,577,1050,4548,8136,13758,17244,3858,9447,0,0,17519,26873,310,714,2658,4679,101,150,359,550,1217,2769,2645,4639,1503,2490,12433,15607,3583,8776,0,0,208,578,102,136,0,0,0,0,2574,4566,84,112,0,1,0,0,44,84,57,66,0,0,0,0,125,277,231,268,3,5,0,0,94,141,851,1055,272,665,0,0,2565,4531,80,107,0,1,0,0,0.6364027909380653,2026,experimental_L2_derived_not_forecast_promoted
house,8,17552,29802,7584,13458,9968,16344,0,240,136,230,934,2295,983,2626,991,2488,2249,4610,2612,4298,3480,4983,3426,4519,2146,2777,593,968,5674,11814,9405,11884,2473,6104,0,0,11887,18096,782,2029,3779,7792,81,181,124,262,899,1682,3753,7721,1211,1938,8416,10588,2260,5570,0,0,625,1818,150,195,7,16,0,0,3620,7538,143,214,16,40,0,0,35,125,46,56,0,0,0,0,68,199,56,63,0,0,0,0,115,196,594,768,190,478,0,0,3597,7474,140,207,16,40,0,0,0.5889537614925173,2026,experimental_L2_derived_not_forecast_promoted
house,9,21473,32906,10135,15853,11337,17052,1,686,199,300,1230,2307,1286,2645,1281,2541,3074,5114,3488,5156,4294,5904,3922,5095,2152,2895,546,944,2263,4205,15478,19426,3732,9275,0,0,18779,28296,361,714,510,1114,111,191,165,297,1547,2979,505,1105,1316,2138,14025,17597,3438,8561,0,0,229,552,130,160,2,2,0,0,475,1061,34,50,1,3,0,0,46,101,65,88,0,2,0,0,71,167,94,126,0,4,0,0,126,186,1130,1405,291,703,0,0,470,1052,34,50,1,3,0,0,0.6525557649060961,2026,experimental_L2_derived_not_forecast_promoted
house,10,23203,36329,10810,17559,12389,18763,4,598,196,324,1302,2679,1818,3703,1903,3644,3986,6677,3775,5607,4314,5826,3462,4508,1824,2391,620,960,8948,15397,13082,18757,1173,2175,0,0,14429,21141,1084,2060,4901,8715,658,1214,337,571,1794,3219,4815,8541,2415,3283,11262,16503,752,1355,0,0,827,1740,257,319,0,1,0,0,4671,8441,229,273,1,1,0,0,464,976,194,236,0,2,0,0,211,425,125,145,1,1,0,0,360,532,1015,1281,419,815,0,0,4598,8284,216,256,1,1,0,0,0.6386908530375183,2026,experimental_L2_derived_not_forecast_promoted
