district,total,white,black,hispanic,chamber,cycle,cvap_method,total_moe,cvap_nonwhite_share,cvap_black_share,cvap_hispanic_share,cvap_other_nonwhite_share,cvap_moe_ratio
1,36589.4501886945,29864.03689898698,5735.588584153804,402.95145631067965,house,2010,native_2010_block_group_population_allocation,,0.18380744326640786,0.15675525471344745,0.011012777022683566,0.01603941153027684,
2,34035.5498113055,32490.963101013025,1005.4114158461966,281.04854368932035,house,2010,native_2010_block_group_population_allocation,,0.04538157070638571,0.029540037443797417,0.008257499739168755,0.007584033523419537,
3,32259.99356662351,25337.281026735567,6051.200564971751,394.0402877697842,house,2010,native_2010_block_group_population_allocation,,0.21459125605809937,0.18757600036326044,0.012214518485752642,0.014800737209086283,
4,37115.97127092107,32678.115381889358,3404.3304472413615,286.50567795762936,house,2010,native_2010_block_group_population_allocation,,0.11956728430029262,0.09172144310577486,0.0077192019539603285,0.02012663924055743,
5,33902.486423300565,29169.03881587065,3801.2604123223264,357.306516541689,house,2010,native_2010_block_group_population_allocation,,0.1396194824275987,0.11212335180554159,0.010539242227853787,0.01695688839420332,
6,38438.73550337371,25001.711756761048,11413.504097269217,512.6703089122448,house,2010,native_2010_block_group_population_allocation,,0.3495698693166771,0.2969271477795483,0.01333733542996617,0.03930538610716262,
7,31074.611937367365,25430.17016396835,3062.0,264.0,house,2010,native_2010_block_group_population_allocation,,0.18164158525215723,0.09853703100690796,0.008495681314769334,0.07460887293047994,
8,27953.959863623346,19470.034502618317,7012.529448847208,840.5616172281518,house,2010,native_2010_block_group_population_allocation,,0.3034963705462428,0.2508599669978297,0.030069500755132,0.02256690279328109,
9,33486.366653522186,31690.056056550136,971.4623804219697,261.8432890123177,house,2010,native_2010_block_group_population_allocation,,0.05364304272118181,0.029010683376716497,0.007819399808930191,0.016812959535535122,
10,36425.77879929538,27964.79456963854,5933.872935819319,1128.2427432100992,house,2010,native_2010_block_group_population_allocation,,0.23228011887615452,0.16290311783077382,0.030973743881405325,0.03840325716397537,
11,31640.30389692385,30416.622927132335,140.98406951484432,491.2940940617712,house,2010,native_2010_block_group_population_allocation,,0.03867475400293119,0.004455838034114178,0.015527477095741045,0.018691438873075963,
12,34169.94034311066,32827.46663309098,524.5893769152196,358.7222850607984,house,2010,native_2010_block_group_population_allocation,,0.03928814907311795,0.0153523644363338,0.010498182948485127,0.013437601688299024,
13,30983.27098499596,28293.795683880835,1946.1810067321996,337.18626041729374,house,2010,native_2010_block_group_population_allocation,,0.0868041112385306,0.06281392973887949,0.010882849024577826,0.013107332475073286,
14,30302.073300313514,28590.02869474444,1185.8189932678004,126.75949757992464,house,2010,native_2010_block_group_population_allocation,,0.05649925629185781,0.039133262648913585,0.004183195530010586,0.013182798112933642,
15,36676.44792741209,29976.402340157896,5922.441853381319,107.80693937159457,house,2010,native_2010_block_group_population_allocation,,0.18267978405418472,0.16147806529963518,0.0029394051350054356,0.018262313619544106,
16,30694.3953308303,27146.053270674955,3023.8002211396188,251.00728762342797,house,2010,native_2010_block_group_population_allocation,,0.1156022792405782,0.0985131060100223,0.008177626075315102,0.008911547155240791,
17,32894.876124463204,31256.966995867915,840.0,234.05424200278165,house,2010,native_2010_block_group_population_allocation,,0.04979222667986316,0.025535891876343326,0.0071152188297411035,0.01714111597377873,
18,31340.00643337649,28892.718973264433,1427.7994350282486,627.9597122302158,house,2010,native_2010_block_group_population_allocation,,0.07808828837717607,0.04555836445226987,0.020037000106083294,0.012492923818822908,
