canonical_candidate_id,cycle,chamber,district,party,candidate,incumbent,prior_candidate_name,prior_party,match_method,match_confidence,review_status
AL-1994-house-1-D-STARKEY,1994,house,1,D,Starkey,1,"Nelson Starkey, Jr.",D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-1-R-PHILLIPS,1994,house,1,R,Phillips,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-2-D-HAMILTON,1994,house,2,D,Hamilton,1,James Hamilton,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-3-D-BLACK,1994,house,3,D,Black,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-3-R-SMALLWOOD,1994,house,3,R,Smallwood,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-4-D-SMITH,1994,house,4,D,Smith,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-4-R-PAPUCCI,1994,house,4,R,Papucci,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-5-D-CARTER,1994,house,5,D,Carter,1,Tommy Carter,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-6-D-SCHMITZ,1994,house,6,D,Schmitz,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-6-R-JORGENSEN,1994,house,6,R,Jorgensen,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-7-D-LETSON,1994,house,7,D,Letson,1,Sam Letson,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-7-R-RANDOLPH,1994,house,7,R,Randolph,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-8-D-DUKES,1994,house,8,D,Dukes,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-8-R-NEW,1994,house,8,R,New,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-9-D-PARKER,1994,house,9,D,Parker,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-10-D-HANEY,1994,house,10,R,Haney,0,,,no_unique_prior_winner_match+shor_mccarty_1996_serving_roster,low,unknown
AL-1994-house-11-D-DRAKE,1994,house,11,D,Drake,1,Tom Drake,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-12-D-MORRISON,1994,house,12,D,Morrison,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-12-R-BOWLING,1994,house,12,R,Bowling,1,W.C. Bill Bowling,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-13-D-HOGAN,1994,house,13,D,Hogan,1,Tom Hogan,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-14-D-GUIN,1994,house,14,D,Guin,0,,,no_unique_prior_winner_match+shor_mccarty_1996_serving_roster,low,unknown
AL-1994-house-15-D-SHARP,1994,house,15,D,Sharp,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-15-R-CURRY,1994,house,15,R,Curry,1,Johnny Curry,R,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-16-D-COLLINS,1994,house,16,D,Collins,0,,,no_unique_prior_winner_match+shor_mccarty_1996_serving_roster,low,unknown
AL-1994-house-17-D-MILLICAN,1994,house,17,D,Millican,1,Mike Millican,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
AL-1994-house-17-R-HARPER,1994,house,17,R,Harper,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-18-D-MORROW,1994,house,18,D,Morrow,1,Johnny Mack Morrow,D,unique_chamber_surname_to_1990_winner+shor_mccarty_1996_serving_roster,medium,supported
AL-1994-house-19-D-HALL,1994,house,19,D,Hall,0,,,no_unique_prior_winner_match+1994_ballot_order,low,unknown
AL-1994-house-19-R-ANDERSON,1994,house,19,R,Anderson,1,Morris Anderson,D,unique_chamber_surname_to_1990_winner+1994_ballot_order,medium,supported
