left_node_id,right_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,relationship,left_year,left_county_key,left_precinct_key,left_name_norm,left_precinct_code,right_precinct_key,right_name_norm,right_precinct_code
18319,20482,100.0,0,74.68936953520479,1,96.62524927136064,1,3.181010207897913,review,0,unresolved,2012,AUTAUGA,160 SAFE HARBOR MINISTRIES,SAFE HARBOR MINISTRIES,160,SAFE HARBOR MINISTRIES,SAFE HARBOR MINISTRIES,
18329,20477,100.0,0,51.486486486486484,1,93.53153153153154,1,13.848455598455615,review,0,unresolved,2012,AUTAUGA,OLD KINGSTON VOLUNTEER FIRE DEPT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,,OLD KINGSTON VOLUNTEER FIRE DEPT,OLD KINGSTON VOLUNTEER FIRE DEPARTMENT,
18317,20474,100.0,0,51.09809663250366,1,93.47974621766716,1,25.6021001550084,review,0,unresolved,2012,AUTAUGA,JONES COMMUNTY CTR,JONES COMMUNTY CENTER,,JONES COMMUNTY CTR,JONES COMMUNTY CENTER,
18327,20473,100.0,0,51.00671140939597,1,93.4675615212528,1,9.739400234366684,review,0,unresolved,2012,AUTAUGA,INDEPENDENCE VOLUNTEER FIRE DEPT,INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,,INDEPENDENCE VOLUNTEER FIRE DEPT,INDEPENDENCE VOLUNTEER FIRE DEPARTMENT,
18320,20485,100.0,0,50.943396226415096,1,93.45911949685535,1,10.373490066886305,review,0,unresolved,2012,AUTAUGA,WHITE CITY VOLUNTEER FIRE DEPT,WHITE CITY VOLUNTEER FIRE DEPARTMENT,,WHITE CITY VOLUNTEER FIRE DEPT,WHITE CITY VOLUNTEER FIRE DEPARTMENT,
18324,20484,100.0,0,50.88323998276605,1,93.45109866436881,1,31.2795490449519,review,0,unresolved,2012,AUTAUGA,UPPER KINGSTON COMMUNITY CTR,UPPER KINGSTON COMMUNITY CENTER,,UPPER KINGSTON COMMUNITY CTR,UPPER KINGSTON COMMUNITY CENTER,
18322,20476,100.0,0,50.85616438356164,1,93.44748858447488,1,93.44748858447488,review,0,unresolved,2012,AUTAUGA,MARBURY MIDDLE SCHOOL BAND ROOM,MARBURY MIDDLE SCHOOL BAND ROOM,,MARBURY MIDDLE SCHOOL BAND ROOM,MARBURY MIDDLE SCHOOL BAND ROOM,
18328,20471,100.0,0,50.82706766917293,1,93.4436090225564,1,93.4436090225564,review,0,unresolved,2012,AUTAUGA,CENTRAL ALABAMA ELECTRIC COOP,CENTRAL ALABAMA ELECTRIC COOP,,CENTRAL ALABAMA ELECTRIC COOP,CENTRAL ALABAMA ELECTRIC COOP,
18312,20475,100.0,0,50.765916706558166,1,93.43545556087443,1,12.222004148715499,review,0,unresolved,2012,AUTAUGA,JOURNEY CHURCH,JOURNEY CHURCH,,JOURNEY CHURCH,JOURNEY CHURCH,
18326,20480,100.0,0,50.765462339252906,1,93.43539497856706,1,93.43539497856706,review,0,unresolved,2012,AUTAUGA,PRATTVILLE CHAMBER OF COMMERCE,PRATTVILLE CHAMBER OF COMMERCE,,PRATTVILLE CHAMBER OF COMMERCE,PRATTVILLE CHAMBER OF COMMERCE,
18318,20482,100.0,0,50.68812689526475,1,93.4250835860353,1,4.192520021771244,review,0,unresolved,2012,AUTAUGA,SAFE HARBOR MINISTRIES,SAFE HARBOR MINISTRIES,,SAFE HARBOR MINISTRIES,SAFE HARBOR MINISTRIES,
18330,20472,100.0,0,50.68631408962454,1,93.4248418786166,1,93.4248418786166,review,0,unresolved,2012,AUTAUGA,EAST MEMORIAL CHRISTIAN ACADEMY,EAST MEMORIAL CHRISTIAN ACADEMY,,EAST MEMORIAL CHRISTIAN ACADEMY,EAST MEMORIAL CHRISTIAN ACADEMY,
