cycle,chamber,district,baseline_low,baseline_high,baseline_mean,baseline_scenario_sd,baseline_range
2010,house,1,-15.468941054688122,-15.468941054688122,-15.468941054688122,0.0,0.0
2010,house,2,-27.619409646337687,-27.61940964633768,-27.619409646337687,3.552713678800501e-15,7.105427357601002e-15
2010,house,3,-9.024082761817315,-9.024082761817315,-9.024082761817315,0.0,0.0
2010,house,4,-37.820970980838005,-37.820970980838005,-37.820970980838005,0.0,0.0
2010,house,5,-38.517348520323594,-38.517348520323594,-38.517348520323594,0.0,0.0
2010,house,6,-24.32365125243917,-24.323651252439166,-24.32365125243917,1.7763568394002505e-15,3.552713678800501e-15
2010,house,7,-14.637086280423581,-14.637086280423578,-14.63708628042358,1.7763568394002505e-15,3.552713678800501e-15
2010,house,8,-36.85200224383143,-36.85200224383143,-36.85200224383143,0.0,0.0
2010,house,9,-41.642642262947746,-41.64264226294774,-41.642642262947746,3.552713678800501e-15,7.105427357601002e-15
2010,house,10,-31.195316495005518,-31.195316495005518,-31.195316495005518,0.0,0.0
2010,house,11,-44.5638970884123,-44.56389708841229,-44.5638970884123,3.552713678800501e-15,7.105427357601002e-15
2010,house,12,-42.52102669486425,-42.52102669486425,-42.52102669486425,0.0,0.0
2010,house,13,-24.303325358841327,-24.303325358841327,-24.303325358841327,0.0,0.0
2010,house,14,-27.339750187588486,-27.33975018758848,-27.339750187588482,3.552713678800501e-15,7.105427357601002e-15
2010,house,15,-2.3701715725978314,-2.37017157259783,-2.3701715725978305,5.874748045952207e-16,1.3322676295501878e-15
2010,house,16,-30.30088571483228,-30.300885714832276,-30.300885714832283,1.7763568394002505e-15,3.552713678800501e-15
2010,house,17,-37.562224773667864,-37.562224773667864,-37.562224773667864,0.0,0.0
2010,house,18,-11.077882151389424,-11.077882151389424,-11.077882151389424,0.0,0.0
2010,house,19,10.959541848747516,10.959541848747527,10.959541848747518,4.699798436761765e-15,1.0658141036401503e-14
2010,house,20,-29.356425202432924,-29.356425202432924,-29.356425202432924,0.0,0.0
2010,house,21,-23.60251992382092,-23.602519923820918,-23.60251992382092,1.7763568394002505e-15,3.552713678800501e-15
2010,house,22,-29.724368377482733,-29.724368377482733,-29.724368377482733,0.0,0.0
2010,house,23,-16.956915048144168,-16.956915048144168,-16.956915048144168,0.0,0.0
