source_node_id,geo_node_id,name_score,code_exact,vote_score,shared_offices,composite_score,candidate_rank,score_margin,match_method,accepted,node_id,year,county_key,precinct_key,vtd,geography_name,geography_source
16110,1742,95.0,0,0.0,0,95.0,1,47.5,review,0,16110,2010,AUTAUGA,CHURCH OF LIVING WATER,000020,Church of the Living Water,census_vtd10
16111,1734,95.0,0,0.0,0,95.0,1,50.0,review,0,16111,2010,AUTAUGA,TRINITY METHODIST,000100,Trinity Methodist Church,census_vtd10
16112,1740,97.77777777777777,0,0.0,0,97.77777777777777,1,25.437352245862883,review,0,16112,2010,AUTAUGA,CAMELLIA BAPTIST CH,000170,Camelia Baptist Church,census_vtd10
16113,1737,100.0,0,0.0,0,100.0,1,26.08695652173914,exact_name,1,16113,2010,AUTAUGA,PRATTMONT BAPTIST CH,000150,Prattmont Baptist Church,census_vtd10
16114,1741,90.0,0,0.0,0,90.0,1,41.3953488372093,review,0,16114,2010,AUTAUGA,BOOTH VOL. FIRE,000090,Booth Volunteer Fire Department,census_vtd10
16115,1732,100.0,0,0.0,0,100.0,1,20.0,exact_name,1,16115,2010,AUTAUGA,JONES COMMUNITY CTR,000010,Jones Community Center,census_vtd10
16116,1739,100.0,0,0.0,0,100.0,1,53.65853658536586,exact_name,1,16116,2010,AUTAUGA,SAFE HARBOR MINISTRIES,000160,Safe Harbor Ministries,census_vtd10
16117,1746,90.0,0,0.0,0,90.0,1,4.5,review,0,16117,2010,AUTAUGA,WHITE CITY FIRE,000050,White City Fire Station,census_vtd10
16118,1745,66.66666666666667,0,0.0,0,66.66666666666667,1,22.198581560283692,review,0,16118,2010,AUTAUGA,BILLINGSLEY GOVT. BLDG,000030,Billingsley Government Center,census_vtd10
16119,1747,100.0,0,0.0,0,100.0,1,20.0,exact_name,1,16119,2010,AUTAUGA,MARBURY COMM CENTER,000060,Marbury Community Center,census_vtd10
16120,1744,62.22222222222222,0,0.0,0,62.22222222222222,1,12.347222222222229,review,0,16120,2010,AUTAUGA,PINE LEVEL CULTURAL CT,000070,Pine Level Fire Station,census_vtd10
16121,1733,90.0,0,0.0,0,90.0,1,4.5,review,0,16121,2010,AUTAUGA,UPPER KINGSTON,000220,Upper Kingston Community Center,census_vtd10
16122,1736,95.0,0,0.0,0,95.0,1,9.5,review,0,16122,2010,AUTAUGA,AUTAUGAVILLE FIRE,000140,Autaugaville,census_vtd10
16123,1738,100.0,0,0.0,0,100.0,1,53.48837209302325,exact_name,1,16123,2010,AUTAUGA,CHAMBER OF COMMERCE,000130,Chamber of Commerce,census_vtd10
16124,1735,66.66666666666667,0,0.0,0,66.66666666666667,1,0.38759689922481755,review,0,16124,2010,AUTAUGA,INDEPENDENCE FIRE DEPT,000080,Independence Voting Center,census_vtd10
16125,1735,46.44444444444444,0,0.0,0,46.44444444444444,1,0.2282282282282253,review,0,16125,2010,AUTAUGA,CENTRAL AL ELECTRIC,000080,Independence Voting Center,census_vtd10
16126,1743,68.0,0,0.0,0,68.0,1,0.2033898305084847,review,0,16126,2010,AUTAUGA,OLD KINGSTON FD,000180,Old Kingston Vote Site,census_vtd10
16129,1910,88.88888888888889,0,0.0,0,88.88888888888889,1,39.909297052154194,review,0,16129,2010,BALDWIN,"LITTLE RIVER, FERGUSON ST",000010,Little River Ferguson Store,census_vtd10
16130,1911,100.0,0,0.0,0,100.0,1,12.5,exact_name,1,16130,2010,BALDWIN,TENSAW VFD,000020,Tensaw Volunteer Fire Dept,census_vtd10
16131,1905,100.0,0,0.0,0,100.0,1,14.5,exact_name,1,16131,2010,BALDWIN,VAUGHN COMM. CENTER,000030,Vaughn Community Center,census_vtd10
16132,1900,90.0,0,0.0,0,90.0,1,4.5,review,0,16132,2010,BALDWIN,CROSSROADS DURANT,000040,Crossroads Durant Chapel Church,census_vtd10
16133,1901,90.0,0,0.0,0,90.0,1,4.5,review,0,16133,2010,BALDWIN,DOUGLASVILLE COMM.,000050,Bay Minette Douglasville Community Center,census_vtd10
