state,year,chamber,district,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,smoothing_constant,race_finance_status,finance_warehouse_run_id,finance_missing,finance_model_eligible
AL,2018,house,1,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,2,13748.97,176800.0,observed_positive,observed_positive,1,-2.4894860732407134,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,3,90321.42,370787.48,observed_positive,observed_positive,1,-1.4039370294460856,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,4,15697.18,170422.22,observed_positive,observed_positive,1,-2.328889793145989,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,5,9050.23,115701.0,observed_positive,observed_positive,1,-2.4520195884207348,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,6,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,7,22654.66,88301.71,observed_positive,observed_positive,1,-1.3284605009380743,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,8,13436.0,170856.82,observed_positive,observed_positive,1,-2.4769366015003174,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,9,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,10,10021.64,163879.56,observed_positive,observed_positive,1,-2.70535465499237,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,11,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,12,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,13,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,14,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
AL,2018,house,15,14119.55,86182.84,observed_positive,observed_positive,1,-1.7520189141548834,1000.0,complete,RUN-47B0C9AD3F2E497795F1267A1DF06B43,0,1
AL,2018,house,16,,,,observed_positive,0,,1000.0,not_democratic_republican_contest,RUN-47B0C9AD3F2E497795F1267A1DF06B43,1,0
