state_code,cycle,chamber,district,build_run_id,democratic_candidate_result_id,republican_candidate_result_id,democratic_finance_candidate_cycle_id,republican_finance_candidate_cycle_id,democratic_fundraising,republican_fundraising,democratic_finance_status,republican_finance_status,finance_complete,log_fundraising_ratio_d_to_r,smoothing_constant,race_finance_status
AL,2018,lower,1,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-1-R-PHILLIP-PETTUS,,FIN-E1ECB8F1C7B174E1304B,,137175.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,10,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-10-D-J-B-KING,AL-2018-house-10-R-MIKE-BALL,FIN-1C28162842D0957F590F,FIN-347626ACF5F849B8A7D5,10021.64,163879.56,observed_positive,observed_positive,1,-2.70535465499237,1000.0,complete
AL,2018,lower,100,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-100-R-VICTOR-GASTON,,FIN-ACAA413F76989B5B7EA8,,74478.62,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,101,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-101-R-CHRIS-PRINGLE,,FIN-6BBF1CD7C93B000EC1A5,,103175.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,102,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-102-R-SHANE-STRINGER,,FIN-799A62A1881D12937013,,129848.68,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,103,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-103-D-BARBARA-DRUMMOND,,FIN-A74D3BCA93C47F72F44E,,61650.0,,observed_positive,,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,104,RUN-133197C8B7B94F21A2939B438EDAF692,AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,AL-2018-house-104-R-MARGIE-WILCOX,FIN-A0AABADA702C7D2D3073,FIN-6E12369995EB97B1FBEE,6155.02,104401.05,observed_positive,observed_positive,1,-2.6899583898543913,1000.0,complete
AL,2018,lower,105,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-105-R-CHIP-BROWN,,FIN-89096B9F729EA2E01B82,,129809.3,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,11,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-11-R-RANDALL-SHEDD,,FIN-477AB8C49998D4C31DAF,,102705.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
AL,2018,lower,12,RUN-133197C8B7B94F21A2939B438EDAF692,,AL-2018-house-12-R-COREY-HARBISON,,FIN-C5BAB6040FBD06D02E2F,,156770.0,,observed_positive,0,,1000.0,not_democratic_republican_contest
