family,df,scale,brier
student_t,5.0,8.25,0.04052841418378221
student_t,5.0,8.5,0.04052999801565205
student_t,5.0,8.0,0.04055359313897635
student_t,5.0,8.75,0.04055683155821309
student_t,5.0,7.75,0.04060714221126611
student_t,5.0,9.0,0.04060749045093047
student_t,5.0,9.25,0.040680633708954944
student_t,5.0,7.5,0.040690768617160686
student_t,5.0,9.5,0.040774998640083396
student_t,5.0,7.25,0.04080628502489797
student_t,5.0,9.75,0.040889396047982876
student_t,5.0,7.0,0.040955614808750276
student_t,5.0,10.0,0.04102270573033866
student_t,5.0,6.75,0.041140796642753816
student_t,5.0,10.25,0.0411738722673496
student_t,5.0,10.5,0.0413419010879941
student_t,5.0,6.5,0.04136398794831923
student_t,5.0,10.75,0.04152585479716838
student_t,5.0,6.25,0.041627466541849074
student_t,5.0,11.0,0.04172484974497263
student_t,5.0,6.0,0.0419336296287057
student_t,5.0,11.25,0.041938052819221215
student_t,5.0,11.5,0.04216467844304422
student_t,5.0,5.75,0.042284989067607866
student_t,5.0,11.75,0.04240398576079079
student_t,5.0,12.0,0.042655275997034524
student_t,5.0,5.5,0.04268416160981166
student_t,5.0,12.25,0.04291788997512108
student_t,5.0,5.25,0.04313385265628384
student_t,5.0,12.5,0.04319120578326747
student_t,5.0,12.75,0.043474636577651805
student_t,5.0,5.0,0.043636832088099486
student_t,5.0,13.0,0.04376762851319127
student_t,5.0,13.25,0.044069658793786104
student_t,5.0,4.75,0.044195901133562164
student_t,5.0,13.5,0.0443802338347169
student_t,5.0,13.75,0.044698887530636694
student_t,5.0,4.5,0.04481385045994089
student_t,5.0,14.0,0.04502517962321841
student_t,5.0,14.25,0.04535869416302347
student_t,5.0,4.25,0.04549341248555813
student_t,5.0,14.5,0.045699038060568804
student_t,5.0,14.75,0.04604583972190608
student_t,5.0,4.0,0.04623721665588434
student_t,5.0,15.0,0.04639874776430548
student_t,5.0,3.75,0.047047767410437244
student_t,5.0,3.5,0.04792748441567005
student_t,5.0,3.25,0.04887887844476536
student_t,5.0,3.0,0.04990498942659371
student_t,5.0,2.75,0.051010286005944504
student_t,5.0,2.5,0.05220229724441044
student_t,5.0,2.25,0.053494230221258765
student_t,5.0,2.0,0.05490846495136359
