state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_office,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,cycle_gate,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
AR,2008,house,3,6516.0,1746.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"powers, david (bubba)","bradford, evelyn j",USP,2730.0,4375.0,-23.15270935960591,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,6516.0,1746.0,57.734204793028326,80.88691415263423,1.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,13,7342.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hall, clark m",,USP,2249.0,1980.0,6.360841806573658,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,7342.0,0.0,100.0,93.63915819342634,1.0,False,False,False,False,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,14,8357.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"rogers, tiffany",,USP,2232.0,4267.0,-31.312509616864133,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,8357.0,0.0,100.0,131.31250961686413,0.0,False,False,False,False,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,15,5736.0,3935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"mccrary, walls","hatcher, doug",USP,3491.135922330097,5747.543689320389,-24.423487574402266,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,5736.0,3935.0,18.622686381966705,43.046173956368975,0.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,28,7088.0,5512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"nix, barbara","mccoy, david",USP,2097.667991882982,5045.526814476388,-41.26807265523568,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,7088.0,5512.0,12.507936507936508,53.77600916317218,0.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,29,5518.0,9505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"smith, scott","clemmer, ann v",USP,2440.332008117018,5292.473185523612,-36.88365484432689,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,5518.0,9505.0,-26.53930639685815,10.34434844746874,0.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,33,8561.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"allen, fred",,USP,3561.8,1436.2,42.529011604641866,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,8561.0,0.0,100.0,57.470988395358134,1.0,False,False,False,False,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,34,7529.0,1602.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"lewellen, wilhelmina e","broadway, herbert l",USP,4095.9203781512606,591.0859243697479,74.77767742484923,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,7529.0,1602.0,64.91074362063301,-9.866933804216217,1.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,38,7057.0,6979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"edwards, john c","eichler, kelly",USP,4274.80462184874,5251.939075630252,-10.256751780150081,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,7057.0,6979.0,0.5557138785978911,10.812465658747971,0.0,True,False,False,True,False,partial_unresolved,OpenElections context + Klarner outcome
AR,2008,house,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,USP,3777.926577669903,1206.2688106796118,51.596247069316426,0.2940724060536815,206925.0,672069.0,199627.0,187804.0,0.9407745445255401,0.0,0.0,,,0.0,False,False,False,False,False,partial_unresolved,OpenElections context + Klarner outcome
