state,year,chamber,district,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,baseline_dem_votes,baseline_rep_votes,baseline_dem_margin,baseline_office,legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,staging_reconciliation_gate,reconciliation_status,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,coverage_gate,model_eligible_permissive,model_eligible,baseline_allocation_quality,panel_source
TN,1998,house,1,4230.0,5390.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"akard, joe m","godsey, steven m (steve)",2028.9919888540578,7025.906304423546,-55.18465424707442,GOV,9517,8964,0.941893453819481,False,material_mismatch,4230.0,5390.0,-12.058212058212058,43.12644218886236,-1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,2,0.0,8822.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"westmoreland, keith",2164.7237896203414,8720.856495994427,-60.22768225813353,GOV,8824,8824,1.0,True,within_one_percent,0.0,8822.0,-100.0,-39.77231774186647,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,3,2483.0,8150.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"davenport, jeffrey","mumpower, jason e",1991.1072796934866,7495.819923371648,-58.024189770315104,GOV,10633,9491,0.8925985140600019,True,exact,2483.0,8150.0,-53.296341578105896,4.727848192209208,-1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,4,0.0,7625.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"cole, ralph",1722.0,6639.0,-58.80875493362038,GOV,7676,7223,0.9409848879624805,True,within_one_percent,0.0,7625.0,-100.0,-41.19124506637962,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,5,0.0,5534.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,"whitson, zane c, jr",1775.0,6893.0,-59.04476234425473,GOV,8237,7816,0.9488891586742746,True,exact,0.0,5534.0,-100.0,-40.95523765574527,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,6,0.0,7495.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"davis, david",1673.7202481947475,7119.88636578208,-61.9332471494805,GOV,7567,7461,0.9859918065283467,True,within_one_percent,0.0,7495.0,-100.0,-38.0667528505195,0.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,7,0.0,6064.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"patton, robert d (bob)",1522.4566936373667,5377.530910428299,-55.87074119552642,GOV,6233,6233,1.0,False,material_mismatch,0.0,6064.0,-100.0,-44.12925880447358,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,8,4404.0,6808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"owenby, mae s","mccord, joe",2216.0,8188.0,-57.400999615532484,GOV,10540,9027,0.8564516129032258,False,material_mismatch,4404.0,6808.0,-21.441312879058152,35.95968673647433,0.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,9,6937.0,3394.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"givens, ken","brooks, richard (rick)",1764.0,5794.0,-53.320984387404074,GOV,9948,7440,0.7478890229191797,False,material_mismatch,6937.0,3394.0,34.29484077049656,87.61582515790064,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,10,3790.0,6540.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"farmer, wade l","ford, stancil",2305.0,7684.0,-53.84923415757333,GOV,10309,9798,0.9504316616548647,True,within_one_percent,3790.0,6540.0,-26.621490803484996,27.227743354088332,-1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,11,0.0,5320.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"davis, ronald (ronnie) 1",1424.0,5461.0,-58.634713144517065,GOV,6194,6069,0.9798191798514692,True,within_one_percent,0.0,5320.0,-100.0,-41.365286855482935,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,12,0.0,8093.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"montgomery, richard",1695.0,8143.0,-65.54177678389917,GOV,8128,8128,1.0,True,within_one_percent,0.0,8093.0,-100.0,-34.45822321610083,0.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,13,3695.0,3038.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"tindell, harry j","cortese, jim",4280.0,12194.0,-48.0393347092388,GOV,6733,6387,0.9486113173919501,True,exact,3695.0,3038.0,9.757908807366702,57.797243516605505,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,14,0.0,10738.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"bittle, harley e, jr",1748.0,8533.0,-65.99552572706935,GOV,10738,10738,1.0,True,exact,0.0,10738.0,-100.0,-34.00447427293065,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,15,3712.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"armstrong, joseph e (joe)",,2093.0,1736.0,9.323583180987203,GOV,3325,3325,1.0,False,material_mismatch,3712.0,0.0,100.0,90.6764168190128,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,16,0.0,7967.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"dunn, bill",1669.0,6526.0,-59.26784624771202,GOV,7970,7825,0.9818067754077792,True,within_one_percent,0.0,7967.0,-100.0,-40.73215375228798,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,17,5620.0,7297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"bratton, robert","woodson, jamie",1989.0,7220.0,-56.803127375393636,GOV,12916,12022,0.9307835243109321,True,within_one_percent,5620.0,7297.0,-12.982890764109314,43.82023661128432,0.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,18,0.0,7560.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"buttry, steven",1824.0,6144.0,-54.21686746987952,GOV,7559,7559,1.0,True,within_one_percent,0.0,7560.0,-100.0,-45.78313253012048,0.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,19,0.0,5340.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,"boyer, jim",1323.0,4756.0,-56.47310412896858,GOV,7720,5776,0.7481865284974093,True,exact,0.0,5340.0,-100.0,-43.52689587103142,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,20,3776.0,6324.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"davis, alan","kerr, howard",1246.851554663992,5592.8555667001,-63.540791073658625,GOV,10100,6591,0.6525742574257426,True,exact,3776.0,6324.0,-25.22772277227723,38.31306830138139,-1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,21,0.0,7513.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"gunnels, douglas e",2025.148445336008,6550.1444332999,-52.76783023046664,GOV,7513,7513,1.0,True,exact,0.0,7513.0,-100.0,-47.23216976953336,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,22,3926.0,6218.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"mccoin, ann y","newton, j chris",2659.4852093023255,7040.932279069768,-45.16761340446934,GOV,10144,9888,0.9747634069400631,True,exact,3926.0,6218.0,-22.594637223974765,22.572976180494578,-1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,23,2330.0,7598.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"moss, william r","mckee, robert (bob) 1",1748.0,6310.0,-56.614544551998016,GOV,9928,8284,0.8344077356970185,True,exact,2330.0,7598.0,-53.06204673650282,3.552497815495194,-1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,24,3238.0,7022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"barrett, tommy l","bunch, dewayne",1812.5147906976745,8313.067720930232,-64.19929838868552,GOV,10262,10262,1.0,True,within_one_percent,3238.0,7022.0,-36.88109161793372,27.3182067707518,0.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,25,0.0,9268.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"walker, raymond b",2444.0166597251146,7297.210329029571,-49.82117422073219,GOV,9271,9025,0.9734656455614281,True,within_one_percent,0.0,9268.0,-100.0,-50.17882577926781,-1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,26,0.0,8574.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"wood, bobby g 1",1356.0,7280.0,-68.59657248726262,GOV,8514,7210,0.8468404980032888,True,within_one_percent,0.0,8574.0,-100.0,-31.40342751273738,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,27,0.0,8870.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"mcafee, bill (billy)",4316.0,15081.0,-55.498272928803424,GOV,9159,8330,0.9094879353641228,False,material_mismatch,0.0,8870.0,-100.0,-44.501727071196576,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,28,4408.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"brown, tommie f",,2606.0,1762.0,19.32234432234432,GOV,4603,4603,1.0,False,material_mismatch,4408.0,0.0,100.0,80.67765567765568,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,29,4496.0,3403.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"turner, brenda k","williams, james e (pat)",2248.0,3268.0,-18.491660623640318,GOV,7916,7556,0.954522486104093,True,within_one_percent,4496.0,3403.0,13.837194581592607,32.32885520523293,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,30,3442.0,8666.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"cornelison, william k","sharp, jack",1645.0,8212.0,-66.62270467687938,GOV,11469,11469,1.0,False,material_mismatch,3442.0,8666.0,-43.145028080607865,23.477676596271515,-1.0,True,True,True,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,31,5767.0,5386.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"stulce, arnold a","senters, daved",1674.0,6102.0,-56.94444444444444,GOV,8401,7901,0.9404832758005,False,material_mismatch,5767.0,5386.0,3.41612122298933,60.360565667433775,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,32,7472.0,5176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"ferguson, dennis j","brogdon, alven",2849.0,7020.0,-42.26365386563988,GOV,12050,10370,0.8605809128630706,False,material_mismatch,7472.0,5176.0,18.153067678684376,60.41672154432426,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,33,7471.0,4911.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"caldwell, marvin g","phillips, anne",2580.817042606516,7766.727652464495,-50.117305724982806,GOV,12370,10917,0.882538399353274,True,within_one_percent,7471.0,4911.0,20.67517363915361,70.79247936413641,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,34,0.0,5398.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"goins, mark k",1970.4125269978401,5052.203023758099,-43.883799055873475,GOV,5437,5060,0.9306602906014346,True,within_one_percent,0.0,5398.0,-100.0,-56.116200944126525,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,35,0.0,6026.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,"roach, dennis e (coach)",1534.0,5532.0,-56.580809510331164,GOV,5920,5328,0.9,False,material_mismatch,0.0,6026.0,-100.0,-43.419190489668836,-1.0,False,False,False,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,36,4517.0,4638.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"cross, jerry","baird, william d",2730.7704303956434,6159.069323777406,-38.564237243674256,GOV,9155,9040,0.9874385581649372,True,exact,4517.0,4638.0,-1.3216821409066084,37.242555102767646,1.0,True,True,True,True,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,37,6955.0,5222.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"rhinehart, shelby","swafford, mark",4325.5706834764915,6742.048877939628,-21.833766340211508,GOV,12179,11346,0.931603579932671,True,within_one_percent,6955.0,5222.0,14.231748378089842,36.06551471830135,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,38,6768.0,3949.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"winningham, leslie","cooper, bill",2537.0,4545.0,-28.353572437164644,GOV,9955,7797,0.7832245102963336,False,material_mismatch,6768.0,3949.0,26.304002985910238,54.65757542307488,1.0,True,False,True,False,partial_unresolved,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,39,6522.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"fraley, george w",,3134.994540942928,6190.1230406100585,-32.762359004574996,GOV,6543,6543,1.0,True,within_one_percent,6522.0,0.0,100.0,132.762359004575,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,40,6713.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"buck, frank",,2955.0,5581.0,-30.76382380506092,GOV,6787,6485,0.955503167820834,False,material_mismatch,6713.0,0.0,100.0,130.76382380506092,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,41,6111.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"windle, john m",,3374.0,4149.0,-10.301741326598432,GOV,6111,5928,0.970054000981836,True,exact,6111.0,0.0,100.0,110.30174132659843,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,42,11235.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"hargrove, jere l",,3686.0,10063.0,-46.381555022183434,GOV,11527,11527,1.0,False,material_mismatch,11235.0,0.0,100.0,146.38155502218342,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
TN,1998,house,43,6587.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"curtiss, charles",,2832.4758775883183,5522.195369749262,-32.194199059814444,GOV,6597,6549,0.9927239654388358,True,within_one_percent,6587.0,0.0,100.0,132.19419905981445,1.0,False,True,False,False,tn_ocr_turnout_join_95pct,Tennessee SOS OCR context + Klarner outcome
