state,year,chamber,district,heda_dem_votes,heda_rep_votes,heda_total_votes,dem_two_party_share,heda_dem_margin,precinct_fragment_rows,office,baseline_dem_votes,baseline_rep_votes,context_fragment_rows,split_context_rows,expected_context_groups,allocated_context_groups,incomplete_context_groups,baseline_dem_margin,baseline_allocation_quality,klarner_dem_votes,klarner_rep_votes,dinc,rinc,dswitch,rswitch,uncont,dontuse,bigthird,dem_candidate,rep_candidate,dem_votes,rep_votes,legislative_dem_margin,raw_overperformance_vs_baseline,incumbency_balance,contested_two_party,model_eligible_permissive,model_eligible,heda_dem_vote_delta,heda_rep_vote_delta,result_source,baseline_source,panel_source,baseline_office,minimum_party_vote_coverage,allocated_votes,source_votes,source_legislative_turnout,matched_legislative_turnout,legislative_turnout_join_coverage,cycle_gate,coverage_gate,allocated_context_votes,statewide_context_votes,minimum_party_context_footprint_share,staging_reconciliation_gate,reconciliation_status,legislative_turnout
AL,2010,house,1,7083.0,6877.0,13960.0,0.507378223495702,0.014756446991404,22.0,USS,5181.722929730797,8788.265428883022,22.0,5.0,22.0,22.0,0.0,-25.8163600897237,includes_turnout_share_allocation,7083.0,6877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"burdine, greg","hanson, quinton",7083.0,6877.0,1.475644699140401,27.2920047888641,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,2,6284.0,7599.0,13883.0,0.4526399193257941,-0.0947201613484117,16.0,USS,4207.277070269203,9585.73457111698,16.0,5.0,16.0,16.0,0.0,-38.994076425699646,includes_turnout_share_allocation,6284.0,7599.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"curtis, mike","greer, lynn 1",6284.0,7599.0,-9.472016134841173,29.52206029085848,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,4,5244.0,12153.0,17397.0,0.3014312812553888,-0.3971374374892222,30.0,USS,4048.99736530862,13492.547359139277,30.0,13.0,30.0,30.0,0.0,-53.83533857579286,includes_turnout_share_allocation,5244.0,12153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"goodwin, vaughn","hammon, micky",5244.0,12153.0,-39.71374374892223,14.121594826870634,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,5,8013.0,12370.0,21742.0,0.3931217190796252,-0.2137565618407496,27.0,USS,5699.077717161607,16108.337249110977,27.0,13.0,27.0,27.0,0.0,-47.7326613358271,includes_turnout_share_allocation,5402.0,8807.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"white, henry a 3","williams, dan 2",5402.0,8807.0,-23.96368498838764,23.768976347439462,1.0,True,True,True,2611.0,3563.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,7,6911.0,7096.0,14007.0,0.4933961590633254,-0.013207681873349,42.0,USS,4827.838353733636,9076.136237367264,42.0,4.0,42.0,42.0,0.0,-30.5545573015698,includes_turnout_share_allocation,6911.0,7096.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"letson, john (jody)","johnson, ken",6911.0,7096.0,-1.320768187334904,29.23378911423489,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,8,2536.0,3011.0,5547.0,0.4571840634577249,-0.0856318730845502,8.0,USS,2079.6268829663964,3484.374275782156,8.0,1.0,8.0,8.0,0.0,-25.247072254954624,includes_turnout_share_allocation,5147.0,6574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breland,"collins, terri",5147.0,6574.0,-12.17472911867588,13.072343136278745,0.0,True,True,True,-2611.0,-3563.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,9,4280.0,11382.0,15662.0,0.2732728897969608,-0.4534542204060784,20.0,USS,2855.80945599251,12843.971695055983,20.0,7.0,20.0,20.0,0.0,-63.619754587448014,includes_turnout_share_allocation,4294.0,11405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"goodwin, kathy w","henry, ed",4294.0,11405.0,-45.29587871838971,18.323875869058305,0.0,True,True,True,-14.0,-23.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,12,7667.0,9062.0,16729.0,0.4583059358001076,-0.0833881283997848,35.0,USS,3378.060430216755,13478.5510824107,35.0,6.0,35.0,35.0,0.0,-59.92005359219181,includes_turnout_share_allocation,7667.0,9062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"fields, james c, jr","buttram, mac",7667.0,9062.0,-8.33881283997848,51.58124075221333,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,13,5186.0,7990.0,13176.0,0.3935944140862173,-0.2128111718275652,22.0,USS,3530.5697464244977,9674.15104852154,22.0,3.0,22.0,22.0,0.0,-46.525643347555146,includes_turnout_share_allocation,5186.0,7990.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"sherer, tommy","roberts, bill 2",5186.0,7990.0,-21.281117182756528,25.24452616479861,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,14,4119.0,9326.0,13445.0,0.306359241353663,-0.3872815172926738,42.0,USS,3641.928029214383,9786.570325846464,42.0,7.0,42.0,42.0,0.0,-45.75822354936899,includes_turnout_share_allocation,4121.0,9327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"guin, ken","baughn, richard",4121.0,9327.0,-38.7120761451517,7.046147404217294,1.0,True,True,True,-2.0,-1.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,16,6372.0,7422.0,13794.0,0.4619399739016964,-0.0761200521966072,62.0,USS,3340.5724370112944,10438.935273675064,62.0,2.0,62.0,62.0,0.0,-51.51390735939578,includes_turnout_share_allocation,6379.0,7451.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"thigpen, william e, sr","boman, daniel h",6379.0,7451.0,-7.751265365148228,43.76264199424755,1.0,True,True,True,-7.0,-29.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,21,6201.0,6654.0,12855.0,0.4823803967327888,-0.0352392065344224,20.0,USS,4836.755427767603,8781.620273671657,20.0,14.0,20.0,20.0,0.0,-28.9672199709334,includes_turnout_share_allocation,6201.0,6654.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"hinshaw, randy","patterson, jim 2",6201.0,6654.0,-3.5239206534422403,25.44329931749116,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,22,5120.0,9371.0,14491.0,0.3533227520529984,-0.2933544958940032,38.0,USS,3179.2824003621577,11548.022393904415,38.0,15.0,38.0,38.0,0.0,-56.82465400458243,includes_turnout_share_allocation,5177.0,9523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"taylor, butch","johnson, wayne",5177.0,9523.0,-29.564625850340136,27.26002815424229,0.0,True,True,True,-57.0,-152.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,24,6971.0,7967.0,14938.0,0.4666622037756058,-0.0666755924487883,38.0,USS,4036.21987178375,10600.414138275975,38.0,6.0,38.0,38.0,0.0,-44.84770379569969,includes_turnout_share_allocation,6971.0,7967.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"ledbetter, nathaniel","greeson, todd",6971.0,7967.0,-6.667559244878833,38.180144550820856,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,26,4873.0,7203.0,12076.0,0.4035276581649553,-0.1929446836700894,25.0,USS,2328.735459695431,9733.900585403731,25.0,13.0,25.0,25.0,0.0,-61.38927758428797,includes_turnout_share_allocation,4873.0,7203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"white, randall","rich, kerry",4873.0,7203.0,-19.294468367008943,42.09480921727904,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,27,7224.0,8238.0,15462.0,0.4672099340318199,-0.0655801319363601,31.0,USS,2844.78638467086,12531.142652900202,31.0,8.0,31.0,31.0,0.0,-62.99688457562949,includes_turnout_share_allocation,7225.0,8238.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"mclaughlin, jeffrey (jeff)","long, wes",7225.0,8238.0,-6.551122033240639,56.445762542388856,1.0,True,True,True,-1.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,29,5406.0,5845.0,11251.0,0.4804906230557283,-0.0390187538885432,26.0,USS,3947.374914945692,7368.790352647443,26.0,10.0,26.0,26.0,0.0,-30.23476024603396,includes_turnout_share_allocation,5406.0,5845.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"page, john g (jack), iii","nordgren, becky",5406.0,5845.0,-3.901875388854324,26.33288485717963,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,30,4153.0,10979.0,15132.0,0.2744514935236585,-0.451097012952683,29.0,USS,2841.753435600826,12001.563476277424,29.0,9.0,29.0,29.0,0.0,-61.70999443760802,includes_turnout_share_allocation,4153.0,10979.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"burns, wally","galliher, blaine",4153.0,10979.0,-45.10970129526831,16.60029314233971,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,36,3300.0,10582.0,13882.0,0.2377179080824088,-0.5245641838351822,19.0,USS,3359.517674285244,10825.851969697304,19.0,9.0,19.0,19.0,0.0,-52.634048197533495,includes_turnout_share_allocation,3301.0,10612.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"bearden, garry","wood, randy 1",3301.0,10612.0,-52.54797671242723,0.0860714851062667,-1.0,True,True,True,-1.0,-30.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,37,8106.0,7011.0,15117.0,0.5362175034729113,0.0724350069458225,59.0,USS,4735.784341757138,10096.104078680097,59.0,6.0,59.0,59.0,0.0,-36.14050743219481,includes_turnout_share_allocation,8106.0,7011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"laird, richard","fincher, bob",8106.0,7011.0,7.243500694582258,43.38400812677707,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,38,5748.0,5980.0,11728.0,0.4901091405184175,-0.019781718963165,23.0,USS,4612.066690087885,7174.00187528613,23.0,12.0,23.0,23.0,0.0,-21.736978458829668,includes_turnout_share_allocation,5748.0,5980.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"long, huey p","bridges, duwayne",5748.0,5980.0,-1.978171896316508,19.75880656251316,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,39,7808.0,5872.0,13680.0,0.5707602339181287,0.1415204678362573,52.0,USS,3547.199564091792,10082.526285577133,52.0,6.0,52.0,52.0,0.0,-47.9490695085704,includes_turnout_share_allocation,7808.0,5872.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"lindsey, richard j","sprayberry, tim",7808.0,5872.0,14.152046783625732,62.10111629219614,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,40,5148.0,8582.0,13730.0,0.3749453750910415,-0.250109249817917,24.0,USS,3227.025594149909,10495.51919561243,24.0,1.0,24.0,24.0,0.0,-52.96753417693457,includes_turnout_share_allocation,5148.0,8587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"whaley, ricky","brown, koven l (koven) 2",5148.0,8587.0,-25.038223516563523,27.929310660371048,0.0,True,True,True,0.0,-5.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,42,5451.0,9377.0,14828.0,0.3676153223630968,-0.2647693552738063,24.0,USS,3232.875486381323,11526.96999567661,24.0,2.0,24.0,24.0,0.0,-56.19364050509599,includes_turnout_share_allocation,5452.0,9382.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"martin, james m (jimmy) 4","wallace, kurt",5452.0,9382.0,-26.493191317244168,29.700449187851824,1.0,True,True,True,-1.0,-5.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,43,4039.0,16367.0,20406.0,0.1979319807899637,-0.6041360384200726,16.0,USS,3060.919731032242,18036.16685119755,16.0,8.0,16.0,16.0,0.0,-70.98253619899846,includes_turnout_share_allocation,4041.0,16368.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"sweet, virginia","mcclurkin, mary s",4041.0,16368.0,-60.3998236072321,10.58271259176636,-1.0,True,True,True,-2.0,-1.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,45,5103.0,8165.0,13268.0,0.3846095869761833,-0.2307808260476334,16.0,USS,5265.032110238908,8632.703261294631,16.0,7.0,16.0,16.0,0.0,-24.231797922657663,includes_turnout_share_allocation,5103.0,8165.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"cannon, charlene","drake, owen",5103.0,8165.0,-23.078082604763345,1.1537153178943207,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,61,9213.0,5051.0,14264.0,0.6458917554683118,0.2917835109366237,37.0,USS,4823.773886518117,9544.55002044258,37.0,3.0,37.0,37.0,0.0,-32.85544065190162,includes_turnout_share_allocation,9213.0,5051.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"harper, alan","chandler, frank",9213.0,5051.0,29.178351093662368,62.03379174556399,1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,63,5631.0,9937.0,15568.0,0.3617034943473792,-0.2765930113052415,14.0,USS,4931.715295536758,11420.790359511397,14.0,5.0,14.0,14.0,0.0,-39.68245112314887,includes_turnout_share_allocation,5631.0,9937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"hamill, susan p","poole, bill 2",5631.0,9937.0,-27.65930113052416,12.023149992624711,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,73,8137.0,7825.0,15962.0,0.5097732113770205,0.0195464227540408,9.0,USS,7172.365190271351,9649.450999473089,9.0,4.0,9.0,9.0,0.0,-14.725436191080924,includes_turnout_share_allocation,8137.0,7825.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"hubbard, joseph l (joe)","grimes, david 2",8137.0,7825.0,1.9546422754040849,16.680078466485007,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,75,5551.0,14046.0,19597.0,0.283257641475736,-0.4334847170485278,20.0,USS,5384.44303272794,14998.596108309885,20.0,10.0,20.0,20.0,0.0,-47.16741703265173,includes_turnout_share_allocation,5551.0,14046.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"allen, glenn l","wren, greg",5551.0,14046.0,-43.348471704852784,3.81894532779895,-1.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,81,7303.0,9261.0,16564.0,0.4408959188601787,-0.1182081622796425,30.0,USS,5550.775,10840.4,30.0,1.0,30.0,30.0,0.0,-32.27117641047698,includes_turnout_share_allocation,7306.0,9268.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"graham, betty c","tuggle, mark m",7306.0,9268.0,-11.83781826957886,20.43335814089812,1.0,True,True,True,-3.0,-7.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,84,2657.0,948.0,3605.0,0.7370319001386962,0.4740638002773925,13.0,USS,2666.439788495168,1048.5773141381108,13.0,4.0,13.0,13.0,0.0,43.54926046532286,includes_turnout_share_allocation,7764.0,4152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"forte, berry","perrin, joyce l",7764.0,4152.0,30.31218529707956,-13.2370751682433,0.0,True,True,True,-5107.0,-3204.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,85,6668.0,6243.0,12911.0,0.5164588335527844,0.0329176671055688,27.0,USS,5111.833355210093,7815.243872850352,27.0,9.0,27.0,27.0,0.0,-20.912774557980065,includes_turnout_share_allocation,6692.0,6255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"grimsley, dexter","singleton, jody",6692.0,6255.0,3.375299297134472,24.288073855114536,0.0,True,True,True,-24.0,-12.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
AL,2010,house,86,6623.0,9159.0,15782.0,0.4196553035103282,-0.1606893929793435,24.0,USS,3699.0354217561335,12175.252060296523,24.0,9.0,24.0,24.0,0.0,-53.39588720516454,includes_turnout_share_allocation,6623.0,9159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"carothers, merritt","lee, paul w",6623.0,9159.0,-16.068939297934357,37.326947907230185,0.0,True,True,True,0.0,0.0,Klarner district contest totals,HEDA precinct context allocated to legislative districts,HEDA context + Klarner outcome,,,,,,,,,,,,,,,
