state,year,chamber,office,allocation_method,rows,allocated_dem_votes,allocated_rep_votes
AL,2010,house,GOV,legislative_turnout_share,729,121363.0,203359.0
AL,2010,house,GOV,unallocatable,12,0.0,0.0
AL,2010,house,GOV,whole_precinct,1848,481396.0,638322.0
AL,2010,house,USS,legislative_turnout_share,729,105191.0,226832.0
AL,2010,house,USS,unallocatable,12,0.0,0.0
AL,2010,house,USS,whole_precinct,1848,402333.0,720270.0
AL,2010,senate,GOV,legislative_turnout_share,412,75416.0,121627.0
AL,2010,senate,GOV,unallocatable,12,0.0,0.0
AL,2010,senate,GOV,whole_precinct,2008,536769.0,737677.0
AL,2010,senate,USS,legislative_turnout_share,412,66477.0,135311.0
AL,2010,senate,USS,unallocatable,12,0.0,0.0
AL,2010,senate,USS,whole_precinct,2008,448199.0,831501.0
FL,2010,house,GOV,whole_precinct,6820,2557415.0,2618905.0
FL,2010,house,USS,whole_precinct,6820,1092658.0,2645209.0
FL,2010,senate,GOV,whole_precinct,6820,2557415.0,2618905.0
FL,2010,senate,USS,whole_precinct,6820,1092658.0,2645209.0
GA,2012,house,USP,legislative_turnout_share,414,187329.0,249096.0
GA,2012,house,USP,whole_precinct,2616,1586498.0,1829592.0
GA,2012,senate,USP,legislative_turnout_share,95,39838.0,51449.0
GA,2012,senate,USP,whole_precinct,2737,1713448.0,1983144.0
KY,2010,house,USS,legislative_turnout_share,24,33828.0,53787.0
KY,2010,house,USS,whole_precinct,2943,1019469.0,1232577.0
KY,2010,senate,USS,whole_precinct,1583,663268.0,825757.0
LA,2003,house,GOV,legislative_turnout_share,79,25269.0,24084.0
LA,2003,house,GOV,whole_precinct,2503,481293.0,294555.0
LA,2003,senate,GOV,legislative_turnout_share,44,18510.0,18909.0
LA,2003,senate,GOV,whole_precinct,2829,548211.0,368828.0
LA,2007,house,GOV,legislative_turnout_share,118,21057.0,57792.0
LA,2007,house,GOV,whole_precinct,3038,292233.0,468983.0
LA,2007,senate,GOV,legislative_turnout_share,61,15710.0,48689.0
LA,2007,senate,GOV,whole_precinct,3197,295222.0,472324.0
MO,2002,house,USS,legislative_turnout_share,497,60735.0,75533.0
MO,2002,house,USS,unallocatable,13,0.0,0.0
MO,2002,house,USS,whole_precinct,4361,852963.0,859416.0
MO,2002,senate,USS,legislative_turnout_share,10,2927.0,4386.0
MO,2002,senate,USS,whole_precinct,2331,452634.0,479651.0
MO,2004,house,GOV,legislative_turnout_share,767,124163.0,169625.0
MO,2004,house,GOV,unallocatable,195,0.0,0.0
MO,2004,house,GOV,whole_precinct,3980,1175701.0,1212105.0
MO,2004,house,USP,legislative_turnout_share,767,117670.0,180620.0
MO,2004,house,USP,unallocatable,195,0.0,0.0
MO,2004,house,USP,whole_precinct,3980,1139711.0,1273695.0
MO,2004,house,USS,legislative_turnout_share,767,106134.0,187841.0
MO,2004,house,USS,unallocatable,195,0.0,0.0
MO,2004,house,USS,whole_precinct,3980,1050529.0,1328870.0
MO,2004,senate,GOV,legislative_turnout_share,767,124163.0,169625.0
MO,2004,senate,GOV,unallocatable,195,0.0,0.0
MO,2004,senate,GOV,whole_precinct,3980,1175701.0,1212105.0
MO,2004,senate,USP,legislative_turnout_share,767,117670.0,180620.0
MO,2004,senate,USP,unallocatable,195,0.0,0.0
MO,2004,senate,USP,whole_precinct,3980,1139711.0,1273695.0
MO,2004,senate,USS,legislative_turnout_share,767,106134.0,187841.0
MO,2004,senate,USS,unallocatable,195,0.0,0.0
MO,2004,senate,USS,whole_precinct,3980,1050529.0,1328870.0
MO,2006,house,USS,legislative_turnout_share,964,126450.0,154859.0
MO,2006,house,USS,unallocatable,83,0.0,0.0
MO,2006,house,USS,whole_precinct,3332,925153.0,848860.0
MO,2006,senate,USS,legislative_turnout_share,14,4641.0,6940.0
MO,2006,senate,USS,unallocatable,4,0.0,0.0
MO,2006,senate,USS,whole_precinct,1896,524884.0,523457.0
MO,2008,house,GOV,legislative_turnout_share,859,224041.0,196674.0
MO,2008,house,GOV,unallocatable,82,0.0,0.0
MO,2008,house,GOV,whole_precinct,3166,1455178.0,938306.0
