state,year,chamber,district_rows,contested_two_party,baseline_rows,candidate_name_rows,split_allocated_rows,model_eligible,baseline_coverage
AL,2010,house,105,42,105,73,90,37,1.0
AL,2010,senate,35,21,35,27,25,15,1.0
FL,2010,house,120,60,120,85,0,60,1.0
FL,2010,senate,40,9,40,13,0,9,1.0
GA,2012,house,180,41,180,89,139,41,1.0
GA,2012,senate,55,12,55,27,36,12,1.0
KY,2010,house,100,51,100,74,22,51,1.0
KY,2010,senate,19,15,19,16,0,15,1.0
LA,2001,house,5,0,0,0,0,0,0.0
LA,2001,senate,2,0,0,0,0,0,0.0
LA,2003,house,58,0,58,41,54,0,1.0
LA,2003,senate,28,0,28,22,26,0,1.0
LA,2005,house,4,0,0,0,0,0,0.0
LA,2005,senate,2,0,0,0,0,0,0.0
LA,2007,house,79,0,79,60,74,0,1.0
LA,2007,senate,30,0,30,24,30,0,1.0
LA,2009,house,2,0,0,0,0,0,0.0
LA,2009,senate,3,0,0,0,0,0,0.0
MO,2002,house,163,117,163,147,95,106,1.0
MO,2002,senate,17,12,17,15,4,12,1.0
MO,2004,house,163,96,163,126,65,51,1.0
MO,2004,senate,163,15,163,17,65,5,1.0
MO,2006,house,163,103,163,144,82,72,1.0
MO,2006,senate,17,13,17,15,2,11,1.0
MO,2008,house,163,85,163,136,88,67,1.0
MO,2008,senate,17,12,17,16,2,10,1.0
MO,2010,house,163,93,163,121,43,46,1.0
MO,2010,senate,17,9,17,12,0,7,1.0
NC,2002,house,120,63,120,89,104,57,1.0
NC,2002,senate,50,39,50,45,38,39,1.0
NC,2004,house,120,49,120,85,113,49,1.0
NC,2004,senate,50,33,50,41,30,33,1.0
NC,2006,house,120,56,0,88,0,0,0.0
NC,2006,senate,50,28,0,40,0,0,0.0
NC,2010,house,120,76,120,89,90,76,1.0
NC,2010,senate,50,38,50,39,23,38,1.0
NC,2012,house,120,65,120,92,15,12,1.0
NC,2012,senate,50,31,50,38,3,12,1.0
OK,2010,house,47,44,47,45,41,44,1.0
OK,2010,senate,10,10,10,10,6,10,1.0
OK,2012,house,34,34,34,34,14,34,1.0
OK,2012,senate,12,10,12,10,4,10,1.0
SC,2010,house,125,36,125,72,122,36,1.0
SC,2012,house,123,20,123,54,5,0,1.0
SC,2012,senate,46,11,46,22,3,0,1.0
TN,2002,house,99,53,99,73,48,28,1.0
TN,2002,senate,17,11,17,14,5,10,1.0
TN,2004,house,99,49,99,78,57,33,1.0
TN,2004,senate,16,12,16,15,3,12,1.0
TN,2006,house,99,44,99,74,70,42,1.0
TN,2006,senate,17,9,17,13,3,9,1.0
TN,2008,house,99,36,99,67,65,35,1.0
TN,2008,senate,16,9,16,13,0,9,1.0
TN,2010,house,99,56,99,71,70,55,1.0
TN,2010,senate,17,11,17,13,3,11,1.0
TN,2012,house,99,49,99,64,85,49,1.0
TN,2012,senate,16,9,16,10,2,9,1.0
TX,2002,house,150,67,150,103,0,67,1.0
TX,2002,senate,31,12,31,21,0,12,1.0
TX,2004,house,150,60,150,99,0,60,1.0
TX,2004,senate,31,4,31,9,0,4,1.0
TX,2006,house,150,70,150,113,0,70,1.0
TX,2006,senate,31,7,31,9,0,7,1.0
TX,2008,house,150,71,150,111,0,71,1.0
TX,2008,senate,31,6,31,10,0,6,1.0
TX,2010,house,150,57,150,95,0,57,1.0
TX,2010,senate,31,8,31,8,0,8,1.0
TX,2012,house,86,52,86,63,2,52,1.0
TX,2012,senate,23,14,23,16,2,12,1.0
