chamber,district,conditional_dem_probability,full_uncertainty_dem_probability,margin_80_low,margin_80_high,margin_95_low,margin_95_high,draws
house,2,8.163316046730787e-05,0.0,-66.58513320325847,-49.438507344904096,-71.23213270438588,-45.02261801455584,50000
house,4,0.0029587045931002234,4e-05,-34.96834077776442,-17.79213963457672,-39.63540926026986,-13.171924718365716,50000
house,5,0.0004347967426202216,0.0,-49.2515723221787,-32.09947870766875,-53.728594203122384,-27.516377048847723,50000
house,8,0.007771652662644043,0.00112,-29.239237079391295,-12.065644110413121,-33.786269036018986,-7.424807012660291,50000
house,10,0.9977302468171435,1.0,19.483664268037412,36.69950805116557,15.06446136261849,41.33632150820296,50000
house,15,0.038098159054660824,0.02798,-21.332433268239356,-4.251198704937416,-25.882417618941933,0.3521573422995487,50000
house,16,2.9948125414023637e-05,0.0,-79.98810920606654,-62.885263315772306,-84.53785946364795,-58.33718999719698,50000
house,19,0.9998780765163392,1.0,44.8218865310572,61.9718212506769,40.33227634787258,66.55884230483713,50000
house,20,0.001598320923153765,0.0,-39.1043914037375,-21.90960908943018,-43.6193025394347,-17.37765357936862,50000
house,21,0.005364586602042868,0.00024,-31.313614919431384,-14.212930506739966,-36.0022599635969,-9.5551168247767,50000
house,25,0.3112806292753769,0.32688,-11.547416528284804,5.624208143917872,-15.982122821835528,10.037110090212831,50000
house,28,0.009912992809306022,0.00164,-28.06046403984825,-10.777405335486227,-32.66944818530674,-6.320492437424958,50000
house,32,0.9755872597913895,0.98686,6.406967791115317,23.564817332718516,1.7762230473876983,28.125666422014532,50000
house,37,0.0006272749793759754,0.0,-46.11744532256229,-29.022432606296196,-50.72774068867469,-24.48398257819518,50000
house,38,0.00038946800577922326,0.0,-50.27311608837563,-33.18256152517804,-54.70731277382279,-28.70597797550923,50000
house,40,5.3835461174789724e-05,0.0,-71.88899202978368,-54.65441051912317,-76.35260772828055,-50.138141141882976,50000
house,41,0.0003027313777778458,0.0,-52.54962029133798,-35.39553837380552,-57.01246635469897,-31.09708366386868,50000
house,43,0.0003800615788731957,0.0,-50.46773455318524,-33.32143321841931,-54.9623888876781,-28.87532427599756,50000
house,45,0.0004664877519471137,0.0,-48.64370490112533,-31.469036739191385,-53.11535596343699,-26.79360332975409,50000
house,47,0.05305254068614985,0.04544,-19.97719339681182,-2.721452016079923,-24.451972591125017,1.7826302662543443,50000
house,50,0.00017504681061139823,0.0,-58.00733739223351,-40.83693058852915,-62.5945027889165,-36.247188971849404,50000
house,63,0.018368992539448546,0.00772,-24.83901368842463,-7.710412543443946,-29.460682616939366,-3.161511620302735,50000
house,68,0.9797846466316192,0.99054,7.257877563300781,24.35714021783663,2.648295494258818,29.0154133153205,50000
house,69,0.9985673929417752,0.99998,22.674900995792182,39.836640271165635,18.31541375346782,44.42768834671838,50000
house,70,0.9999158989599012,1.0,49.08989236779168,66.33729290126855,44.629597222524765,70.90158241661733,50000
house,74,0.9997455896991294,1.0,37.15794475557411,54.221667212276735,32.615939637282175,58.75455747917635,50000
house,75,0.004179384970650005,8e-05,-32.80917723554455,-15.608449565369105,-37.333544857473896,-11.070119260865015,50000
house,80,0.0009912226393169045,0.0,-42.539082795210234,-25.331973726000218,-47.12703876890359,-20.813392310287078,50000
house,82,0.9998590463847078,1.0,43.15402283249171,60.377171952155024,38.46589898528015,64.86022291899135,50000
house,85,0.003057548876908345,6e-05,-34.649608161524284,-17.66228561151238,-39.20245683581707,-13.213816035047573,50000
house,96,0.0006149138354581944,0.0,-46.33079842820293,-29.115542526296895,-50.92917240464614,-24.717151303233162,50000
house,99,0.9998186751498906,1.0,40.45563842587925,57.66812598732138,35.952432548725405,62.271974379060026,50000
house,101,0.00133097497328671,0.0,-40.33510834169071,-23.262805832121998,-45.028059167144015,-18.642211311611657,50000
senate,2,0.7554725712994558,0.74132,-4.263589629527148,12.912818640375969,-8.678127204632554,17.382262408866975,50000
senate,3,0.0006474673101554895,0.0,-45.89244076050566,-28.728931162744903,-50.45365569403113,-24.29291989258399,50000
senate,6,0.00023462645025721586,0.0,-55.0219658682289,-37.94931561439207,-59.62201855975414,-33.41303162144404,50000
senate,7,0.11457086874128289,0.1191,-16.442671830998943,0.6743629254594353,-20.954958252761838,5.237079790265602,50000
senate,8,0.00012893190112240672,0.0,-61.29855770619203,-44.16371920142836,-65.84196347616667,-39.58353901716229,50000
senate,11,0.00022468064735638076,0.0,-55.47178968784257,-38.240333245251286,-60.04405274347481,-33.641992296001014,50000
senate,13,0.0001830406187016879,0.0,-57.53810246498424,-40.453822088298814,-62.12492693871967,-35.971614715056646,50000
senate,14,0.000442163742103284,0.0,-49.17665540733929,-32.03975915369559,-53.68234995426134,-27.56406432050271,50000
senate,16,0.003393355798708183,8e-05,-34.107151251113244,-16.922247000494465,-38.63060532916621,-12.35925968685091,50000
senate,22,0.0002521867547267997,0.0,-54.372457507374826,-37.13305142647839,-58.93543566141169,-32.50370949890226,50000
senate,23,0.9969527790440438,0.99998,17.63680994932254,34.81156516402221,13.036435607682153,39.29601616241199,50000
senate,25,0.0018159483323507458,0.0,-38.15294210189835,-20.98376275325552,-42.73805467383556,-16.394776378638397,50000
senate,28,0.9991060136011372,1.0,26.181811758277405,43.39808962627617,21.65620944954199,48.027149184455354,50000
senate,29,6.977227309053197e-05,0.0,-68.5124603482679,-51.42056886149244,-73.04895669578838,-46.9652148130533,50000
senate,32,9.104611209200409e-05,0.0,-65.35835674105793,-48.18519100618349,-69.90723435242796,-43.67112526383215,50000
