specification,dimension,value,races,mae,mean_error,winner_accuracy
polling_federal_only,all,all,30,9.997160013696703,1.8548779090048064,0.9
polling_federal_only,chamber,house,22,10.929876761242975,3.1368211094858625,0.8636363636363636
polling_federal_only,chamber,senate,8,7.4321889579444465,-1.670465892318096,1.0
polling_federal_only,incumbency_balance,-1,5,6.959352093152587,-1.340431775565169,1.0
polling_federal_only,incumbency_balance,0,23,9.699611215009991,0.8835440933939885,0.8695652173913043
polling_federal_only,incumbency_balance,1,2,21.013490999954165,21.013490999954165,1.0
polling_federal_plus_generic_lag,all,all,30,10.303843049874612,4.651633273033719,0.9
polling_federal_plus_generic_lag,chamber,house,22,11.589129881166498,6.4684804647089065,0.8636363636363636
polling_federal_plus_generic_lag,chamber,senate,8,6.7693042638219225,-0.3446965040730481,1.0
polling_federal_plus_generic_lag,incumbency_balance,-1,5,5.998098710295026,1.1888715928666749,1.0
polling_federal_plus_generic_lag,incumbency_balance,0,23,10.106103791364642,3.7791404123174663,0.8695652173913043
polling_federal_plus_generic_lag,incumbency_balance,1,2,23.34220537168821,23.34220537168821,1.0
polling_federal_plus_incumbency,all,all,30,9.538036602293221,0.5134787693951378,0.9
polling_federal_plus_incumbency,chamber,house,22,10.717471283234692,2.3265506402844682,0.8636363636363636
polling_federal_plus_incumbency,chamber,senate,8,6.294591229704176,-4.472468875550521,1.0
polling_federal_plus_incumbency,incumbency_balance,-1,5,6.090265853339756,5.411006851107993,1.0
polling_federal_plus_incumbency,incumbency_balance,0,23,10.346040144479298,-1.2774572457721673,0.8695652173913043
polling_federal_plus_incumbency,incumbency_balance,1,2,8.865422739537008,8.865422739537008,1.0
polling_federal_plus_fundraising,all,all,30,8.176794364630286,1.7465903724089158,0.9
polling_federal_plus_fundraising,chamber,house,22,9.324531773567541,3.933212680795914,0.8636363636363636
polling_federal_plus_fundraising,chamber,senate,8,5.020516490052836,-4.26662097565533,1.0
polling_federal_plus_fundraising,incumbency_balance,-1,5,5.760294948805637,5.11775429131634,1.0
polling_federal_plus_fundraising,incumbency_balance,0,23,8.70063398893014,0.72752486968855,0.8695652173913043
polling_federal_plus_fundraising,incumbency_balance,1,2,8.193887224743602,5.037933856424555,1.0
polling_federal_plus_incumbency_fundraising,all,all,30,8.430118180791245,-1.0808021853728826,0.9
polling_federal_plus_incumbency_fundraising,chamber,house,22,8.56693511936116,1.0331653297727603,0.8636363636363636
polling_federal_plus_incumbency_fundraising,chamber,senate,8,8.053871599723994,-6.894212852023402,1.0
polling_federal_plus_incumbency_fundraising,incumbency_balance,-1,5,7.820974759463665,7.820974759463665,1.0
