state,year,chamber,district,dem_votes,rep_votes,dem_margin,dem_win,incumbency_balance,result_source,prior_pres_margin,presidential_source,national_swing,environment_baseline_margin,nonwhite_share,college_share,white_college_share,acs_vintage,demographics_source,swing_x_nonwhite,swing_x_white_college,baseline_error,primary_calibration_eligible,incumbency_model_ready,open_seat,gap,dem_candidate_id,rep_candidate_id,prior_quality_differential,prior_quality_available,demographic_type
AR,2022,lower,1.0,1602.0,7027.0,-62.86939390427628,0,0.0,Klarner SLER contest file,-65.77790461190563,2020 block results aggregated to 2022 BAF,-7.177168,-72.95507261190562,0.0520939398916078,0.1557927113430888,0.1594160153369709,2022,ACS 2022 5-year direct SLD tabulation,-0.3738869583839709,-1.1441555239640169,10.08567870762934,True,True,1.0,10.085678707629341,TERESA L ROOFE,JEREMY WOOLDRIDGE,0.0,0,other
AR,2022,lower,6.0,2901.0,6650.0,-39.25243430007329,0,-1.0,Klarner SLER contest file,-35.47642692365655,2020 block results aggregated to 2022 BAF,-7.177168,-42.65359492365655,0.2052986671054797,0.209149113853577,0.2196824681905191,2022,ACS 2022 5-year direct SLD tabulation,-1.4734630239921016,-1.5766979808580115,3.4011606235832588,True,True,0.0,3.4011606235832588,MARKEETA TUCKER,HARLAN BREAUX,0.0,0,other
AR,2022,lower,9.0,1322.0,1431.0,-3.9593171086087904,0,0.0,Klarner SLER contest file,3.311520041077698,2020 block results aggregated to 2022 BAF,-7.177168,-3.865647958922302,0.7914429695991568,0.112902244662084,0.2544722719141323,2022,ACS 2022 5-year direct SLD tabulation,-5.680319155232041,-1.826390246869409,-0.0936691496864883,True,True,1.0,-0.09366914968648832,DIANA G WORTHEN,DEANNA HODGES,0.0,0,majority_nonwhite
AR,2022,lower,10.0,5059.0,6519.0,-12.610122646398342,0,0.0,Klarner SLER contest file,-12.464132089382035,2020 block results aggregated to 2022 BAF,-7.177168,-19.641300089382035,0.2599352981331434,0.4707164139280473,0.4691436496012943,2022,ACS 2022 5-year direct SLD tabulation,-1.8655993038316567,-3.367122789321622,7.031177442983694,True,True,1.0,7.031177442983694,KATE SCHAFFER,MINDY MCALINDON,0.0,0,high_white_college
AR,2022,lower,11.0,2235.0,3497.0,-22.016748080949057,0,0.0,Klarner SLER contest file,-16.5937306360958,2020 block results aggregated to 2022 BAF,-7.177168,-23.7708986360958,0.5601694039871914,0.2206455203116304,0.2691498316498316,2022,ACS 2022 5-year direct SLD tabulation,-4.020429920875943,-1.9317335589225584,1.7541505551467438,True,True,1.0,1.7541505551467438,REY HERNANDEZ,REBECCA BURKES,0.0,0,majority_nonwhite
AR,2022,lower,13.0,3317.0,4158.0,-11.250836120401338,0,0.0,Klarner SLER contest file,-10.687834088977905,2020 block results aggregated to 2022 BAF,-7.177168,-17.865002088977903,0.4568916333859113,0.5380068869815491,0.5293445791600773,2022,ACS 2022 5-year direct SLD tabulation,-3.2791880106050946,-3.7991949745211735,6.614165968576565,True,True,1.0,6.614165968576565,JEN STANDERFER,R SCOTTRICHARDSON,0.0,0,high_white_college
AR,2022,lower,14.0,3002.0,5185.0,-26.664223769390496,0,0.0,Klarner SLER contest file,-24.26452443780001,2020 block results aggregated to 2022 BAF,-7.177168,-31.441692437800008,0.3543270812767357,0.3659801836385329,0.3678336645772818,2022,ACS 2022 5-year direct SLD tabulation,-2.5430649892727866,-2.6400040067268,4.777468668409512,True,True,1.0,4.777468668409512,BRIAN EATON,GRANT HODGES,0.0,0,high_white_college
AR,2022,lower,15.0,2956.0,4224.0,-17.66016713091922,0,-1.0,Klarner SLER contest file,-10.30723585904105,2020 block results aggregated to 2022 BAF,-7.177168,-17.484403859041052,0.4734516259614086,0.2485176050794983,0.3120668206859783,2022,ACS 2022 5-year direct SLD tabulation,-3.398041859398191,-2.2397559992891414,-0.1757632718781678,True,True,0.0,-0.17576327187816787,RACHEL COX,JOHN P CARR,0.0,0,other
AR,2022,lower,18.0,3868.0,6399.0,-24.651797019577288,0,-1.0,Klarner SLER contest file,-20.04965555291611,2020 block results aggregated to 2022 BAF,-7.177168,-27.22682355291611,0.3161817587446878,0.4507602106727616,0.5101187263896384,2022,ACS 2022 5-year direct SLD tabulation,-2.269289601046093,-3.661207799244468,2.5750265333388214,True,True,0.0,2.5750265333388214,MONIQUE JONES,ROBIN LUNDSTRUM,0.0,0,high_white_college
AR,2022,lower,19.0,3871.0,4517.0,-7.701478302336671,0,0.0,Klarner SLER contest file,-7.303850097918019,2020 block results aggregated to 2022 BAF,-7.177168,-14.48101809791802,0.3904836806920959,0.3818699146408426,0.4683886469439856,2022,ACS 2022 5-year direct SLD tabulation,-2.802566977585528,-3.361704008409671,6.779539795581348,True,True,1.0,6.779539795581348,PAULA IRWIN,STEVE UNGER,0.0,0,high_white_college
