family,scale,df,brier,log_loss
normal,2.0,,0.034166115132129964,0.23377891188186245
normal,2.25,,0.03357069434159209,0.21601052840199728
normal,2.5,,0.033034590886580055,0.19635281576597555
normal,2.75,,0.032562488154795455,0.17903072463713351
normal,3.0,,0.03215169238685491,0.16545030591225351
normal,3.25,,0.0317959261719787,0.15341947240743736
normal,3.5,,0.031487780591824284,0.1439586608576125
normal,3.75,,0.031220101853058683,0.13501735176174853
normal,4.0,,0.030986679221453328,0.12753847923045517
normal,4.25,,0.030782474291398455,0.1214629890373819
normal,4.5,,0.030603598017673705,0.1165051844878547
normal,4.75,,0.03044716637868314,0.11245171626794166
normal,5.0,,0.030311112246092686,0.10914044016981742
normal,5.25,,0.030193998006924398,0.10644613073429386
normal,5.5,,0.030094850058711955,0.10427065211443207
normal,5.75,,0.030013022738969105,0.10253604027193382
normal,6.0,,0.02994809188768348,0.10117955584474858
normal,6.25,,0.029899774735913143,0.10015012578284473
normal,6.5,,0.029867871554372497,0.09940571101715143
normal,6.75,,0.02985222444337634,0.09891134913284912
normal,7.0,,0.029852689162141014,0.09863769467083919
normal,7.25,,0.029869116613281843,0.09855989535953062
normal,7.5,,0.029901341321716936,0.09865673927971047
normal,7.75,,0.029949174884875456,0.09890999245426874
normal,8.0,,0.030012402892509758,0.09930386006417766
normal,8.25,,0.030090784220665173,0.09982458692188191
normal,8.5,,0.03018405190998641,0.10046012713025973
normal,8.75,,0.030291915063666235,0.1011998675267426
normal,9.0,,0.030414061363533463,0.1020344205792933
normal,9.25,,0.030550159919957385,0.10295543752524805
normal,9.5,,0.030699864255511383,0.10395546640677197
normal,9.75,,0.030862815282821195,0.10502783461060665
normal,10.0,,0.031038644180833627,0.10616653694198906
normal,10.25,,0.031226975105833516,0.10736615488002914
normal,10.5,,0.03142742769697468,0.1086217803798302
normal,10.75,,0.03163961935355472,0.10992895517088504
normal,11.0,,0.03186316727407489,0.1112836210399391
normal,11.25,,0.03209769025653938,0.11268207008612814
normal,11.5,,0.032342810266277326,0.11412090693638248
normal,11.75,,0.03259815378228652,0.11559701384079119
normal,12.0,,0.03286335293630124,0.11710752501511033
normal,12.25,,0.0331380464606759,0.1186497962591982
normal,12.5,,0.03342188046222037,0.12022138470854846
normal,12.75,,0.03371450903935431,0.1218200304726086
normal,13.0,,0.034015594759684305,0.12344363688875647
normal,13.25,,0.0343248090144877,0.12509025722889802
normal,13.5,,0.0346418322656463,0.1267580808294408
normal,13.75,,0.0349663541995207,0.12844542270444687
normal,14.0,,0.035298073801064915,0.13015071193675862
normal,14.25,,0.03563669936028804,0.13187248150680758
normal,14.5,,0.03598194842196029,0.13360936051395786
normal,14.75,,0.03633354768829269,0.13536006901811506
normal,15.0,,0.03669123288318199,0.13712340736299264
logistic,1.0,,0.03469910642504243,0.20765123773025718
logistic,1.25,,0.033713952154723524,0.1746342756314707
logistic,1.5,,0.032854140191931634,0.15120696859805074
logistic,1.75,,0.032139405112286586,0.13529642279745277
logistic,2.0,,0.031556818386192786,0.12407888944898914
logistic,2.25,,0.031085705994378786,0.11599969451212984
logistic,2.5,,0.03070716424409247,0.11013414405959623
logistic,2.75,,0.030406559081981935,0.10589757329209393
logistic,3.0,,0.03017336728385648,0.10290125842657777
logistic,3.25,,0.03000025319824274,0.10087560528290399
logistic,3.5,,0.029882106047419192,0.09962679764644154
logistic,3.75,,0.029815263650393393,0.09901114690357074
logistic,4.0,,0.029796953858016915,0.09891927133685853
logistic,4.25,,0.029824920106239505,0.0992659980107645
logistic,4.5,,0.029897184219672256,0.09998369153397765
logistic,4.75,,0.030011904544017694,0.10101772285373772
logistic,5.0,,0.030167297079959826,0.10232332964811801
logistic,5.25,,0.03036159650723864,0.10386336798445463
logistic,5.5,,0.0305930413477519,0.10560667088436929
logistic,5.75,,0.03085987290913933,0.10752684007943335
logistic,6.0,,0.031160341408176653,0.10960132949357224
logistic,6.25,,0.03149271520550092,0.11181074095659638
logistic,6.5,,0.03185529074610665,0.1141382748767242
logistic,6.75,,0.03224640186757444,0.1165692983236409
logistic,7.0,,0.032664427807254336,0.11909099911899369
logistic,7.25,,0.033107799647342784,0.1216921070192773
logistic,7.5,,0.033575005175391845,0.12436266645766395
logistic,7.75,,0.03406459226883132,0.12709384966663057
logistic,8.0,,0.034575170976021224,0.12987780177101238
logistic,8.25,,0.03510541448951042,0.13270751144592483
logistic,8.5,,0.035654059206512205,0.13557670220488366
logistic,8.75,,0.036219904057898655,0.13847974047579073
logistic,9.0,,0.036801809267004125,0.14141155744304995
logistic,9.25,,0.037398694677325116,0.14436758225729837
logistic,9.5,,0.03800953776622102,0.1473436846924733
logistic,9.75,,0.03863337144128375,0.15033612570051885
logistic,10.0,,0.03926928169779651,0.15334151460386186
student_t,1.0,3.0,0.03534588250398048,0.17189304936177907
student_t,1.25,3.0,0.034650759354547596,0.15485757273187079
