state,year,chamber,contested_races,baselines,eligible
AR,2018,lower,39,0,0
AR,2018,upper,7,0,0
AR,2020,lower,38,0,0
AR,2020,upper,8,0,0
AR,2022,lower,35,35,35
AR,2022,upper,13,13,13
AR,2024,lower,49,49,49
AR,2024,upper,5,5,5
GA,2018,lower,68,68,68
GA,2018,upper,23,23,23
GA,2020,lower,86,86,86
GA,2020,upper,28,28,28
GA,2022,lower,86,86,86
GA,2022,upper,26,26,26
GA,2024,lower,90,90,90
GA,2024,upper,23,23,23
MS,2019,lower,23,0,0
MS,2019,upper,16,0,0
TN,2018,lower,73,73,73
TN,2018,upper,12,12,12
TN,2020,lower,38,38,38
TN,2020,upper,9,9,9
TN,2022,lower,36,36,36
TN,2022,upper,8,8,8
TN,2024,lower,60,60,60
TN,2024,upper,10,10,10
TX,2018,lower,94,94,94
TX,2018,upper,13,13,13
TX,2020,lower,94,94,94
TX,2020,upper,13,13,13
TX,2022,lower,80,80,80
TX,2022,upper,18,18,18
TX,2024,lower,88,88,88
TX,2024,upper,10,10,10
