state,year,chamber_code,source_contests,dontuse,uncontested,big_third,chamber
AR,2018,0.0,100,0.0,60.0,2.0,
AR,2018,1.0,18,0.0,11.0,3.0,
AR,2020,0.0,100,0.0,62.0,4.0,
AR,2020,1.0,17,0.0,9.0,0.0,
AR,2022,0.0,100,0.0,65.0,7.0,
AR,2022,1.0,35,0.0,22.0,5.0,
GA,2018,0.0,180,2.0,112.0,1.0,
GA,2018,1.0,56,0.0,33.0,0.0,
GA,2020,0.0,180,0.0,94.0,0.0,
GA,2020,1.0,56,1.0,28.0,0.0,
GA,2022,0.0,180,0.0,94.0,0.0,
GA,2022,1.0,56,0.0,30.0,0.0,
MS,2019,0.0,122,0.0,98.0,8.0,
MS,2019,1.0,52,1.0,36.0,1.0,
TN,2018,0.0,99,0.0,26.0,1.0,
TN,2018,1.0,18,0.0,6.0,0.0,
TN,2020,0.0,99,0.0,61.0,7.0,
TN,2020,1.0,16,0.0,7.0,2.0,
TN,2022,0.0,99,0.0,63.0,6.0,
TN,2022,1.0,17,0.0,9.0,2.0,
TX,2018,0.0,150,0.0,56.0,1.0,
TX,2018,1.0,15,0.0,2.0,0.0,
TX,2020,0.0,150,0.0,56.0,4.0,
TX,2020,1.0,16,0.0,3.0,1.0,
TX,2022,0.0,150,0.0,70.0,9.0,
TX,2022,1.0,31,0.0,13.0,2.0,
AR,2024,,100,,,,STATE HOUSE
AR,2024,,18,,,,STATE SENATE
GA,2024,,180,,,,STATE HOUSE
GA,2024,,56,,,,STATE SENATE
TN,2024,,99,,,,STATE HOUSE
TN,2024,,16,,,,STATE SENATE
TX,2024,,149,,,,STATE HOUSE
TX,2024,,15,,,,STATE SENATE
