canonical_candidate_id,election_year,candidate_name,ballotpedia_url,retrieved_date,page_sha256,section,subsection_year,section_text
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Biography,,"Morrow was born on November 25, 1942. At the time of his service in the state House, his professional experience included serving as an instructor of business and economics at Northwest Community College and as president of the Franklin County Cattleman's Association.[[1]](https://ballotpedia.org/Johnny_Mack_Morrow#cite_note-1)"
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Biography,,"Morrow was born on November 25, 1942. At the time of his service in the state House, his professional experience included serving as an instructor of business and economics at Northwest Community College and as president of the Franklin County Cattleman's Association.[[1]](https://ballotpedia.org/Johnny_Mack_Morrow#cite_note-1)"
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Biography,,"Morrow was born on November 25, 1942. At the time of his service in the state House, his professional experience included serving as an instructor of business and economics at Northwest Community College and as president of the Franklin County Cattleman's Association.[[1]](https://ballotpedia.org/Johnny_Mack_Morrow#cite_note-1)"
AL-2014-house-18-D-JOHNNY-MACK-MORROW,2014,Johnny MacK Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Biography,,"Morrow was born on November 25, 1942. At the time of his service in the state House, his professional experience included serving as an instructor of business and economics at Northwest Community College and as president of the Franklin County Cattleman's Association.[[1]](https://ballotpedia.org/Johnny_Mack_Morrow#cite_note-1)"
AL-2018-senate-6-D-JOHNNY-MACK-MORROW,2018,Johnny Mack Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Biography,,"Morrow was born on November 25, 1942. At the time of his service in the state House, his professional experience included serving as an instructor of business and economics at Northwest Community College and as president of the Franklin County Cattleman's Association.[[1]](https://ballotpedia.org/Johnny_Mack_Morrow#cite_note-1)"
AL-1998-house-18-D-MORROW,1998,Johnny Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Scorecards,,"_See also: [State legislative scorecards](https://ballotpedia.org/State\_legislative\_scorecards ""State legislative scorecards""), [State legislative scorecards in Alabama](https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama ""State legislative scorecards in Alabama"")_
A [scorecard](https://ballotpedia.org/State_legislative_scorecards) evaluates a legislator’s voting record. Its purpose is to inform voters about the legislator’s political positions. Because scorecards have varying purposes and methodologies, each report should be considered on its own merits. For example, an advocacy group’s scorecard may assess a legislator’s voting record on one issue while a state newspaper’s scorecard may evaluate the voting record in its entirety.

Ballotpedia is in the process of developing an encyclopedic list of published scorecards. Some states have a limited number of available scorecards or scorecards produced only by select groups. It is Ballotpedia’s goal to incorporate all available scorecards regardless of ideology or number.

[Click here](https://ballotpedia.org/State_legislative_scorecards) for an overview of legislative scorecards in all 50 states. To contribute to the list of scorecards, email suggestions to [editor@ballotpedia.org](mailto:editor@ballotpedia.org).

*   [2017](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2016](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2015](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2014](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2013](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2012](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2011](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405)"
AL-2002-house-18-D-MORROW-JOHNNY-MACK,2002,"Morrow, Johnny Mack",https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Scorecards,,"_See also: [State legislative scorecards](https://ballotpedia.org/State\_legislative\_scorecards ""State legislative scorecards""), [State legislative scorecards in Alabama](https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama ""State legislative scorecards in Alabama"")_
A [scorecard](https://ballotpedia.org/State_legislative_scorecards) evaluates a legislator’s voting record. Its purpose is to inform voters about the legislator’s political positions. Because scorecards have varying purposes and methodologies, each report should be considered on its own merits. For example, an advocacy group’s scorecard may assess a legislator’s voting record on one issue while a state newspaper’s scorecard may evaluate the voting record in its entirety.

Ballotpedia is in the process of developing an encyclopedic list of published scorecards. Some states have a limited number of available scorecards or scorecards produced only by select groups. It is Ballotpedia’s goal to incorporate all available scorecards regardless of ideology or number.

[Click here](https://ballotpedia.org/State_legislative_scorecards) for an overview of legislative scorecards in all 50 states. To contribute to the list of scorecards, email suggestions to [editor@ballotpedia.org](mailto:editor@ballotpedia.org).

*   [2017](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2016](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2015](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2014](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2013](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2012](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2011](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405)"
AL-2010-house-18-D-JOHNNY-MACK-MORROW,2010,JOHNNY MACK MORROW,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Scorecards,,"_See also: [State legislative scorecards](https://ballotpedia.org/State\_legislative\_scorecards ""State legislative scorecards""), [State legislative scorecards in Alabama](https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama ""State legislative scorecards in Alabama"")_
A [scorecard](https://ballotpedia.org/State_legislative_scorecards) evaluates a legislator’s voting record. Its purpose is to inform voters about the legislator’s political positions. Because scorecards have varying purposes and methodologies, each report should be considered on its own merits. For example, an advocacy group’s scorecard may assess a legislator’s voting record on one issue while a state newspaper’s scorecard may evaluate the voting record in its entirety.

Ballotpedia is in the process of developing an encyclopedic list of published scorecards. Some states have a limited number of available scorecards or scorecards produced only by select groups. It is Ballotpedia’s goal to incorporate all available scorecards regardless of ideology or number.

[Click here](https://ballotpedia.org/State_legislative_scorecards) for an overview of legislative scorecards in all 50 states. To contribute to the list of scorecards, email suggestions to [editor@ballotpedia.org](mailto:editor@ballotpedia.org).

*   [2017](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2016](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2015](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2014](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2013](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2012](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2011](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405)"
AL-2014-house-18-D-JOHNNY-MACK-MORROW,2014,Johnny MacK Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Scorecards,,"_See also: [State legislative scorecards](https://ballotpedia.org/State\_legislative\_scorecards ""State legislative scorecards""), [State legislative scorecards in Alabama](https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama ""State legislative scorecards in Alabama"")_
A [scorecard](https://ballotpedia.org/State_legislative_scorecards) evaluates a legislator’s voting record. Its purpose is to inform voters about the legislator’s political positions. Because scorecards have varying purposes and methodologies, each report should be considered on its own merits. For example, an advocacy group’s scorecard may assess a legislator’s voting record on one issue while a state newspaper’s scorecard may evaluate the voting record in its entirety.

Ballotpedia is in the process of developing an encyclopedic list of published scorecards. Some states have a limited number of available scorecards or scorecards produced only by select groups. It is Ballotpedia’s goal to incorporate all available scorecards regardless of ideology or number.

[Click here](https://ballotpedia.org/State_legislative_scorecards) for an overview of legislative scorecards in all 50 states. To contribute to the list of scorecards, email suggestions to [editor@ballotpedia.org](mailto:editor@ballotpedia.org).

*   [2017](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2016](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2015](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2014](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2013](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2012](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2011](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405)"
AL-2018-senate-6-D-JOHNNY-MACK-MORROW,2018,Johnny Mack Morrow,https://ballotpedia.org/Johnny_Mack_Morrow,2026-08-17,69bc4f0c846bfffd834775a96cd7f39e8a053ec6743e9ffdc0669143148c3354,Scorecards,,"_See also: [State legislative scorecards](https://ballotpedia.org/State\_legislative\_scorecards ""State legislative scorecards""), [State legislative scorecards in Alabama](https://ballotpedia.org/State\_legislative\_scorecards\_in\_Alabama ""State legislative scorecards in Alabama"")_
A [scorecard](https://ballotpedia.org/State_legislative_scorecards) evaluates a legislator’s voting record. Its purpose is to inform voters about the legislator’s political positions. Because scorecards have varying purposes and methodologies, each report should be considered on its own merits. For example, an advocacy group’s scorecard may assess a legislator’s voting record on one issue while a state newspaper’s scorecard may evaluate the voting record in its entirety.

Ballotpedia is in the process of developing an encyclopedic list of published scorecards. Some states have a limited number of available scorecards or scorecards produced only by select groups. It is Ballotpedia’s goal to incorporate all available scorecards regardless of ideology or number.

[Click here](https://ballotpedia.org/State_legislative_scorecards) for an overview of legislative scorecards in all 50 states. To contribute to the list of scorecards, email suggestions to [editor@ballotpedia.org](mailto:editor@ballotpedia.org).

*   [2017](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2017f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2016](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2016f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2015](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2015f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2014](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2014f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2013](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2013f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2012](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2012f913f6ae-fe0f-4bf9-b5e7-754abecb2405)
*   [2011](https://ballotpedia.org/Johnny_Mack_Morrow#scorecards2011f913f6ae-fe0f-4bf9-b5e7-754abecb2405)"
