canonical_candidate_id,election_year,candidate_name,endorsing_group,endorsement_year,temporal_status,source_url,source_text,page_sha256
AL-2010-house-8-R-TERRI-COLLINS,2010,TERRI COLLINS,The Alabama Tea Party Express,2010,pre_or_same_cycle_group_signal,https://ballotpedia.org/Terri_Collins,"In 2010, Collins’ endorsements included the following:[[8]](https://ballotpedia.org/Terri_Collins#cite_note-8) * The Alabama Tea Party Express",131a9a0b9b22ec668c39029edfe2578125a3a07137e5ec4f8c04a3d50c5c3dff
AL-2014-house-8-R-TERRI-COLLINS,2014,Terri Collins,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Terri_Collins,"In 2010, Collins’ endorsements included the following:[[8]](https://ballotpedia.org/Terri_Collins#cite_note-8) * The Alabama Tea Party Express",131a9a0b9b22ec668c39029edfe2578125a3a07137e5ec4f8c04a3d50c5c3dff
AL-2018-house-8-R-TERRI-COLLINS,2018,Terri Collins,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Terri_Collins,"In 2010, Collins’ endorsements included the following:[[8]](https://ballotpedia.org/Terri_Collins#cite_note-8) * The Alabama Tea Party Express",131a9a0b9b22ec668c39029edfe2578125a3a07137e5ec4f8c04a3d50c5c3dff
AL-2022-house-8-R-GSL008RCOL,2022,Terri Collins,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Terri_Collins,"In 2010, Collins’ endorsements included the following:[[8]](https://ballotpedia.org/Terri_Collins#cite_note-8) * The Alabama Tea Party Express",131a9a0b9b22ec668c39029edfe2578125a3a07137e5ec4f8c04a3d50c5c3dff
AL-2010-house-47-R-JACK-WILLIAMS,2010,JACK WILLIAMS,The Alabama Tea Party Express,2010,pre_or_same_cycle_group_signal,https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives,"In 2010, Williams' endorsements included the following:[[9]](https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives#cite_note-9) * The Alabama Tea Party Express",72e4e760d8ec5a52bdfbc268f8053c818d40a07fcac01c7a7f28aae6bfd1185d
AL-2014-house-102-R-JACK-WILLIAMS,2014,Jack Williams,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives,"In 2010, Williams' endorsements included the following:[[9]](https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives#cite_note-9) * The Alabama Tea Party Express",72e4e760d8ec5a52bdfbc268f8053c818d40a07fcac01c7a7f28aae6bfd1185d
AL-2014-house-47-R-JACK-WILLIAMS,2014,Jack Williams,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives,"In 2010, Williams' endorsements included the following:[[9]](https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives#cite_note-9) * The Alabama Tea Party Express",72e4e760d8ec5a52bdfbc268f8053c818d40a07fcac01c7a7f28aae6bfd1185d
AL-2018-senate-34-R-JACK-WILLIAMS,2018,Jack Williams,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives,"In 2010, Williams' endorsements included the following:[[9]](https://ballotpedia.org/Jack_Williams_(Alabama_House_of_Representatives#cite_note-9) * The Alabama Tea Party Express",72e4e760d8ec5a52bdfbc268f8053c818d40a07fcac01c7a7f28aae6bfd1185d
AL-2002-house-2-R-GREER-LYNN,2002,"Greer, Lynn",The Alabama Tea Party Express,2010,post_election,https://ballotpedia.org/Lynn_Greer_(Alabama,"### 2010 In 2010, Greer's endorsements included the following:[[8]](https://ballotpedia.org/Lynn_Greer_(Alabama#cite_note-8) * The Alabama Tea Party Express",9504c5f21788dd9c52d75bf55833898701eb42f7ebae618811a1825f7918a227
AL-2018-house-2-R-LYNN-GREER,2018,Lynn Greer,The Alabama Tea Party Express,2010,historical_pre_election,https://ballotpedia.org/Lynn_Greer_(Alabama,"### 2010 In 2010, Greer's endorsements included the following:[[8]](https://ballotpedia.org/Lynn_Greer_(Alabama#cite_note-8) * The Alabama Tea Party Express",9504c5f21788dd9c52d75bf55833898701eb42f7ebae618811a1825f7918a227
AL-1998-house-24-R-GREESON,1998,Todd Greeson,The Alabama Tea Party Express,,undated_group_signal,https://ballotpedia.org/Todd_Greeson,Greeson was endorsed by: * The Alabama Tea Party Express[[10]](https://ballotpedia.org/Todd_Greeson#cite_note-10),593c6ae9eb616d5f2e070f94cc81d33d1f0521ed48582d812e5f237b3c132ec3
AL-2002-house-24-R-GREESON-TODD,2002,"Greeson, Todd",The Alabama Tea Party Express,,undated_group_signal,https://ballotpedia.org/Todd_Greeson,Greeson was endorsed by: * The Alabama Tea Party Express[[10]](https://ballotpedia.org/Todd_Greeson#cite_note-10),593c6ae9eb616d5f2e070f94cc81d33d1f0521ed48582d812e5f237b3c132ec3
AL-2010-house-24-R-TODD-GREESON,2010,TODD GREESON,The Alabama Tea Party Express,,undated_group_signal,https://ballotpedia.org/Todd_Greeson,Greeson was endorsed by: * The Alabama Tea Party Express[[10]](https://ballotpedia.org/Todd_Greeson#cite_note-10),593c6ae9eb616d5f2e070f94cc81d33d1f0521ed48582d812e5f237b3c132ec3
