canonical_candidate_id,election_cycle,primitive_axis,person_id,candidate_name,issue_valence,absolute_evidence_weight,evidence_records,source_types,source_type_count,conflict_ratio,position_status,issue_score_available,model_issue_valence
AL-1994-house-42-D-SMITH,1994.0,criminal_punishment,ALPERSON-SMITH,Smith,1.0,0.9,1,public_statement,1,0.0,supported,True,1.0
AL-1994-house-53-D-NEWTON,1994.0,anti_discrimination,ALPERSON-NEWTON,Newton,1.0,0.75,1,candidate_biography,1,0.0,supported,True,1.0
AL-1994-house-53-D-NEWTON,1994.0,government_ethics_transparency,ALPERSON-NEWTON,Newton,1.0,0.75,1,legislative_disclosure_action,1,0.0,supported,True,1.0
AL-1994-house-95-R-MCMILLAN,1994.0,direct_democracy,ALPERSON-MCMILLAN,Mcmillan,1.0,0.75,1,legislative_proposal,1,0.0,supported,True,1.0
AL-1994-house-96-D-BOX,1994.0,federalism,ALPERSON-BOX,Box,-1.0,0.75,1,congressional_testimony,1,0.0,opposed,True,-1.0
AL-1994-senate-12-D-GHEE,1994.0,criminal_punishment,ALPERSON-GHEE,Ghee,1.0,0.75,1,legislative_record_candidate_profile,1,0.0,supported,True,1.0
AL-1994-senate-12-R-JAMES,1994.0,deficit_discipline,ALPERSON-JAMES,James,1.0,0.75,1,candidate_interview,1,0.0,supported,True,1.0
AL-1994-senate-18-D-SMITHERMAN,1994.0,education_public_funding,ALPERSON-SMITHERMAN,Smitherman,1.0,0.75,1,candidate_campaign_pledge,1,0.0,supported,True,1.0
AL-1994-senate-18-D-SMITHERMAN,1994.0,welfare_generosity,ALPERSON-SMITHERMAN,Smitherman,1.0,0.75,1,candidate_campaign_pledge,1,0.0,supported,True,1.0
AL-1994-senate-18-R-HORN,1994.0,education_public_funding,ALPERSON-HORN,Horn,1.0,0.75,1,legislative_initiative,1,0.0,supported,True,1.0
AL-1994-senate-23-D-SANDERS,1994.0,tax_burden,ALPERSON-SANDERS,Sanders,-1.0,1.2,1,bill_sponsorship,1,0.0,opposed,True,-1.0
AL-1994-senate-23-D-SANDERS,1994.0,tax_distribution,ALPERSON-SANDERS,Sanders,1.0,1.2,1,bill_sponsorship,1,0.0,supported,True,1.0
AL-1998-house-1-D-STARKEY,1998.0,abortion_access,ALPERSON-STARKEY,Starkey,-0.2,5.0,5,candidate_questionnaire,1,0.6666666666666666,conflicted,False,
AL-1998-house-1-D-STARKEY,1998.0,anti_discrimination,ALPERSON-STARKEY,Starkey,-1.0,4.0,4,candidate_questionnaire,1,0.0,opposed,True,-1.0
AL-1998-house-1-D-STARKEY,1998.0,childcare_support,ALPERSON-STARKEY,Starkey,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-1-D-STARKEY,1998.0,civil_social_liberty,ALPERSON-STARKEY,Starkey,0.6666666666666666,6.0,6,candidate_questionnaire,1,0.2,supported,True,0.6666666666666666
AL-1998-house-1-D-STARKEY,1998.0,criminal_punishment,ALPERSON-STARKEY,Starkey,0.4444444444444444,9.0,9,candidate_questionnaire,1,0.3333333333333333,supported,True,0.4444444444444444
AL-1998-house-1-D-STARKEY,1998.0,deficit_discipline,ALPERSON-STARKEY,Starkey,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-1-D-STARKEY,1998.0,education_accountability,ALPERSON-STARKEY,Starkey,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-1-D-STARKEY,1998.0,education_market_choice,ALPERSON-STARKEY,Starkey,1.0,1.0,1,candidate_questionnaire,1,0.0,supported,True,1.0
AL-1998-house-1-D-STARKEY,1998.0,education_public_funding,ALPERSON-STARKEY,Starkey,0.5,2.0,2,candidate_questionnaire,1,0.0,supported,True,0.5
AL-1998-house-1-D-STARKEY,1998.0,environmental_protection,ALPERSON-STARKEY,Starkey,-0.25,4.0,4,candidate_questionnaire,1,0.5,conflicted,False,
