canonical_candidate_id,person_id,year,chamber,district_candidate,canonical_party,canonical_name,resolved_name,name_source,people_id,member_source_id,member_display_name,first_session,last_session,legislative_sessions,identity_status,identity_match_method
AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,1994,house,1,D,Starkey,Nelson R. Starkey Jr.,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-1-R-PHILLIPS,ALPERSON-PHILLIPS,1994,house,1,R,Phillips,Duane Phillips,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-2-D-HAMILTON,ALPERSON-HAMILTON,1994,house,2,D,Hamilton,Hamilton,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-3-D-BLACK,ALPERSON-BLACK,1994,house,3,D,Black,Marcel Black,manual_verified_candidate_alias,3380.0,LEGISCAN-3380,Marcel Black,2010.0,2018.0,9,resolved,exact_resolved_name_chamber
AL-1994-house-3-R-SMALLWOOD,ALPERSON-SMALLWOOD,1994,house,3,R,Smallwood,John Smallwood,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-4-D-SMITH,ALPERSON-SMITH,1994,house,4,D,Smith,Ross Smith,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-4-R-PAPUCCI,ALPERSON-PAPUCCI,1994,house,4,R,Papucci,Nelson Papucci,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-5-D-CARTER,ALPERSON-CARTER,1994,house,5,D,Carter,Carter,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,1994,house,6,D,Schmitz,Sue Schmitz,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-6-R-JORGENSEN,ALPERSON-JORGENSEN,1994,house,6,R,Jorgensen,Jorgensen,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-7-D-LETSON,ALPERSON-LETSON,1994,house,7,D,Letson,John Jody Letson,manual_verified_candidate_alias,3378.0,LEGISCAN-3378,John Letson,2010.0,2010.0,1,resolved,first_initial_surname_district
AL-1994-house-7-R-RANDOLPH,ALPERSON-RANDOLPH,1994,house,7,R,Randolph,Byron L. Randolph,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-8-D-DUKES,ALPERSON-DUKES,1994,house,8,D,Dukes,Bill Dukes,manual_verified_candidate_alias,3384.0,LEGISCAN-3384,Bill Dukes,2010.0,2010.0,1,resolved,exact_resolved_name_chamber
AL-1994-house-8-R-NEW,ALPERSON-NEW,1994,house,8,R,New,New,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-9-D-PARKER,ALPERSON-PARKER,1994,house,9,D,Parker,Parker,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-10-D-HANEY,ALPERSON-HANEY,1994,house,10,D,Haney,Haney,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-11-D-DRAKE,ALPERSON-DRAKE,1994,house,11,D,Drake,Drake,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-12-D-MORRISON,ALPERSON-MORRISON,1994,house,12,D,Morrison,Neal Morrison,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-12-R-BOWLING,ALPERSON-BOWLING,1994,house,12,R,Bowling,Bowling,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-13-D-HOGAN,ALPERSON-HOGAN,1994,house,13,D,Hogan,Hogan,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-14-D-GUIN,ALPERSON-GUIN,1994,house,14,D,Guin,Guin,canonical_election_ballot,,,,,,0,unmatched,unmatched
AL-1994-house-15-D-SHARP,ALPERSON-SHARP,1994,house,15,D,Sharp,Philip L. Sharp,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-15-R-CURRY,ALPERSON-CURRY,1994,house,15,R,Curry,Johnny Curry,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched
AL-1994-house-16-D-COLLINS,ALPERSON-COLLINS,1994,house,16,D,Collins,Collins,canonical_election_ballot,,,,,,0,unmatched,unmatched
