canonical_candidate_id,person_id,year,chamber,district_candidate,canonical_party,canonical_name,incumbent,winner,prior_winner_i,expected_prior_officeholder,resolved_name,name_source,people_id,member_source_id,member_display_name,first_session,last_session,legislative_sessions,identity_status,identity_match_method,review_reason
AL-2002-house-28-R-ABEL-DAVID-C,ALPERSON-ABEL-DAVID-C,2002,house,28,R,"Abel, David C.",0,0,False,False,David C. Abel,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-16-R-ACKER-JOE-D,ALPERSON-ACKER-JOE-D,2002,house,16,R,"Acker, Joe D.",0,0,False,False,Joe D. Acker,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-31-D-ADAMS,ALPERSON-ADAMS,1994,senate,31,D,Adams,0,1,False,False,Adams,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-31-R-ADAMS,ALPERSON-ADAMS,1998,senate,31,R,Adams,0,1,True,True,Dwight Adams,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-21-R-AL-WIGGINS,ALPERSON-AL-WIGGINS,2006,house,21,R,AL WIGGINS,0,0,False,False,AL WIGGINS,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-22-D-ALBERT-HALL,ALPERSON-ALBERT-HALL,2006,house,22,D,ALBERT HALL,0,1,False,False,ALBERT HALL,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-62-D-ALLEN,ALPERSON-ALLEN,1994,house,62,D,Allen,0,1,False,False,Gerald Harrison Allen,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-42-R-ALLEN-CATON,ALPERSON-ALLEN-CATON,2006,house,42,R,ALLEN CATON,0,0,False,False,ALLEN CATON,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-house-62-R-ALLEN-GERALD,ALPERSON-ALLEN-GERALD,2002,house,62,R,"Allen, Gerald",0,1,False,False,"Allen, Gerald",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-48-D-ALLI-SUMMERFORD,ALPERSON-ALLI-SUMMERFORD,2018,house,48,D,Alli Summerford,0,0,False,False,Alli Summerford,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-15-D-AMARI,ALPERSON-AMARI,1994,senate,15,D,Amari,0,1,False,False,Amari,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-64-D-AMBER-SELMAN-LYNN,ALPERSON-AMBER-SELMAN-LYNN,2018,house,64,D,Amber Selman-Lynn,0,0,False,False,Amber Selman-Lynn,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-101-D-AMY-BECKERLE-SMITH,ALPERSON-AMY-BECKERLE-SMITH,2006,house,101,D,AMY BECKERLE SMITH,0,0,False,False,AMY BECKERLE SMITH,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-senate-2-D-AMY-WASYLUKA,ALPERSON-AMY-WASYLUKA,2018,senate,2,D,Amy Wasyluka,0,0,False,False,Amy Wasyluka,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-house-19-R-ANDERSON,ALPERSON-ANDERSON,1994,house,19,R,Anderson,0,0,False,False,Anderson,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-25-D-ANDERSON,ALPERSON-ANDERSON,1994,senate,25,D,Anderson,0,1,False,False,James Anderson,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-house-2-D-ANDREW-ANDY-BETTERTON,ALPERSON-ANDREW-ANDY-BETTERTON,2014,house,2,D,"Andrew ""Andy"" Betterton",0,0,False,False,"Andrew ""Andy"" Betterton",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-5-R-ANDREWS,ALPERSON-ANDREWS,1998,house,5,R,Andrews,0,0,False,False,Andrews,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2002-senate-2-R-ANDREWS-STEVE,ALPERSON-ANDREWS-STEVE,2002,senate,2,R,"Andrews, Steve",0,0,False,False,"Andrews, Steve",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-senate-4-D-ANGELO-DOC-MANCUSO,ALPERSON-ANGELO-DOC-MANCUSO,2014,senate,4,D,"Angelo ""Doc"" Mancuso",0,0,False,False,"Angelo ""Doc"" Mancuso",canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2006-house-62-D-ANN-SKELTON,ALPERSON-ANN-SKELTON,2006,house,62,D,ANN SKELTON,0,0,False,False,ANN SKELTON,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2014-house-33-D-ANTHONY-ZACHERO,ALPERSON-ANTHONY-ZACHERO,2014,house,33,D,Anthony Zachero,0,0,False,False,Anthony Zachero,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,ALPERSON-ARLENE-CUNNINGHAM-EASLEY,2018,house,104,D,Arlene Cunningham Easley,0,0,False,False,Arlene Cunningham Easley,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,1994,senate,14,R,Armistead,0,1,False,False,Armistead,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-senate-14-R-ARMISTEAD,ALPERSON-ARMISTEAD,1998,senate,14,R,Armistead,0,1,True,True,Bill Armistead,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-66-R-AUST,ALPERSON-AUST,1998,house,66,R,Aust,0,0,False,False,Aust,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-2018-house-30-R-B-CRAIG-LIPSCOMB,ALPERSON-B-CRAIG-LIPSCOMB,2018,house,30,R,B. Craig Lipscomb,0,1,False,False,Brandon Craig Lipscomb,manual_verified_candidate_alias,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1994-senate-29-D-BAILEY,ALPERSON-BAILEY,1994,senate,29,D,Bailey,0,1,False,False,Bailey,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
AL-1998-house-9-R-BALL,ALPERSON-BALL,1998,house,9,R,Ball,0,0,False,False,Ball,canonical_election_ballot,,,,,,0,unmatched,unmatched,no verified candidate-to-member identity
