election_cycle,source_type,temporal_status,evidence_rows,candidates,policies,primitives,families
1996.0,candidate_questionnaire,same_cycle_candidate_statement,10,0,10,5,2
1998.0,candidate_questionnaire,same_cycle_candidate_statement,4033,65,75,24,6
1998.0,legislative_vote,pre_or_same_cycle_legislative_action,361,39,12,8,4
2000.0,candidate_questionnaire,same_cycle_candidate_statement,19,0,19,8,3
2002.0,candidate_questionnaire,same_cycle_candidate_statement,2683,42,67,22,5
2002.0,legislative_vote,pre_or_same_cycle_legislative_action,1803,53,54,12,4
2004.0,candidate_questionnaire,same_cycle_candidate_statement,47,0,24,12,4
2006.0,candidate_questionnaire,same_cycle_candidate_statement,1812,37,63,21,6
2006.0,legislative_vote,pre_or_same_cycle_legislative_action,2176,50,56,9,4
2008.0,candidate_questionnaire,same_cycle_candidate_statement,9,0,8,6,4
2010.0,bill_sponsorship,pre_or_same_cycle_legislative_action,2907,132,734,58,8
2010.0,candidate_questionnaire,same_cycle_candidate_statement,1312,22,50,23,7
2010.0,legislative_vote,pre_or_same_cycle_legislative_action,1589,114,46,16,7
2014.0,bill_sponsorship,pre_or_same_cycle_legislative_action,9868,111,2172,71,8
2014.0,candidate_questionnaire,same_cycle_candidate_statement,261,4,47,24,8
2014.0,legislative_vote,pre_or_same_cycle_legislative_action,13638,111,176,42,8
2016.0,candidate_questionnaire,same_cycle_candidate_statement,17,0,17,10,5
2018,bill_sponsorship,pre_or_same_cycle_legislative_action,1561,98,1503,66,7
2018,candidate_questionnaire,same_cycle_candidate_statement,566,20,29,18,8
2018,legislative_vote,pre_or_same_cycle_legislative_action,9099,103,145,39,6
2022.0,bill_sponsorship,pre_or_same_cycle_legislative_action,1845,79,1003,62,7
2022.0,candidate_questionnaire,same_cycle_candidate_statement,125,0,22,14,7
2022.0,legislative_vote,pre_or_same_cycle_legislative_action,6953,80,141,39,6
2024.0,candidate_questionnaire,same_cycle_candidate_statement,2,0,2,2,0
,candidate_questionnaire,same_cycle_candidate_statement,49,0,47,18,6
