ontology_version,evidence_id,canonical_candidate_id,person_id,candidate_name,election_cycle,evidence_date,temporal_status,source_type,source_provider,source_record_id,source_url,item_id,policy_family,policy_key,primitive_axis,policy_pole,candidate_stance,position_value,response_mode,family,family_direction,family_contribution,constituency_tags_json,confidence,adjudication_authority,evidence_weight,source_text,raw_answer
3.0.0,CC420380D27BAA0ABF61,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,00EDB0606F2B3444,abortion_reproductive,abortion_general_pro_life,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,a) Do you generally support pro-choice or pro-life legislation?,Pro-life
3.0.0,15D900909B4F3C0B5278,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,2517223203542DA2,abortion_reproductive,abortion_after_first_trimester_ban,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,b) Should abortions be illegal after the first trimester of pregnancy?,Yes
3.0.0,20551D2627D62B7454B6,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,DD32F710BBA78CEE,abortion_reproductive,abortion_rape_incest_exception,abortion_access,expand,support,1.0,binary,social_liberty_equality,1.0,1.0,[],medium,legacy_deterministic_migrated,0.9,c) Should abortion be legal when the pregnancy resulted from incest or rape?,Yes
3.0.0,F1CA1F9FC9C667C411DF,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,32A611505BD336A3,abortion_reproductive,abortion_life_exception,abortion_access,expand,support,1.0,binary,social_liberty_equality,1.0,1.0,[],medium,legacy_deterministic_migrated,0.9,d) Should abortion be legal when the life of the woman is endangered?,Yes
3.0.0,E0A82A85A12D7339FD78,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,E6706A275B778C5B,abortion_reproductive,abortion_parental_notification,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,e) Do you support requiring parental notification before an abortion is performed on a minor?,Yes
3.0.0,DE9DD7F647D587546E8F,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,38948DCE663D8422,abortion_reproductive,abortion_parental_consent,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,f) Do you support requiring parental consent before an abortion is performed on a minor?,Yes
3.0.0,129A2E03B98FF12AF3A7,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,296F6762B11ACDC7,abortion_reproductive,abortion_public_funding_prohibition,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,g) Do you support the prohibition of public funds for abortion procedures?,Yes
3.0.0,79912C5FBF463D00177B,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,5EC3598D8BE0C818,abortion_reproductive,abortion_public_funding_prohibition,abortion_access,restrict,support,1.0,binary,social_liberty_equality,-1.0,-1.0,[],medium,legacy_deterministic_migrated,0.9,h) Do you support the prohibition of public funds for organizations that perform abortions?,Yes
3.0.0,EA40AED8959A730215B4,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,F7058E73CF029740,fiscal_tax_budget,spending_higher_education,education_public_funding,expand,support,0.5,ordinal,,,,[],medium,legacy_deterministic_migrated,0.9,a) Education (higher),Slightly Increase
3.0.0,A51A59F0E5367BD3985D,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,CB5C89391812A95F,fiscal_tax_budget,spending_k12_education,education_public_funding,expand,support,0.5,ordinal,,,,[],medium,legacy_deterministic_migrated,0.9,b) Education (K-12),Slightly Increase
3.0.0,ECF194CC88F00327E8B4,AL-2014-senate-32-R-TRIP-PITTMAN,ALPERSON-TRIP-PITTMAN,Trip Pittman,2014.0,,same_cycle_candidate_statement,candidate_questionnaire,Vote Smart,101243,https://j.futurefacts.votesmart.io/candidate/political-courage-test/101243/trip-pittman,B5384E660442EF07,fiscal_tax_budget,spending_environment,environmental_protection,strengthen,maintain,0.0,ordinal,environment_resources,1.0,0.0,[],medium,legacy_deterministic_migrated,0.9,c) Environment,Maintain Status
