headline_dimension,era,n,negative_pole,middle,positive_pole,minority_pole_count,minority_pole_share,stance_mean,stance_sd,stance_min,stance_q25,stance_median,stance_q75,stance_max,variation_class
gun_rights,2008_2014,80,35,7,38,35,0.4375,-0.021117424242424233,0.840106337263981,-1.0,-1.0,0.0,0.8400000000000001,1.0,two_sided_usable
gun_rights,post_2016,54,46,1,7,7,0.12962962962962962,-0.6746428571428572,0.6551746240695252,-1.0,-1.0,-1.0,-0.625,1.0,weakly_two_sided
gun_rights,pre_2008,152,64,33,55,55,0.3618421052631579,-0.07907894736842105,0.7994068991078292,-1.0,-1.0,0.0,0.7775,1.0,two_sided_usable
institutional_democratic_reform,2008_2014,34,0,0,34,0,0.0,0.8970588235294118,0.2562836768783065,0.1666666666666666,1.0,1.0,1.0,1.0,sparse
institutional_democratic_reform,post_2016,20,2,0,18,2,0.1,0.8,0.6155870112510925,-1.0,1.0,1.0,1.0,1.0,sparse
institutional_democratic_reform,pre_2008,1,0,0,1,0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,sparse
labor_power,2008_2014,75,2,25,48,2,0.02666666666666667,0.5192698412698412,0.5102825412900336,-1.0,0.0,0.6666666666666666,1.0,1.0,sparse
labor_power,post_2016,78,3,2,73,3,0.038461538461538464,0.9248575498575499,0.2925066573394909,-0.3333333333333333,1.0,1.0,1.0,1.0,one_sided
labor_power,pre_2008,92,7,5,80,7,0.07608695652173914,0.7934782608695652,0.5652587364054239,-1.0,1.0,1.0,1.0,1.0,weakly_two_sided
market_and_development_autonomy,2008_2014,66,54,11,1,1,0.015151515151515152,-0.6148752254040688,0.37836085070701975,-1.0,-1.0,-0.5486111111111112,-0.36531986531986527,0.22,sparse
market_and_development_autonomy,post_2016,42,29,3,10,10,0.23809523809523808,-0.4083994708994708,0.6916230386335745,-1.0,-1.0,-0.7083333333333334,0.0,1.0,two_sided_usable
market_and_development_autonomy,pre_2008,139,44,30,65,44,0.31654676258992803,0.11620676431827515,0.5881567966527887,-1.0,-0.3,0.12,0.56,1.0,two_sided_usable
material_redistribution,2008_2014,33,19,6,8,8,0.24242424242424243,-0.2727272727272727,0.8205458272061681,-1.0,-1.0,-0.5,0.0,1.0,weakly_two_sided
material_redistribution,post_2016,31,10,0,21,10,0.3225806451612903,0.3548387096774194,0.9503819266229828,-1.0,-1.0,1.0,1.0,1.0,two_sided_usable
material_redistribution,pre_2008,53,27,21,5,5,0.09433962264150944,-0.13694968553459116,0.42871447248197425,-1.0,-0.25,-0.1666666666666666,-0.0833333333333333,1.0,weakly_two_sided
public_services,2008_2014,63,0,3,60,0,0.0,0.8779761904761905,0.29074973820496736,-0.125,1.0,1.0,1.0,1.0,sparse
public_services,post_2016,58,0,0,58,0,0.0,0.9803204458376872,0.08567695946594162,0.5555555555555556,1.0,1.0,1.0,1.0,sparse
public_services,pre_2008,108,0,8,100,0,0.0,0.8033236976047434,0.2869250729437799,0.0,0.75,0.9166666666666666,1.0,1.0,sparse
punitive_law_and_order,2008_2014,56,4,16,36,4,0.07142857142857142,0.33694858389186116,0.5165690309664409,-1.0,0.0,0.2854700854700855,0.9166666666666669,1.0,one_sided
punitive_law_and_order,post_2016,34,18,3,13,13,0.38235294117647056,-0.24770541549953312,0.6525516627955177,-1.0,-1.0,-0.3333333333333333,0.3333333333333333,1.0,two_sided_usable
punitive_law_and_order,pre_2008,99,10,9,80,10,0.10101010101010101,0.571479621364338,0.46721459551169137,-1.0,0.3333333333333333,0.6538461538461539,1.0,1.0,two_sided_usable
racial_and_political_equality,2008_2014,21,0,0,21,0,0.0,0.9690476190476192,0.10059347702036958,0.6,1.0,1.0,1.0,1.0,sparse
racial_and_political_equality,post_2016,36,9,4,23,9,0.25,0.37037037037037035,0.864751649008015,-1.0,-0.25,1.0,1.0,1.0,weakly_two_sided
racial_and_political_equality,pre_2008,70,30,8,32,30,0.42857142857142855,0.01666666666666666,0.928242673306665,-1.0,-1.0,0.0,1.0,1.0,two_sided_usable
social_traditionalism,2008_2014,30,15,6,9,9,0.3,-0.1111111111111111,0.7895459596994022,-1.0,-1.0,-0.12499999999999996,0.79375,1.0,weakly_two_sided
social_traditionalism,post_2016,33,30,0,3,3,0.09090909090909091,-0.5595959595959595,0.561975531777406,-1.0,-1.0,-0.6666666666666666,-0.3333333333333333,1.0,one_sided
social_traditionalism,pre_2008,79,30,19,30,30,0.379746835443038,-0.08185654008438818,0.6611911350336866,-1.0,-0.6666666666666666,0.0,0.25,1.0,two_sided_usable
