cycle,chamber,high_candidate,high_id,high_score,high_overperformance,low_candidate,low_id,low_score,low_overperformance,match_distance,paired_difference
2006,senate,JIMMY W. HOLLEY,AL-2006-senate-31-D-JIMMY-W-HOLLEY,0.7166666666666667,66.71348064274365,HINTON HITCHEM,AL-2006-senate-9-D-HINTON-HITCHEM,-0.40800000000000003,58.48753634937085,1.2718187360548856,8.225944293372798
2006,house,SETH HAMMETT,AL-2006-house-92-D-SETH-HAMMETT,0.6266666666666666,110.54350369888138,GARY JOHNSON,AL-2006-house-102-D-GARY-JOHNSON,-0.49523809523809526,-0.3956161696853115,0.204530452732444,110.93911986856669
2002,senate,"Means, Larry",AL-2002-senate-10-D-MEANS-LARRY,0.4,44.62909207522058,"Tanner, Gary",AL-2002-senate-35-D-TANNER-GARY,-0.3869047619047619,21.782472849885064,1.7182557103436946,22.84661922533552
2002,house,"Page, Jack",AL-2002-house-29-D-PAGE-JACK,0.39999999999999997,38.59753097878962,"Graham, Betty Carol",AL-2002-house-81-D-GRAHAM-BETTY-CAROL,-0.4666666666666666,60.63771366000681,0.9920376931397938,-22.04018268121719
2010,house,JOHN 'Jody' LETSON,AL-2010-house-7-D-JOHN-JODY-LETSON,0.3385585585585586,9.560747259970045,ALAN HARPER,AL-2010-house-61-D-ALAN-HARPER,-0.5,40.26952405876184,1.244464003386822,-30.708776798791796
2010,senate,T. D. (Ted) LITTLE,AL-2010-senate-27-D-T-D-TED-LITTLE,0.26666666666666666,17.467856982487064,TAMMY L. IRONS,AL-2010-senate-1-D-TAMMY-L-IRONS,-0.4166666666666667,30.304391927829563,1.1345872296574235,-12.8365349453425
2018,house,Dexter Grimsley,AL-2018-house-85-D-DEXTER-GRIMSLEY,0.258,18.590221274436207,Joanne Whetstone,AL-2018-house-90-D-JOANNE-WHETSTONE,-0.6,-8.854309233800493,0.8605025284191493,27.4445305082367
2018,senate,Johnny Mack Morrow,AL-2018-senate-6-D-JOHNNY-MACK-MORROW,0.21111111111111108,31.85287518218357,Tom Holmes,AL-2018-senate-35-D-TOM-HOLMES,-1.0,-0.8995873762451012,0.5359260045011275,32.752462558428675
2010,house,RICHARD LAIRD,AL-2010-house-37-D-RICHARD-LAIRD,0.194,43.84060346800041,JOHN G. 'Jack' PAGE III,AL-2010-house-29-D-JOHN-G-JACK-PAGE-III,-0.75,26.218972308144004,0.2538434087802395,17.621631159856406
2010,house,STEVE HURST,AL-2010-house-35-D-STEVE-HURST,0.1783783783783784,50.91610753239299,TOMMY SHERER,AL-2010-house-13-D-TOMMY-SHERER,-0.5,25.235718905814185,0.3669736817227047,25.680388626578807
1998,senate,Holley,AL-1998-senate-31-D-HOLLEY,0.14936507936507937,44.26910886848038,Robinson,AL-1998-senate-14-D-ROBINSON,-0.45,2.2346711682596307,0.2977564915486013,42.03443770022075
1998,senate,Chappell,AL-1998-senate-25-D-CHAPPELL,0.1290909090909091,3.0418645568604674,Johns,AL-1998-senate-16-D-JOHNS,-0.7055555555555555,7.289208953032009,3.4674947667637808,-4.247344396171542
2010,house,KEN GUIN,AL-2010-house-14-D-KEN-GUIN,0.12000000000000002,-10.128672191475552,"WILLIAM E. THIGPEN, SR.",AL-2010-house-16-D-WILLIAM-E-THIGPEN-SR,-0.5,23.720724398881792,0.29207421598657257,-33.849396590357344
2010,senate,VIVIAN DAVIS FIGURES,AL-2010-senate-33-D-VIVIAN-DAVIS-FIGURES,0.09608823529411764,47.87233908734365,BILLY BEASLEY,AL-2010-senate-28-D-BILLY-BEASLEY,-0.5,23.04954889743219,1.8591232180605446,24.82279018991146
2018,house,Eddie Britton,AL-2018-house-18-D-EDDIE-BRITTON,0.07642857142857136,8.067229304927409,Kristy M. Kirkland,AL-2018-house-86-D-KRISTY-M-KIRKLAND,-0.37777777777777777,-7.834132298762015,0.2089783105477326,15.901361603689423
2006,house,"F. P. ""SKIPPY"" WHITE",AL-2006-house-66-D-F-P-SKIPPY-WHITE,0.0,27.87810900001395,JOHN WILLIAMS,AL-2006-house-93-D-JOHN-WILLIAMS,-0.5,14.928570168879062,0.8782893644208767,12.949538831134888
2010,house,JAMES M. 'Jimmy' MARTIN,AL-2010-house-42-D-JAMES-M-JIMMY-MARTIN,0.0,30.39725746036035,JEFF McLAUGHLIN,AL-2010-house-27-D-JEFF-MCLAUGHLIN,-0.4166666666666667,56.43992828393883,0.6932599196739101,-26.042670823578483
