organization,issue_categories,adjudication_status,adjudication_rationale
21Wilberforce,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
60 Plus Association,Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
ACT! for America,Foreign Affairs,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),Labor Unions,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
AIDS Drug Assistance Program Advocacy Association,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
AIDS United,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
AIPAC PAC (American Israel Public Affairs Committee),,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Academy of General Dentistry,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alabama AFL-CIO,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Alabama Association of Realtors,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alabama Farmers Federation,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Alabama Forestry Association,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Alabama Grocers Association,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alabama Retail Association,,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alabama State Employees Association,,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Alliance For Headache Disorders Advocacy,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alliance for Retired Americans,Entitlements and the Safety Net,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
Alliance to Stop the War on the Poor,Unemployed and Low-Income,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
Alzheimer's Impact Movement,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Academy of Emergency Medicine,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Academy of Family Physicians,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Association of University Women,Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Bakers Association,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Civil Liberties Union (ACLU),Civil Liberties and Civil Rights,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Coalition for Ethanol,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American College of Emergency Physicians,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American College of Obstetricians and Gynecologists,Health and Health Care,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Conservative Union (ACU),Conservative,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Council of Engineering Companies,Business and Consumers,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Energy Alliance (AEA),Energy,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Family Association,Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Family Association Action (AFA Action),Family,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Farm Bureau Federation,Agriculture and Food,excluded_broad_or_constituency_signal_without_specific_policy_pole,Organization name/category alone cannot establish a candidate position on a specific policy pole.
American Federation of Government Employees (AFGE),Labor Unions,mapped_to_specific_issue,Explicit organization-to-primitive mapping is documented.
