session_year,chamber,status_family,rollcalls
1998,house,mapped,12
1998,house,other_excluded,1614
1998,senate,mapped,6
1998,senate,other_excluded,201
1999,house,mapped,9
1999,house,other_excluded,1647
1999,senate,mapped,3
1999,senate,other_excluded,801
2000,house,mapped,16
2000,house,other_excluded,1975
2001,house,mapped,17
2001,house,other_excluded,1863
2001,senate,mapped,10
2001,senate,other_excluded,1363
2002,house,mapped,5
2002,house,other_excluded,1003
2002,senate,mapped,8
2002,senate,other_excluded,1050
2003,house,mapped,17
2003,house,other_excluded,1603
2003,senate,mapped,22
2003,senate,other_excluded,1418
2004,house,mapped,10
2004,house,other_excluded,1307
2004,senate,mapped,9
2004,senate,other_excluded,1511
2005,house,mapped,19
2005,house,other_excluded,1158
2005,senate,mapped,4
2005,senate,other_excluded,816
2006,house,mapped,9
2006,house,other_excluded,1312
2006,senate,mapped,11
2006,senate,other_excluded,1440
2007,house,mapped,12
2007,house,other_excluded,1189
2007,senate,mapped,7
2007,senate,other_excluded,894
2008,house,mapped,11
2008,house,other_excluded,1281
2008,senate,mapped,10
2008,senate,other_excluded,907
2009,house,mapped,12
2009,house,other_excluded,1505
2009,senate,mapped,17
2009,senate,other_excluded,1357
2010,house,mapped,3
2010,house,other_excluded,401
2010,senate,mapped,2
2010,senate,other_excluded,374
2011,house,mapped,19
2011,house,other_excluded,895
2011,senate,mapped,9
2011,senate,other_excluded,737
2012,house,mapped,12
2012,house,other_excluded,1161
2012,senate,mapped,12
2012,senate,other_excluded,953
2013,house,mapped,9
2013,house,other_excluded,863
2013,senate,mapped,7
2013,senate,other_excluded,857
2014,house,mapped,3
2014,house,other_excluded,722
2014,senate,mapped,6
2014,senate,other_excluded,703
2015,house,mapped,5
2015,house,other_excluded,1006
2015,senate,mapped,7
2015,senate,other_excluded,921
2016,house,mapped,11
2016,house,other_excluded,751
2016,senate,mapped,7
2016,senate,other_excluded,744
2017,house,mapped,13
2017,house,other_excluded,729
2017,senate,mapped,8
2017,senate,other_excluded,781
2018,house,mapped,10
2018,house,other_excluded,818
2018,senate,mapped,9
2018,senate,other_excluded,766
2019,house,mapped,10
2019,house,other_excluded,822
2019,senate,mapped,9
2019,senate,other_excluded,826
2020,house,mapped,1
2020,house,other_excluded,359
2020,senate,other_excluded,323
2021,house,mapped,6
2021,house,other_excluded,1286
2021,senate,mapped,5
2021,senate,other_excluded,1290
2022,house,mapped,6
2022,house,other_excluded,1024
2022,senate,mapped,5
2022,senate,other_excluded,862
2023,house,mapped,83
2023,house,other_excluded,685
2023,senate,mapped,77
2023,senate,other_excluded,672
2024,house,mapped,75
2024,house,other_excluded,1068
2024,senate,mapped,66
2024,senate,other_excluded,938
2025,house,mapped,65
2025,house,other_excluded,1617
2025,senate,mapped,43
2025,senate,other_excluded,1126
2026,house,mapped,67
2026,house,other_excluded,1841
2026,senate,mapped,61
2026,senate,other_excluded,1581
