canonical_candidate_id,year,chamber,district,party,candidate_name,canonical_incumbent,inferred_prior_winner,expected_prior_officeholder,proposed_people_id,proposed_member_name,proposed_member_chamber,recovery_method,recovery_confidence
AL-2002-house-28-R-ABEL-DAVID-C,2002,house,28,R,David C. Abel,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-16-R-ACKER-JOE-D,2002,house,16,R,Joe D. Acker,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-31-D-ADAMS,1994,senate,31,D,Adams,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-31-R-ADAMS,1998,senate,31,R,Dwight Adams,0,True,True,,,,no_unique_deterministic_recovery,none
AL-2006-house-21-R-AL-WIGGINS,2006,house,21,R,AL WIGGINS,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-22-D-ALBERT-HALL,2006,house,22,D,ALBERT HALL,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-62-D-ALLEN,1994,house,62,D,Gerald Harrison Allen,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-42-R-ALLEN-CATON,2006,house,42,R,ALLEN CATON,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-62-R-ALLEN-GERALD,2002,house,62,R,"Allen, Gerald",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-48-D-ALLI-SUMMERFORD,2018,house,48,D,Alli Summerford,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-15-D-AMARI,1994,senate,15,D,Amari,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-64-D-AMBER-SELMAN-LYNN,2018,house,64,D,Amber Selman-Lynn,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-101-D-AMY-BECKERLE-SMITH,2006,house,101,D,AMY BECKERLE SMITH,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-senate-2-D-AMY-WASYLUKA,2018,senate,2,D,Amy Wasyluka,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-19-R-ANDERSON,1994,house,19,R,Anderson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-25-D-ANDERSON,1994,senate,25,D,James Anderson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-2-D-ANDREW-ANDY-BETTERTON,2014,house,2,D,"Andrew ""Andy"" Betterton",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-5-R-ANDREWS,1998,house,5,R,Andrews,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-2-R-ANDREWS-STEVE,2002,senate,2,R,"Andrews, Steve",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-senate-4-D-ANGELO-DOC-MANCUSO,2014,senate,4,D,"Angelo ""Doc"" Mancuso",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-62-D-ANN-SKELTON,2006,house,62,D,ANN SKELTON,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-33-D-ANTHONY-ZACHERO,2014,house,33,D,Anthony Zachero,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-104-D-ARLENE-CUNNINGHAM-EASLEY,2018,house,104,D,Arlene Cunningham Easley,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-14-R-ARMISTEAD,1994,senate,14,R,Armistead,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-14-R-ARMISTEAD,1998,senate,14,R,Bill Armistead,0,True,True,,,,no_unique_deterministic_recovery,none
AL-1998-house-66-R-AUST,1998,house,66,R,Aust,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-30-R-B-CRAIG-LIPSCOMB,2018,house,30,R,Brandon Craig Lipscomb,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-29-D-BAILEY,1994,senate,29,D,Bailey,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-9-R-BALL,1998,house,9,R,Ball,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-10-R-BALL-MIKE,2002,house,10,R,"Ball, Mike",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-83-D-BANDY,1994,house,83,D,Bandy,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-83-D-BANDY-GEORGE-TOOTIE,2002,house,83,D,"Bandy, George (Tootie)",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-3-R-BARNES-STEVEN-C,2002,house,3,R,Steven C. Barnes,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-8-D-BARRON,1994,senate,8,D,Barron,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-104-R-BARTON-JIM,2002,house,104,R,"Barton, Jim",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-7-D-BATTS,1998,senate,7,D,Batts,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-97-R-BAUMHAUER,1994,house,97,R,Baumhauer,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-84-D-BEASLEY,1998,house,84,D,Beasley,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-84-D-BEASLEY-BILLY,2002,house,84,D,"Beasley, Billy",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-51-R-BEASON-SCOTT,2002,house,51,R,"Beason, Scott",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-senate-35-D-BEAU-DOOLITTLE,2014,senate,35,D,Beau Doolittle,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-87-R-BECK-WARREN-HARRIS,2002,house,87,R,"Beck, Warren Harris",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-24-D-BEDDINGFIELD,2014,house,24,D,David Beddingfield,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-6-D-BEDFORD,1994,senate,6,D,Bedford,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-1-R-BEER,1998,house,1,R,Greg Beer,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-32-R-BEN-LITTLE,2006,house,32,R,Benjamin L. Little,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-21-R-BENTLEY,1998,senate,21,R,Robert J. Bentley,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-12-R-BESHEARS-MITCHELL,2002,house,12,R,"BeShears, Mitchell",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-42-R-BIALAS,1994,house,42,R,Howard Bialas,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-senate-17-D-BIDDLE,1994,senate,17,D,Biddle,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-17-R-BIDDLE-JACK-III,2002,senate,17,R,"Biddle, Jack, III",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-9-R-BILL-INGRAM,2006,senate,9,R,BILL INGRAM,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-27-D-BILL-JONES,2018,house,27,D,Bill Jones,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-house-17-R-BILLY-DIXON,2006,house,17,R,BILLY DIXON,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-8-D-BILLY-JACKSON,2018,house,8,D,Billy Jackson,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-5-D-BISHOP,1998,senate,5,D,Bishop,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-71-D-BLACK,1994,house,71,D,Black,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-71-D-BLACK-LUCIUS,2002,house,71,D,"Black, Lucius",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-49-D-BLAIR,1998,house,49,D,Sara Beth Blair,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-53-R-BLAKE,1994,house,53,R,Blake,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-23-R-BOB-DUKE,2006,senate,23,R,BOB DUKE,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-3-D-BOBBY-DAY,2006,senate,3,D,BOBBY DAY,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2014-house-85-R-BOBBY-LEWIS,2014,house,85,R,Bobby Lewis,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-20-R-BONHAM,1998,senate,20,R,Ken Hugh Bonham,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-89-D-BOOTHE-ALAN,2002,house,89,D,"Boothe, Alan",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-64-R-BOWEN,1994,house,64,R,Bowen,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-31-R-BOWEN,1998,house,31,R,David Bowen,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-12-R-BOWLING,1994,house,12,R,Bowling,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-96-D-BOX,1994,house,96,D,Mike Box,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-32-D-BOYD-BARBARA-BIGSBY,2002,house,32,D,"Boyd, Barbara Bigsby",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-senate-33-R-BRAD-MOSER,2010,senate,33,R,BRAD MOSER,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-32-R-BRADFORD,1998,house,32,R,Ralph Bradford Sr.,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-senate-11-R-BRADFORD-RALPH-SR,2002,senate,11,R,"Bradford, Ralph, Sr.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2006-senate-32-R-BRADLEY-BYRNE,2006,senate,32,R,BRADLEY BYRNE,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-13-R-BRANCH,1998,house,13,R,Branch,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-13-R-BRANCH,1998,senate,13,R,Branch,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2010-senate-5-D-BRETT-WADSWORTH,2010,senate,5,D,BRETT WADSWORTH,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-75-R-BREWBAKER-DICK-L,2002,house,75,R,"Brewbaker, Dick L.",0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-5-D-BRIAN-D-WILLIAMS,2018,house,5,D,Brian D Williams,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2018-house-38-D-BRIAN-MCGEE,2018,house,38,D,Brian McGee,0,False,False,,,,no_unique_deterministic_recovery,none
AL-2002-house-38-R-BRIDGES-DUWAYNE,2002,house,38,R,"Bridges, DuWayne",0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-house-18-R-BRITNELL,1998,house,18,R,Britnell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1998-senate-18-R-BRITNELL,1998,senate,18,R,Britnell,0,False,False,,,,no_unique_deterministic_recovery,none
AL-1994-house-69-R-BROOKS,1994,house,69,R,Brooks,0,False,False,,,,no_unique_deterministic_recovery,none
