votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
101243,Trip Pittman,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,100%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,100%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Business and Consumers,National Federation of Independent Business - Alabama,608,5608,100%,2007-2010,2007,2010,interest_group_rating,https://votesmart.org/interest-group/608/rating/5608,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,10896,84%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,10590,84%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,10128,84%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,9175,75%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,9176,84%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Conservative,American Conservative Union (ACU),1481,10283,93%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
101243,Trip Pittman,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,92%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/101243/trip-pittman
103153,"James Fields, Jr.",Business and Consumers,National Federation of Independent Business - Alabama,608,5608,43%,2007-2010,2007,2010,interest_group_rating,https://votesmart.org/interest-group/608/rating/5608,https://j.futurefacts.votesmart.io/candidate/evaluations/103153/james-fields-jr
103153,"James Fields, Jr.",Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,67%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/103153/james-fields-jr
111300,Andy Betterton,Business and Consumers,League of Southeastern Credit Unions,1991,7922,100%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1991/rating/7922,https://j.futurefacts.votesmart.io/candidate/evaluations/111300/andy-betterton
111312,Bill Holtzclaw,Business and Consumers,National Federation of Independent Business - Alabama,608,12078,80%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Business and Consumers,National Federation of Independent Business - Alabama,608,7917,100%,2011-2014,2011,2014,interest_group_rating,https://votesmart.org/interest-group/608/rating/7917,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10895,83%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10895,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10896,85%,2018,2018,2018,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10896,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10590,85%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10590,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10589,87%,2017,2017,2017,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10589,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10112,77%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10112,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10128,84%,2016,2016,2016,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10128,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,9175,83%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9175,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,9176,88%,2015,2015,2015,interest_group_rating,https://votesmart.org/interest-group/1481/rating/9176,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
111312,Bill Holtzclaw,Conservative,American Conservative Union (ACU),1481,10283,93%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/111312/bill-holtzclaw
