canonical_candidate_id,person_id,election_cycle,environment_resources,immigration_inclusion,institutional_reform,labor_capital,market_government_direction,material_support,order_justice,social_liberty_equality,families_observed,policies_observed,evidence_rows
AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,1998.0,-0.25,,,1.0,0.5,0.8125,0.4444444444444444,0.0,6,40,42
AL-1998-house-1-R-BEER,ALPERSON-BEER,1998.0,-0.875,,,,0.0,0.0,0.5714285714285714,0.0,5,26,28
AL-1998-house-10-R-HANEY,ALPERSON-HANEY,1998.0,-0.625,,,,0.0,0.0,0.7222222222222222,-0.42857142857142855,5,26,28
AL-1998-house-105-D-STRAUB,ALPERSON-STRAUB,1998.0,-0.5,,,1.0,1.0,-0.125,0.6428571428571429,-0.09090909090909091,6,27,29
AL-1998-house-105-R-CRIGLER,ALPERSON-CRIGLER,1998.0,0.375,,,1.0,0.6,0.5555555555555556,0.8,0.0,6,41,44
AL-1998-house-11-D-WHITE,ALPERSON-WHITE,1998.0,-0.4166666666666667,,,1.0,0.6,0.8571428571428571,0.5,0.36363636363636365,6,39,40
AL-1998-house-11-R-ODEN,ALPERSON-ODEN,1998.0,0.0,,,,0.3333333333333333,0.375,0.7777777777777778,-0.6,5,29,32
AL-1998-house-12-D-MORRISON,ALPERSON-MORRISON,1998.0,-0.5714285714285714,,,1.0,0.6,0.8,0.6875,-0.2222222222222222,6,35,36
AL-1998-house-13-D-HOGAN,ALPERSON-HOGAN,1998.0,-0.4,,,1.0,1.0,0.875,0.7777777777777778,-0.07142857142857142,6,40,44
AL-1998-house-14-R-WALLACE,ALPERSON-WALLACE,1998.0,-0.8333333333333334,,,1.0,0.6,0.35714285714285715,0.5909090909090909,-0.5555555555555556,6,39,41
AL-1998-house-16-R-WALDON,ALPERSON-WALDON,1998.0,-0.6666666666666666,,,,0.5,0.4375,0.6875,0.08333333333333333,5,35,38
AL-1998-house-17-R-JOHNSON,ALPERSON-JOHNSON,1998.0,-0.6428571428571429,,,1.0,0.6,-0.25,0.6666666666666666,-0.5,6,34,37
AL-1998-house-18-D-MORROW,ALPERSON-MORROW,1998.0,-0.5714285714285714,,,1.0,0.6,0.4375,0.8,0.0,6,42,45
AL-1998-house-2-R-TATUM,ALPERSON-TATUM,1998.0,-0.16666666666666666,,,,-1.0,1.0,1.0,-0.5,5,23,26
AL-1998-house-21-D-JONES,ALPERSON-JONES,1998.0,0.16666666666666666,,,1.0,0.6,0.6428571428571429,0.5714285714285714,0.25,6,35,38
AL-1998-house-21-R-CLEMONS,ALPERSON-CLEMONS,1998.0,-0.4,,,1.0,0.6,0.5714285714285714,0.7222222222222222,-0.16666666666666666,6,39,42
AL-1998-house-22-D-HALL,ALPERSON-HALL,1998.0,0.16666666666666666,,,1.0,1.0,0.8333333333333334,0.7777777777777778,-0.125,6,31,35
AL-1998-house-22-R-HOLLINGSWORTH,ALPERSON-HOLLINGSWORTH,1998.0,-0.25,,,1.0,0.0,0.125,0.9444444444444444,-1.0,6,28,31
AL-1998-house-23-R-SHELTON,ALPERSON-SHELTON,1998.0,-0.6666666666666666,,,,-1.0,-0.5,0.8571428571428571,-0.42857142857142855,5,21,24
AL-1998-house-25-R-FINLEY,ALPERSON-FINLEY,1998.0,-1.0,,,1.0,0.3333333333333333,0.5,1.0,-0.5555555555555556,6,27,29
