votesmart_candidate_id,candidate,issue_category,organization,interest_group_id,scorecard_id,rating,rating_period,rating_year_start,rating_year_end,source_type,source_url,candidate_page_url
5646,Blaine Galliher,Business and Consumers,League of Southeastern Credit Unions,1991,5850,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1991/rating/5850,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Business and Consumers,National Federation of Independent Business - Alabama,608,5608,71%,2007-2010,2007,2010,interest_group_rating,https://votesmart.org/interest-group/608/rating/5608,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Business and Consumers,National Federation of Independent Business - Alabama,608,3421,70%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/608/rating/3421,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Business and Consumers,National Federation of Independent Business - Alabama,608,1020,100%,1995-1998,1995,1998,interest_group_rating,https://votesmart.org/interest-group/608/rating/1020,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Conservative,American Conservative Union (ACU),1481,10283,86%,2014,2014,2014,interest_group_rating,https://votesmart.org/interest-group/1481/rating/10283,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Conservative,Christian Coalition of Alabama,510,3269,90%,2003-2006,2003,2006,interest_group_rating,https://votesmart.org/interest-group/510/rating/3269,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Conservative,Christian Coalition of Alabama,510,1389,59%,1999-2000,1999,2000,interest_group_rating,https://votesmart.org/interest-group/510/rating/1389,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Conservative,Conservative Christians of Alabama,2201,12486,43%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/2201/rating/12486,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Conservative,Eagle Forum of Alabama,369,2635,43%,2004,2004,2004,interest_group_rating,https://votesmart.org/interest-group/369/rating/2635,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,Gun Owners of America (GOA),1226,12498,100%,2002,2002,2002,interest_group_rating,https://votesmart.org/interest-group/1226/rating/12498,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,Gun Owners of America (GOA),1226,12497,100%,1998,1998,1998,interest_group_rating,https://votesmart.org/interest-group/1226/rating/12497,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,5559,100%,2010,2010,2010,interest_group_rating,https://votesmart.org/interest-group/1557/rating/5559,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,3440,A,2006,2006,2006,interest_group_rating,https://votesmart.org/interest-group/1557/rating/3440,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,2028,0%,2002,2002,2002,interest_group_rating,https://votesmart.org/interest-group/1557/rating/2028,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5646,Blaine Galliher,Guns,National Rifle Association Political Victory Fund (NRA-PVF) - Alabama,1557,1128,A,1998,1998,1998,interest_group_rating,https://votesmart.org/interest-group/1557/rating/1128,https://j.futurefacts.votesmart.io/candidate/evaluations/5646/blaine-galliher
5704,"John Rogers, Jr.",Business and Consumers,National Federation of Independent Business - Alabama,608,13405,50%,2019-2022,2019,2022,interest_group_rating,https://votesmart.org/interest-group/608/rating/13405,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
5704,"John Rogers, Jr.",Business and Consumers,National Federation of Independent Business - Alabama,608,12078,71%,2015-2018,2015,2018,interest_group_rating,https://votesmart.org/interest-group/608/rating/12078,https://j.futurefacts.votesmart.io/candidate/evaluations/5704/john-rogers-jr
