state_code,cycle,chamber,district,dem_incumbent,rep_incumbent,incumbency_balance,open_seat,incumbency_method,incumbency_quality,strict_incumbency_eligible,evidence_count,review_status
AL,2018,lower,10,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,104,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,15,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,18,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,2,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,20,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,21,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,27,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,28,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,29,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,3,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,30,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,32,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,33,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,36,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,37,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,38,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,4,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,40,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,41,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,43,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,45,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,46,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,47,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,48,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,5,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,51,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,61,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,62,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,64,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,65,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,66,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,7,,,,,,missing,0,0,review
AL,2018,lower,73,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,74,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,79,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,8,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,80,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2018,lower,81,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,83,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,85,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,86,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,88,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,89,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,90,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,94,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,96,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,lower,97,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,lower,99,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,1,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,11,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,12,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,13,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,14,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,16,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,2,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,21,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,25,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,26,,,,,,missing,0,0,review
AL,2018,upper,27,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,32,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,35,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2018,upper,6,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2018,upper,7,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,10,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,12,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,15,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,25,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,26,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,27,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,3,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,32,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2022,lower,33,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2022,lower,40,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,41,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,43,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,47,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,57,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,62,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,63,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
AL,2022,lower,65,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,68,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,69,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,7,,,,,,missing,0,0,review
AL,2022,lower,74,0.0,1.0,-1.0,0.0,explicit_web_incumbent,source_validated,1,1,approved
AL,2022,lower,82,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,85,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,lower,92,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,lower,95,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,upper,12,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,upper,2,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,upper,21,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,upper,23,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,upper,27,0.0,0.0,0.0,1.0,ballotpedia_explicit_open_seat,source_validated,1,1,approved
AL,2022,upper,29,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,upper,33,1.0,0.0,1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AL,2022,upper,7,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,2,approved
AR,2016,lower,10,0.0,1.0,-1.0,0.0,provider_reported_incumbent,source_validated,1,1,approved
