bill_id,bill_number,session_id,session_name,doc_id,document_date,document_type,mime,url,state_link,text_size,text_hash,source_archive,session_year,local_path,archive_status
416119,HB1,157,First Special Session 2010,610408,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB1/id/610408,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB1-int.pdf,41108,d664d00f56919edca49c56537c0160e8,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416119\610408_introduced.pdf,present
416112,HB2,157,First Special Session 2010,610398,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB2/id/610398,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB2-int.pdf,33792,bf5f6d9275d9efccf4535b0d3430e02b,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416112\610398_introduced.pdf,present
416108,HB3,157,First Special Session 2010,610394,2010-01-11,Introduced,application/pdf,https://legiscan.com/AL/text/HB3/id/610394,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB3-int.pdf,46230,55a725f6f0464f8526b65c8657a0113f,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416108\610394_introduced.pdf,present
416099,HB4,157,First Special Session 2010,610376,2009-12-08,Introduced,application/pdf,https://legiscan.com/AL/text/HB4/id/610376,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB4-int.pdf,53395,35b5f264bdfbf61ee46cfe417c2793bb,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416099\610376_introduced.pdf,present
416092,HB5,157,First Special Session 2010,610368,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB5/id/610368,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB5-int.pdf,32463,7d7da552b53f576ffca4901a148adc30,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416092\610368_introduced.pdf,present
416089,HB6,157,First Special Session 2010,610364,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB6/id/610364,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB6-int.pdf,48578,84e15337b1ea334ba22799c84612082e,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416089\610364_introduced.pdf,present
416076,HB7,157,First Special Session 2010,610338,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB7/id/610338,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB7-int.pdf,34371,2109c9d5cd95600b3425ce10f69f302b,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416076\610338_introduced.pdf,present
416074,HB8,157,First Special Session 2010,610333,2010-01-11,Introduced,application/pdf,https://legiscan.com/AL/text/HB8/id/610333,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB8-int.pdf,35142,8c3b8b626afaf604a4080c833b0e97c3,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416074\610333_introduced.pdf,present
416067,HB9,157,First Special Session 2010,610322,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB9/id/610322,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB9-int.pdf,42168,77c3127fec857b59b277c688bdfc255c,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416067\610322_introduced.pdf,present
416058,HB10,157,First Special Session 2010,610305,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB10/id/610305,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB10-int.pdf,37535,185c69eb5192c488b4e72414231fdd92,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416058\610305_introduced.pdf,present
416053,HB11,157,First Special Session 2010,610295,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB11/id/610295,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB11-int.pdf,39795,57c41703e3714bb27f79e13a50fd8eab,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416053\610295_introduced.pdf,present
416049,HB12,157,First Special Session 2010,610286,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB12/id/610286,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB12-int.pdf,35813,6b35ed9627a254ade40bd42f5d5fb340,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416049\610286_introduced.pdf,present
416038,HB13,157,First Special Session 2010,610261,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB13/id/610261,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB13-int.pdf,36802,75f29641647e7f3b7d83d462b0a097b7,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416038\610261_introduced.pdf,present
416031,HB14,157,First Special Session 2010,610247,2009-09-23,Introduced,application/pdf,https://legiscan.com/AL/text/HB14/id/610247,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/HB14-int.pdf,35065,402995c7782a64a0982aa0c279737251,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\416031\610247_introduced.pdf,present
415659,SB1,157,First Special Session 2010,609627,2009-05-20,Introduced,application/pdf,https://legiscan.com/AL/text/SB1/id/609627,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/SB1-int.pdf,41136,af981897038e065f82183bc3c84b0108,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\415659\609627_introduced.pdf,present
415652,SB2,157,First Special Session 2010,609617,2009-05-20,Introduced,application/pdf,https://legiscan.com/AL/text/SB2/id/609617,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2010RS/PrintFiles/SB2-int.pdf,40329,89793339e1b3c6da971149f5b93d94e2,AL_2010-2010_1st_Special_Session_JSON_20101216_62cd9d8f4a03c2adb5b406df6305d5e3.zip,2010,data\raw\alabama_legislature\bill_text\2010\157\415652\609617_introduced.pdf,present
