act_id,act_year,act_number,act_citation,measure_type,measure_number,origin_chamber,title,approval_label,approval_date_raw,source_volume_year,source_file,ordinal_in_volume,ocr_block_characters,act_key,source_observations,distinct_measure_types,distinct_measure_numbers,identity_conflict,is_canonical_observation
ALACT-E1193E61BF8B0DF3,1986,625,86-625,HJR,2.0,H,COMMITTEE APPOINTED TO NOTIFY GOVERNOR LEG¬ ISLATURE IS IN SESSION,Approved,"September 17, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,1,565,1986-625,1,1,1,False,True
ALACT-6CB3447EF31C1196,1986,626,86-626,HJR,3.0,H,COMMITTEE APPOINTED TO ESCORT GOVERNOR TO JOINT SESSION OF LEGISLATURE,Approved,"September 17, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,2,953,1986-626,1,1,1,False,True
ALACT-E2D527C1EDA67809,1986,627,86-627,H,48.0,H,,,,1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,3,12845,1986-627,1,1,1,False,True
ALACT-CD42EE3B2C009BE0,1986,628,86-628,HJR,78.0,H,"MOURNING THE DEATH OF ASBURY HOWARD OF BES¬ SEMER, ALABAMA",Approved,"September 23, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,4,4063,1986-628,1,1,1,False,True
ALACT-3F051622F46F8EBC,1986,629,86-629,H,31.0,H,,,,1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,5,2061,1986-629,1,1,1,False,True
ALACT-A543821AFD7FD337,1986,630,86-630,H,47.0,H,,Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,6,2102,1986-630,1,1,1,False,True
ALACT-13F7A075E948672C,1986,631,86-631,HJR,9.0,H,"MOURNING THE DEATH OF HUGH S. PATTERSON OF BUSHNELL, FLORIDA",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,7,1538,1986-631,1,1,1,False,True
ALACT-1EB41E062622CE28,1986,632,86-632,HJR,8.0,H,"COMMENDING TONY REYNOLDS OF GADSDEN, ALA¬ BAMA, FOR EXEMPLARY PUBLIC SERVICE",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,8,1781,1986-632,1,1,1,False,True
ALACT-1E99AACD61D22CA2,1986,633,86-633,HJR,7.0,H,"COMMENDING HERSHELL B. FREEMAN, JR., OF OR¬ LANDO, FLORIDA, FOR OUTSTANDING ACCOMPLISHMENT",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,9,2305,1986-633,1,1,1,False,True
ALACT-C14A0033B4ED091C,1986,634,86-634,HJR,6.0,H,"COMMENDING GEORGE SIZEMORE OF GADSDEN, ALA¬ BAMA, FOR EXEMPLARY PUBLIC SERVICE",Approved,"September 24, 1986",1986,data/raw/alabama_legislature/acts/internet_archive/alabama-acts-1986_special/1986_special_djvu.txt,10,1351,1986-634,1,1,1,False,True
