session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors
1998_RegularSession,1998,1998RegularSession_Day1,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day1.pdf,27fe5f0139010edddc67e1ce049a454c301c5f11f11cfdd3f0f5db066789a112,86,187726,0
1998_RegularSession,1998,1998RegularSession_Day10,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day10.pdf,a738b465d351adc577160120debe93e28adf636a0055b116b0de33ded24e952e,36,79031,13
1998_RegularSession,1998,1998RegularSession_Day11,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day11.pdf,1e68ef7c8e62aaf2653b021ab399c348f59a44deb93603b1dca3f8c618c70b77,111,186324,36
1998_RegularSession,1998,1998RegularSession_Day12,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day12.pdf,7d32ac0d8c1ccd027752158fa5b48600670ee0f9de85df1c8be75f8d18d8e481,164,395694,83
1998_RegularSession,1998,1998RegularSession_Day13,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day13.pdf,2ca45b863a9a639108fc44d7c07792c00ed2cfd1e991b23f4a8cbab2b045d425,118,235894,94
1998_RegularSession,1998,1998RegularSession_Day2,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day2.pdf,a97537f2c38a9b843266afca7c0f6f3d6f2b1a333072a9eb6f6d9433ac346826,48,107649,1
1998_RegularSession,1998,1998RegularSession_Day3,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day3.pdf,2c0b9d80bb865b8a99cd72207ff6a8bb8955fead4a3a4a00b2ba1c7a812e9717,82,200369,36
1998_RegularSession,1998,1998RegularSession_Day4,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day4.pdf,e6a015aaca1aec4a62e99f55c23eb0be2e34f7c5e86e61019a98524de5cb467d,64,135225,35
1998_RegularSession,1998,1998RegularSession_Day5,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day5.pdf,ba002e93fc55e81e2861aecab67bcd479b4800d627e6b1b3bc24eb84b8efc978,60,113543,31
1998_RegularSession,1998,1998RegularSession_Day6,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day6.pdf,5d2d278d3ae8000de04179ce4abf7ca29ecf28b0e370e532701e205ea98e3afd,82,175825,23
1998_RegularSession,1998,1998RegularSession_Day7,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day7.pdf,1730e73da1530c6cd945c5d26bafdb51478aecba72cbbf5972e7c3c313fcb1c5,58,125651,39
1998_RegularSession,1998,1998RegularSession_Day8,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day8.pdf,317cb6c163c825e610c8302e70f47b37222e5ffbae96e1f32799c0603bb8adc5,80,154054,17
1998_RegularSession,1998,1998RegularSession_Day9,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume1_1998RegularSession\1998RegularSession_Day9.pdf,d7bb9d4132594748bfda55f39ac3aa4d4ac658a3dcccc76ed4fe86a8795abace,43,78299,16
1998_RegularSession,1998,1998RegularSession_Day14,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day14.pdf,729be66ef9ce5affa1ecd9bd234cc73bef2b0e1dade9fe86635d20d7327afe4b,84,209477,51
1998_RegularSession,1998,1998RegularSession_Day15,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day15.pdf,297e29c9af97784fc431d0d315fbb74502a2f080fc6262d49abceb29809900f2,64,136566,44
1998_RegularSession,1998,1998RegularSession_Day16,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day16.pdf,0bd447e749b37bccdf5795f23a0e380f45ac6f20b0f9274a0bdbdf5c4147180b,124,288113,83
1998_RegularSession,1998,1998RegularSession_Day17,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day17.pdf,ff24066241e1a8184efa9fd99d5e0a32e3287f41f9f1d87babfbb207ff10e87b,74,165933,47
1998_RegularSession,1998,1998RegularSession_Day18,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day18.pdf,022342d478362f932f48ed4577d0ce89fd364c2ce1faed80720c760d2acd8727,60,121516,31
1998_RegularSession,1998,1998RegularSession_Day19,data\raw\alabama_legislature\house_journals\1998_RegularSession\Volume2_1998RegularSession\1998RegularSession_Day19.pdf,12768548650b44309194d2d22a27816aacdf8a769a83743eeefe1514641f06d5,116,234809,110
