session_year,rollcalls,valid_rollcalls,bill_linked,member_votes,valid_member_votes,quarantined_rollcalls,valid_share
1998,1757,1626,1606,121390,111097,131,0.9254410927717701
1999,1793,1656,1642,142999,131086,137,0.9235917456776352
2000,2142,1991,2024,170186,157260,151,0.9295051353874884
2001,1926,1880,1755,151408,147556,46,0.9761163032191069
2002,1019,1008,909,84041,83059,11,0.9892051030421982
2003,1627,1620,1464,132745,132102,7,0.9956976029502151
2004,1321,1317,1206,104017,103641,4,0.9969719909159728
2005,1177,1177,1065,92436,92436,0,1.0
2006,1321,1321,1192,117462,117462,0,1.0
2007,1201,1201,1093,107250,107250,0,1.0
2008,1292,1292,1157,114615,114615,0,1.0
2009,1518,1517,1350,133730,133693,1,0.9993412384716732
