session,session_year,asset,local_path,sha256,pages,text_characters,rollcall_anchors,final_passage_events
1998_RegularSession,1998,1998RegularSession_Day01,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day01.pdf,f47f887abad4d127c299bdf1420e9d40e04f5e322c890f6556955ded4acd3391,35,140569,0,0
1998_RegularSession,1998,1998RegularSession_Day02,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day02.pdf,e5a9880a4d9c624522f61665a9b52f594c0b9633c15ac440e946fb909be930b7,19,89759,0,0
1998_RegularSession,1998,1998RegularSession_Day03,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day03.pdf,4e4cfec4a0c21587c23efafdd570a34c98681498ee2aa527c6be714395f3bc27,22,68680,6,3
1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,43820d88126a44f16042fe285b1c65035abf413e333e8324b2e0fc13b07c7391,29,96651,15,5
1998_RegularSession,1998,1998RegularSession_Day05,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day05.pdf,ec1dfc1ece6b6212c7b00d054b15bc21121bef367164db998630875216f246bc,38,171378,7,2
1998_RegularSession,1998,1998RegularSession_Day06,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day06.pdf,a5e94851798a6b6dd32ad3b189db9456da8f100ece49799fb846c92b7a8ef9af,28,102542,43,18
1998_RegularSession,1998,1998RegularSession_Day07,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day07.pdf,a5e7d3e16110c8229969ca1549e1837d53bd0d1e082e69eb14f6c86a9a87ca6a,29,93244,19,6
1998_RegularSession,1998,1998RegularSession_Day08,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day08.pdf,e223db28a450fedbb3c60bc08a2e018d47e3436b8a37a87a4b95259eceb55a92,24,78913,31,13
1998_RegularSession,1998,1998RegularSession_Day09,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day09.pdf,7c4e0e87a928e09e6a3a6ef2b6c85050b7678b7b8fc105a3a3c859539b6dd42e,30,118990,42,15
1998_RegularSession,1998,1998RegularSession_Day10,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day10.pdf,09fa1957097bb8dd750292899aa2eb6000a380ecfd2aac2aceaeff4f95b3e949,28,123964,29,8
1998_RegularSession,1998,1998RegularSession_Day11,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day11.pdf,40aa4aff2ea3bc4118013625f8b105d13f8d7068d605f8275fdea2227f822bc5,9,39677,8,2
1998_RegularSession,1998,1998RegularSession_Day12,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day12.pdf,57f712bb8023467acc5e19ef4119901ea6df900d11b069c8d1acecce9f5183ff,18,98024,7,1
1999_OrganizationalSession,1999,1999OrganizationalSession_Day01,data\raw\alabama_legislature\senate_journals\1999_OrganizationalSession\1999OrganizationalSession_Day01.pdf,4b51a0620c78a2fc9bc12268cc9e7db2e4f29462e3e0a5cceec34d9717b9c2a7,35,75811,10,0
1999_OrganizationalSession,1999,1999OrganizationalSession_Day02,data\raw\alabama_legislature\senate_journals\1999_OrganizationalSession\1999OrganizationalSession_Day02.pdf,9a8e925c7442ea66b0eb8e639c65929afe7f4bef181ea2529f06b6995a9aeb0e,27,58732,2,0
1999_OrganizationalSession,1999,1999OrganizationalSession_Day03,data\raw\alabama_legislature\senate_journals\1999_OrganizationalSession\1999OrganizationalSession_Day03.pdf,17cd672f4549097feef1a796c08d11f9a478528b1432b25d323f54e7d2b2fe63,19,33400,4,0
1999_RegularSession,1999,1999RegularSession_Day01,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day01.pdf,4b1fb490498b8e878f4f6b45975ca09ab49c83410b50a75e1a6cf99b43a2a289,9,19037,0,0
1999_RegularSession,1999,1999RegularSession_Day02,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day02.pdf,db551af32aa98247093807e31f10e35f3e05148445f101df2e2e7a553ca36c70,1,843,0,0
1999_RegularSession,1999,1999RegularSession_Day03,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day03.pdf,1be17a96640116dcdea898128bd56b09a4986ad7f8d332168371cdd20af38f6d,1,828,0,0
1999_RegularSession,1999,1999RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day04.pdf,68822be99c99afecd57d628884419491df64d94389fb7dfe3e9be6e57fc5646b,1,818,0,0
1999_RegularSession,1999,1999RegularSession_Day05,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day05.pdf,480fe65d3be1e9784ab15b20014739fd1c709e9353106db6422393db31d29695,1,829,0,0
1999_RegularSession,1999,1999RegularSession_Day06,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day06.pdf,1e5e3a735730f2ccbbc3585bcdb28f1419d15026faa852c6ba7d33f7aa2de380,1,831,0,0
1999_RegularSession,1999,1999RegularSession_Day07,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day07.pdf,14ab54a9865e00fcca49d5ff46c087ccf6c4e7091ff6a44a5da4d4ae76144601,1,799,0,0
1999_RegularSession,1999,1999RegularSession_Day08,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day08.pdf,fa5a7fee0896d22b2c660fab7087eb5e44494e565e0c7e9f45364ff20418c74d,1,826,0,0
1999_RegularSession,1999,1999RegularSession_Day09,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day09.pdf,be4b0415668de2c85b8cf127f00077faf1ecd470c4f3274b322d02601ec9d0bd,1,879,0,0
1999_RegularSession,1999,1999RegularSession_Day10,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day10.pdf,3943b6933ef23bbf79be5dbe867f715631e6b3bbf2d4b30960c7aedd989e3b9c,7,11788,1,0
1999_RegularSession,1999,1999RegularSession_Day11,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day11.pdf,b5772d9fd476e15d288ea7b0b00edf9763ee5f5027f167d1cd05b535021e4539,1,1274,1,0
1999_RegularSession,1999,1999RegularSession_Day12,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day12.pdf,f776dc640fbe683bf5f9a9426d1f27964e203d3837d4a49b1287e56dc778d374,128,234489,0,0
1999_RegularSession,1999,1999RegularSession_Day13,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day13.pdf,49c7c401b7ff2dd138b8836096126f064759e5599885d85074327d0509367be7,70,122276,2,0
1999_RegularSession,1999,1999RegularSession_Day14,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day14.pdf,84660f6550a502a4d0772014058c997af2ba3f4b15be63caa00a11ccaa90b365,25,32165,10,0
1999_RegularSession,1999,1999RegularSession_Day15,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day15.pdf,bb540cc5052e5c81b6dca6e60b7003a1f8b8e81daa3ca4f1451f5ed94f52938b,64,122292,38,8
1999_RegularSession,1999,1999RegularSession_Day16,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day16.pdf,fc6036bdb83e6d7f6e5b2fa58f604ccad7ba2f3505abeedce0cc7d872c337109,8,12617,11,0
1999_RegularSession,1999,1999RegularSession_Day17,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day17.pdf,1b43c1c551483010a4447452d7e15eb7b998a5c07d3438f768a24a0f6ba6a4b9,136,224935,39,17
1999_RegularSession,1999,1999RegularSession_Day18,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day18.pdf,8f06dd11164716007480ef84ebc604fdf838925e6c3933c341d6e630671ae13d,68,115292,25,5
1999_RegularSession,1999,1999RegularSession_Day19,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day19.pdf,fa267b6176d62ab9f410f3ef5d0936683c7dd399bc10f2ccb82db84c052e252c,84,159534,26,4
1999_RegularSession,1999,1999RegularSession_Day20,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day20.pdf,963b60418f153fea836619a8e54a4a7ba0a649a22a208fef560c54290829267c,62,112820,21,1
1999_RegularSession,1999,1999RegularSession_Day21,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day21.pdf,4c46f5d3024dd3bb4ab0f137ca745f3a1818c1ce81a9a0a6a99366282f218eda,111,205474,42,4
1999_RegularSession,1999,1999RegularSession_Day22,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day22.pdf,a376ea77f58574d817afa751b7bb4bc1fa3d041563c5b01df7d6cb712fa9e7aa,74,155614,38,7
1999_RegularSession,1999,1999RegularSession_Day23,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day23.pdf,b393547f2b36ff4318598c0df69ac9334aabc4f04cbc05540a4dde4ca93fa091,72,120015,37,13
1999_RegularSession,1999,1999RegularSession_Day24,data\raw\alabama_legislature\senate_journals\1999_RegularSession\1999RegularSession_Day24.pdf,70658a12c164ee365c1d58acfbe8c27a91fdbc664934c6324fdfa2d51d2d6129,94,166785,14,2
