session_year,rollcalls,valid_rollcalls,bill_linked,journal_pdfs,source_gap,member_votes,valid_member_votes,final_passage_events,passage_events_with_named_rollcall,passage_events_fully_verified,section63_detection_share,section63_verified_share,valid_share
1998,207.0,207.0,193.0,12,False,5644,5644,73,73,71,1.0,0.9726027397260274,1.0
1999,806.0,804.0,742.0,34,False,22478,22412,203,203,202,1.0,0.9950738916256158,0.9975186104218362
2000,0.0,0.0,0.0,0,True,0,0,0,0,0,,,
2001,1373.0,1373.0,1243.0,59,False,38658,38658,476,476,475,1.0,0.9978991596638656,1.0
2002,1058.0,1058.0,919.0,34,False,30015,30015,362,362,359,1.0,0.9917127071823204,1.0
2003,1444.0,1440.0,1288.0,52,False,43328,43258,402,402,402,1.0,1.0,0.997229916897507
2004,1520.0,1520.0,1376.0,36,False,43257,43257,387,387,385,1.0,0.9948320413436692,1.0
2005,821.0,820.0,727.0,37,False,25005,24972,218,218,216,1.0,0.9908256880733946,0.9987819732034104
2006,1451.0,1451.0,1355.0,31,False,42865,42865,449,449,446,1.0,0.9933184855233853,1.0
2007,901.0,901.0,854.0,39,False,27184,27184,296,296,296,1.0,1.0,1.0
2008,919.0,917.0,790.0,35,False,26210,26153,294,294,290,1.0,0.9863945578231292,0.9978237214363439
2009,1380.0,1374.0,1219.0,35,False,36199,35942,470,470,466,1.0,0.9914893617021276,0.9956521739130435
