passage_event_id,session,session_year,asset,local_path,page,source_char_offset,bill_type,bill_number,outcome_text,nearest_rollcall_ordinal,rollcall_distance_characters,named_rollcall_detected,matched_rollcall_id,matched_rollcall_count_valid,matched_rollcall_same_measure,audit_status,context
SPASS-991ACB288F3F498B,1998_RegularSession,1998,1998RegularSession_Day03,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day03.pdf,20,66149,SB,17.0,passed,2,46,True,SJRC-9CF6BF1AB9ADA1C9,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 34 Nays 0 Yeas: Senators: Adams, Amari, Armistead, Bailey, Barron, Bedford, Biddle, Butler, Clay, Davidson, Denton, Dial, Dixon, Escott-Russell, Figures, Freeman, Ghee, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Mitchem, Myers, "
SPASS-5F2D2A41898B1BD8,1998_RegularSession,1998,1998RegularSession_Day03,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day03.pdf,21,67189,SB,16.0,passed,4,47,True,SJRC-ADECE2EFDFC4594D,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 34 Nays 0 Yeas: Senators: Adams, Amari, Armistead, Bailey, Barron, Bedford, Biddle, Butler, Clay, Davidson, Denton, Dial, Dixon, Escott-Russell, Figures, Freeman, Ghee, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Mitchem, Myers,"
SPASS-6BB12584E7210B92,1998_RegularSession,1998,1998RegularSession_Day03,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day03.pdf,21,68335,SB,18.0,passed,6,45,True,SJRC-BB24E1811EB8DAAF,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 34 Nays 0 Yeas: Senators: Adams, Amari, Armistead, Bailey, Barron, Bedford, Biddle, Butler, Clay, Davidson, Denton, Dial, Dixon, Escott-Russell, Figures, Freeman, Ghee, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Mitchem, Myers, P"
SPASS-585572C6A1FC65C1,1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,24,83453,SB,41.0,passed,2,45,True,SJRC-D8C52BEE46ABAC39,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 25 Nays 0 Yeas: Senators: Amari, Bailey, Barron, Bedford, Biddle, Clay, Davidson, Denton, Dixon, Ghee, Hale, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Myers, Poole, Roberts, Sanders, Smith, Smitherman, Steele, and Waggoner -25 Nays: - 0"
SPASS-BD3842E8BEC7F9AF,1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,25,85426,SB,129.0,passed,6,47,True,SJRC-C66CE2AC73AD8AD8,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 25 Nays 0 Yeas: Senators: Adams, Amari, Armistead, Bedford, Clay, Davidson, Denton, Dixon, Escott-Russell, Ghee, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Myers, Poole, Roberts, Sanders, Smith, Smitherman, Waggoner, and Windom"
SPASS-6B549BBBD468A5A8,1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,25,86493,SB,143.0,passed,8,47,True,SJRC-4577DEF661B59F19,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 25 Nays 0 Yeas: Senators: Amari, Armistead, Bailey, Barron, Bedford, Biddle, Clay, Davidson, Denton, Freeman, Hale, Hill, Langford, Lindsey, Lipscomb, McClain, Mitchell, Myers, Poole, Roberts, Sanders, Smith, Steele, Waggoner, and Windom -25 Nay"
SPASS-9992800781FE378C,1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,26,87651,SB,278.0,passed,10,47,True,SJRC-B8C5897351E3C644,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 25 Nays 0 Yeas: Senators: Adams, Amari, Bailey, Bedford, Biddle, Clay, Davidson, Denton, Dixon, Escott-Russell, Figures, Freeman, Ghee, Hale, Hill, Lang­ ford, Lindsey, Lipscomb, McClain, Poole, Roberts, Sanders, Smitherman, Waggoner, and Windom "
SPASS-A19C10A0832BE8D3,1998_RegularSession,1998,1998RegularSession_Day04,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day04.pdf,27,91554,SB,78.0,passed,13,45,True,SJRC-6584EF5416BD4ADD,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House. Yeas 33 Nays 0 Yeas: Senators: Adams, Amari, Armistead, Bailey, Barron, Bedford, Biddle, Butler, Clay, Davidson, Denton, Dixon, Escott-Russell, Figures, Free­ man, Ghee, Hale, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Myers, Poole, Ro"
SPASS-364B95552F9378A3,1998_RegularSession,1998,1998RegularSession_Day05,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day05.pdf,19,56616,SB,289.0,passed,2,39,True,SJRC-BC7BDB1F854C556C,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and sent forthwith to the House. Yeas 33 Nays 0 Yeas: Senators: Adams, Amari, Bailey, Barron, Bedford, Biddle, Butler, Clay, Davidson, Denton, Dial, Dixon, Escott- Russell, Figures, Freeman, Ghee, Hill, Langford, Lindsey, Lipscomb, Little, McClain, Mitchell, Mitchem, Myers, Poole, Roberts, S"
SPASS-36DD7E97CD871309,1998_RegularSession,1998,1998RegularSession_Day05,data\raw\alabama_legislature\senate_journals\1998_RegularSession\1998RegularSession_Day05.pdf,37,170628,SB,90.0,passed,7,63,True,SJRC-4511C349F9A7EE1E,True,True,matched_same_measure_count_valid,"was read a third time at length and passed, and ordered sent forthwith to the House upon engrossment. Yeas 24 Nays 0 Yeas: Senators: Adams, Armistead, Bailey, Barron, Bedford, Butler, Davidson, Denton, Dixon, Escott-Russell, Figures, Freeman, Ghee, Lindsey, Little, McClain, Mitchell, Mitchem, Poole, Roberts, Smith, Smitherman, Steele, a"
