roll_call_id,yea,nay,not_voting,absent,total,Absent,Nay,Not Voting,Yea,parsed_vote_count,reported_total_matches
174239,33,0,0,2,35,2,0,0,33,35,True
174261,23,11,0,1,35,1,11,0,23,35,True
174262,33,0,0,2,35,2,0,0,33,35,True
174269,23,11,0,1,35,1,11,0,23,35,True
174270,23,11,0,1,35,1,11,0,23,35,True
174369,34,1,0,0,35,0,1,0,34,35,True
174370,33,2,0,0,35,0,2,0,33,35,True
174371,35,0,0,0,35,0,0,0,35,35,True
174372,94,0,0,11,105,11,0,0,94,105,True
174373,93,1,1,10,105,10,1,1,93,105,True
174374,93,0,1,11,105,11,0,1,93,105,True
174375,95,0,0,10,105,10,0,0,95,105,True
174376,98,0,1,6,105,6,0,1,98,105,True
174377,98,0,0,7,105,7,0,0,98,105,True
174378,98,0,0,7,105,7,0,0,98,105,True
174379,93,0,1,11,105,11,0,1,93,105,True
174380,98,0,2,5,105,5,0,2,98,105,True
174381,98,0,0,7,105,7,0,0,98,105,True
174382,98,0,1,6,105,6,0,1,98,105,True
174383,99,0,0,6,105,6,0,0,99,105,True
174384,102,0,0,3,105,3,0,0,102,105,True
174385,99,0,0,6,105,6,0,0,99,105,True
174386,99,0,0,6,105,6,0,0,99,105,True
174387,98,0,0,7,105,7,0,0,98,105,True
174388,102,0,0,3,105,3,0,0,102,105,True
174389,31,0,0,4,35,4,0,0,31,35,True
174390,101,0,0,4,105,4,0,0,101,105,True
174391,31,2,0,2,35,2,2,0,31,35,True
174392,92,7,0,6,105,6,7,0,92,105,True
174453,23,0,8,4,35,4,0,8,23,35,True
174454,29,3,1,2,35,2,3,1,29,35,True
174455,95,0,0,10,105,10,0,0,95,105,True
174456,31,51,5,18,105,18,51,5,31,105,True
174457,55,29,6,15,105,15,29,6,55,105,True
174458,74,15,2,14,105,14,15,2,74,105,True
174459,68,9,5,23,105,23,9,5,68,105,True
174460,66,25,6,8,105,8,25,6,66,105,True
174461,31,0,0,4,35,4,0,0,31,35,True
174462,95,1,2,7,105,7,1,2,95,105,True
174463,29,0,2,4,35,4,0,2,29,35,True
174464,72,20,5,8,105,8,20,5,72,105,True
174483,11,23,0,1,35,1,23,0,11,35,True
174484,22,12,0,1,35,1,12,0,22,35,True
174485,22,12,0,1,35,1,12,0,22,35,True
174486,22,12,0,1,35,1,12,0,22,35,True
174487,52,43,0,10,105,10,43,0,52,105,True
174488,54,42,0,9,105,9,42,0,54,105,True
174489,51,44,0,10,105,10,44,0,51,105,True
174490,84,14,1,6,105,6,14,1,84,105,True
174491,53,44,0,8,105,8,44,0,53,105,True
174492,51,43,1,10,105,10,43,1,51,105,True
174493,55,44,1,5,105,5,44,1,55,105,True
174494,39,58,0,8,105,8,58,0,39,105,True
174495,60,39,0,6,105,6,39,0,60,105,True
174496,96,1,0,8,105,8,1,0,96,105,True
174497,55,40,0,10,105,10,40,0,55,105,True
