session_year,chamber,source_system,rollcalls,member_votes,identified_member_votes
1998,house,adah_journal,1626,111097,107021
1998,senate,adah_journal,207,5644,5247
1999,house,adah_journal,1656,131086,128528
1999,senate,adah_journal,804,22412,21736
2000,house,adah_journal,1991,157260,154291
2001,house,adah_journal,1880,147556,145921
2001,senate,adah_journal,1373,38658,37485
2002,house,adah_journal,1008,83059,82113
2002,senate,adah_journal,1058,30015,29215
2003,house,adah_journal,1620,132102,127728
2003,senate,adah_journal,1440,43258,43166
2004,house,adah_journal,1317,103641,100037
2004,senate,adah_journal,1520,43257,43255
2005,house,adah_journal,1177,92436,89433
2005,senate,adah_journal,820,24972,24970
2006,house,adah_journal,1321,117462,112873
2006,senate,adah_journal,1451,42865,42864
2007,house,adah_journal,1201,107250,105038
2007,senate,adah_journal,901,27184,26692
2008,house,adah_journal,1292,114615,112489
2008,senate,adah_journal,917,26153,24752
2009,house,adah_journal,1517,133693,131111
2009,senate,adah_journal,1374,35942,34633
2010,house,legiscan,404,41658,41658
2010,senate,legiscan,376,13160,13160
2011,house,legiscan,914,95456,95456
2011,senate,legiscan,746,26110,26110
2012,house,legiscan,1173,123165,123165
2012,senate,legiscan,965,33775,33775
2013,house,legiscan,872,90408,90408
2013,senate,legiscan,864,30110,30110
2014,house,legiscan,725,75214,75214
2014,senate,legiscan,709,24815,24815
2015,house,legiscan,1011,106028,106028
2015,senate,legiscan,928,32480,32480
2016,house,legiscan,762,79685,79685
2016,senate,legiscan,751,26285,26285
2017,house,legiscan,742,77331,77331
2017,senate,legiscan,789,27615,27615
2018,house,legiscan,828,84511,84511
2018,senate,legiscan,775,26350,26350
2019,house,legiscan,832,86574,86574
2019,senate,legiscan,835,29225,29225
2020,house,legiscan,360,37795,37795
2020,senate,legiscan,323,11305,11305
2021,house,legiscan,1292,133336,133336
2021,senate,legiscan,1295,44125,44125
2022,house,legiscan,1030,105500,105500
2022,senate,legiscan,867,30345,30345
2023,house,legiscan,768,80502,80502
2023,senate,legiscan,749,26215,26215
2024,house,legiscan,1143,117658,117658
2024,senate,legiscan,1004,35096,35096
2025,house,legiscan,1682,174577,174577
2025,senate,legiscan,1169,39746,39746
2026,house,legiscan,1908,199258,199258
2026,senate,legiscan,1642,57470,57470
