year,election_type,dimension,group,metric,value,source_vintage,source_url
2008,president,intersectional,Asian/Other,dem_two_party_share_pct,63.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2008,president,intersectional,White College,dem_two_party_share_pct,48.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2008,president,intersectional,White Non-College,dem_two_party_share_pct,45.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2008,president,other,Latinx,dem_two_party_share_pct,63.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2008,president,overall,Total,dem_two_party_share_pct,54.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2008,president,race,Black,dem_two_party_share_pct,95.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,intersectional,Asian/Other,dem_two_party_share_pct,59.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,intersectional,White College,dem_two_party_share_pct,44.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,intersectional,White Non-College,dem_two_party_share_pct,38.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,other,Latinx,dem_two_party_share_pct,60.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,overall,Total,dem_two_party_share_pct,47.5,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2010,us_house,race,Black,dem_two_party_share_pct,90.0,2018_historical_chart,https://catalist.us/revisiting-what-happened-2018/
2012,president,age,18-29,dem_two_party_share_pct,62.31,2024_workbook,https://catalist.us/whathappened2024/
2012,president,age,30-44,dem_two_party_share_pct,53.42,2024_workbook,https://catalist.us/whathappened2024/
2012,president,age,45-64,dem_two_party_share_pct,50.45,2024_workbook,https://catalist.us/whathappened2024/
2012,president,age,65+,dem_two_party_share_pct,46.77,2024_workbook,https://catalist.us/whathappened2024/
2012,president,education,College,dem_two_party_share_pct,53.93,2024_workbook,https://catalist.us/whathappened2024/
2012,president,education,Non-College,dem_two_party_share_pct,51.01,2024_workbook,https://catalist.us/whathappened2024/
2012,president,gender,Men,dem_two_party_share_pct,47.62,2024_workbook,https://catalist.us/whathappened2024/
