old_node,new_node,old_year,new_year,county_key,old_precinct,new_precinct,name_score,turnout_score,code_exact,split_base_exact,composite_score,confidence,relationship,verification_status
1994|AUTAUGA|E. MEMORIAL BAPTIST CHURCH SD 1,1998|AUTAUGA|1010 EAST MEMORIAL BAPTIST CHURCH,1994,1998,AUTAUGA,E. MEMORIAL BAPTIST CHURCH SD 1,1010 EAST MEMORIAL BAPTIST CHURCH,89.28571428571429,97.97138662079944,0,0,81.92056387745819,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|CAMELLIA BAPTIST CHURCH SD2,1998|AUTAUGA|2040 CAMELLIA BAPTIST CHURCH,1994,1998,AUTAUGA,CAMELLIA BAPTIST CHURCH SD2,2040 CAMELLIA BAPTIST CHURCH,95.0,98.30058640392785,0,0,86.094105552707,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|PRATTMONT BAPTIST CHURCH SD2,1998|AUTAUGA|2060 PRATTMONT BAPTIST CHURCH,1994,1998,AUTAUGA,PRATTMONT BAPTIST CHURCH SD2,2060 PRATTMONT BAPTIST CHURCH,95.0,88.47794623972695,0,0,84.32603032315085,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|BOOTH POST OFFICE SD3,1998|AUTAUGA|3090 BOOTH POST OFFICE,1994,1998,AUTAUGA,BOOTH POST OFFICE SD3,3090 BOOTH POST OFFICE,95.0,96.2051768763367,0,0,85.71693183774059,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|WHITE CITY FIRE STATION SD3,1998|AUTAUGA|3110 WHITE CITY FIRE STATION,1994,1998,AUTAUGA,WHITE CITY FIRE STATION SD3,3110 WHITE CITY FIRE STATION,95.0,97.34615275733435,0,0,85.92230749632017,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|HAYNES COMMUNITY CTR SD3,1998|AUTAUGA|3120 HAYNES COMMUNITY CENTER,1994,1998,AUTAUGA,HAYNES COMMUNITY CTR SD3,3120 HAYNES COMMUNITY CENTER,95.0,93.25506957965544,0,0,85.18591252433797,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|JONES COMMUNITY CTR SD3,1998|AUTAUGA|3130 JONES COMMUNITY CENTER,1994,1998,AUTAUGA,JONES COMMUNITY CTR SD3,3130 JONES COMMUNITY CENTER,95.0,96.5118639782203,0,0,85.77213551607964,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|MARBURY COMMUNITY CTR SD4,1998|AUTAUGA|4160 MARBURY COMMUNITY CENTER,1994,1998,AUTAUGA,MARBURY COMMUNITY CTR SD4,4160 MARBURY COMMUNITY CENTER,95.0,96.05610527239206,0,0,85.69009894903056,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|COURTHOUSE SD5,1998|AUTAUGA|5180 COURTHOUSE,1994,1998,AUTAUGA,COURTHOUSE SD5,5180 COURTHOUSE,95.0,95.61472055105077,0,0,85.61064969918912,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
1994|AUTAUGA|AUTAUGAVILLE TOWN HALL SD5,1998|AUTAUGA|5205 AUTAUGAVILLE TOWN HALL,1994,1998,AUTAUGA,AUTAUGAVILLE TOWN HALL SD5,5205 AUTAUGAVILLE TOWN HALL,95.0,91.36069847679695,0,0,84.84492572582344,medium,one_to_one_candidate,adjacent_cycle_alias_candidate
