state,year,office,district,candidate,party,votes,precinct_rows,counties
AR,1994,GOV,,GOV. JIM GUY TUCKER,DEM,10190,37,1
AR,1994,GOV,,GOVERNOR JIM GUY TUCKER,DEM,418386,2518,74
AR,1994,GOV,,SHEFFIED NELSON,REP,7435,37,1
AR,1994,GOV,,SHEFFIELD NELSON,OTH,17709,94,1
AR,1994,GOV,,SHEFFIELD NELSON,REP,262474,2421,73
AR,1994,SLDL,1.0,JIM HENDREN,REP,4216,36,1
AR,1994,SLDL,1.0,RAILEY A. STEELE,DEM,3925,35,1
AR,1994,SLDL,7.0,BILL MYERS,REP,2152,13,1
AR,1994,SLDL,7.0,CHARLES W. STEWART,DEM,4389,14,1
AR,1994,SLDL,8.0,JERRY HOLLOWAY,REP,3650,22,1
AR,1994,SLDL,8.0,SUE MADISON,DEM,4457,22,1
AR,1994,SLDL,14.0,GUNNER DELAY,REP,9714,40,1
AR,1994,SLDL,14.0,"ST. REP. RALPH ""BUDDY"" BLAIR",DEM,8605,41,1
AR,1994,SLDL,15.0,ED WILKINSON,DEM,4665,32,2
AR,1994,SLDL,15.0,JERRY KING,REP,3941,32,2
AR,1994,SLDL,16.0,EVELYN AMMONS,DEM,4987,43,2
AR,1994,SLDL,16.0,LONNIE CAMPBELL,REP,1477,28,1
AR,1994,SLDL,16.0,LONNIE D. CAMPBELL,REP,2146,15,1
AR,1994,SLDL,18.0,GERALD HENDRIX UNOPPOSED,DEM,26,5,1
AR,1994,SLDL,19.0,JIM HILL,DEM,375,11,2
AR,1994,SLDL,20.0,BARBARA HORN,DEM,1533,6,1
AR,1994,SLDL,21.0,BOBBY FERGUSON,IND,1409,15,1
AR,1994,SLDL,21.0,DENNIS YOUNG,DEM,2946,15,1
AR,1994,SLDL,21.0,DON ROGGLES,REP,1629,16,1
AR,1994,SLDL,22.0,DAID BEATTY,DEM,268,2,1
AR,1994,SLDL,22.0,DAVID BEATTY,DEM,4268,40,2
AR,1994,SLDL,24.0,"CHARLES WHORTON, JR.",DEM,2389,38,4
AR,1994,SLDL,24.0,"REP. CHARLES WHORTON, JR.",DEM,3185,27,1
AR,1994,SLDL,24.0,TIM LOVE,REP,3812,65,5
AR,1994,SLDL,28.0,KEITH WOOD,DEM,3733,24,1
AR,1994,SLDL,29.0,BOB J. WATTS,REP,5142,17,1
AR,1994,SLDL,29.0,ROB MORTON,DEM,3798,17,1
AR,1994,SLDL,30.0,JOHN MONTGOMERY,REP,3712,33,1
AR,1994,SLDL,30.0,"L.L. ""DOC"" BRYAN",DEM,4014,34,1
AR,1994,SLDL,31.0,BOB JOHNSON,DEM,3323,23,1
AR,1994,SLDL,34.0,TERRY SMITH,DEM,8296,21,1
AR,1994,SLDL,34.0,TOM WILKINS,REP,6823,21,1
AR,1994,SLDL,37.0,JUDY SMITH,DEM,2628,27,1
AR,1994,SLDL,38.0,JOHN DAWSON,DEM,2628,27,1
AR,1994,SLDL,39.0,BILLY JOE PURDOM,DEM,870,10,1
AR,1994,SLDL,39.0,BILLY JOE PURDON,DEM,2400,16,1
AR,1994,SLDL,40.0,JOE HUDSON,REP,6014,23,1
AR,1994,SLDL,40.0,POT FLIPPO,DEM,4508,23,1
AR,1994,SLDL,42.0,BECKY L. LYNN,DEM,4352,33,1
AR,1994,SLDL,42.0,BECKY LINN,DEM,657,8,1
AR,1994,SLDL,42.0,BECKY LYNN,DEM,371,6,1
AR,1994,SLDL,42.0,MINDY MCCONHEY,REP,3301,33,1
AR,1994,SLDL,42.0,MINDY MCGAHHEY,REP,572,14,2
AR,1994,SLDL,43.0,STEVE SIMON,DEM,1883,22,2
AR,1994,SLDL,44.0,GREG WREN,DEM,4450,30,3
AR,1994,SLDL,44.0,MARVIN PARKS,REP,4149,29,3
AR,1994,SLDL,46.0,J. LANCE CURTIS,REP,3501,18,1
AR,1994,SLDL,46.0,LARRY MITCHELL,DEM,3818,18,1
AR,1994,SLDL,47.0,DOUG KIDD,DEM,6020,26,1
AR,1994,SLDL,47.0,"GARY F. HUNNICUTT, SR.",REP,2836,26,1
AR,1994,SLDL,49.0,BOBBY G. NEWMAN,DEM,2628,27,1
AR,1994,SLDL,50.0,COURTNEY SHEPPARD,DEM,3802,14,1
AR,1994,SLDL,50.0,TOM MATHIS,REP,2752,14,1
AR,1994,SLDL,53.0,DEBBIE MORELAND,DEM,3732,14,2
AR,1994,SLDL,53.0,TED THOMAS,REP,3930,14,2
AR,1994,SLDL,55.0,"JIM ARGUE, JR.",DEM,5070,9,1
AR,1994,SLDL,55.0,KEVIN LAMB,REP,3398,9,1
AR,1994,SLDL,56.0,CLARE M. ALALE,REP,1233,10,1
AR,1994,SLDL,56.0,MICHAEL BOOKER,DEM,3651,11,1
AR,1994,SLDL,57.0,GARY PHILLIPS,REP,2721,12,1
AR,1994,SLDL,57.0,LISA FERRELL,DEM,6178,12,1
AR,1994,SLDL,60.0,BUDDY POWERS,REP,3576,12,1
AR,1994,SLDL,60.0,STUART VESS,DEM,3963,12,1
AR,1994,SLDL,61.0,JAMES DIETZ,DEM,5560,14,1
AR,1994,SLDL,61.0,VALTREE BOYD,REP,3140,13,1
AR,1994,SLDL,62.0,JOE MULINARO,DEM,2340,8,1
AR,1994,SLDL,62.0,"TOM GULLAHORN, JR.",REP,1572,8,1
AR,1994,SLDL,63.0,DAVID RACKLEY,REP,3411,13,1
AR,1994,SLDL,63.0,DOUG WOOD,DEM,3526,13,1
AR,1994,SLDL,66.0,LARRY GOODWIN,DEM,1090,6,1
AR,1994,SLDL,67.0,DONALD HUTCHINS,REP,3085,56,3
AR,1994,SLDL,67.0,JOHN E. MILLER,DEM,4033,47,2
AR,1994,SLDL,67.0,JOHN MILLER,DEM,1799,9,1
AR,1994,SLDL,68.0,REPRESENTATIVE JOHN PAUL CAPPS,DEM,4913,28,1
AR,1994,SLDL,69.0,DAVID CHOATE,DEM,3139,14,1
AR,1994,SLDL,69.0,JIM BUSH,REP,2684,30,2
AR,1994,SLDL,69.0,REPRESENTATIVE DAVID CHOATE,DEM,2485,17,1
AR,1994,SLDL,71.0,BETSY FRANCIS,REP,3144,14,1
AR,1994,SLDL,71.0,PAT PAPPAS,DEM,3614,14,1
AR,1994,SLDL,76.0,MARION D. OWENS,DEM,2777,15,1
AR,1994,SLDL,79.0,DONALD L . RAY,DEM,4591,33,1
AR,1994,SLDL,79.0,DONALD RAY,DEM,832,5,1
AR,1994,SLDL,80.0,"REP. V.O. ""BUTCH"" CALHOUN",DEM,2307,19,1
AR,1994,SLDL,81.0,WANDA NORTHCUT,DEM,5674,21,1
AR,1994,SLDL,83.0,JIM L. DINTELMAN,REP,2703,29,2
AR,1994,SLDL,83.0,"N.B. ""NAP"" MURPHY",DEM,3488,22,1
AR,1994,SLDL,83.0,N.B. (NAP) MURPHY,DEM,279,7,1
AR,1994,SLDL,92.0,NELSON BENSON,REP,2240,31,2
AR,1994,SLDL,92.0,STATE REP. WAYNE WAGNER,DEM,2354,21,1
AR,1994,SLDL,92.0,WAYNE WAGNER,DEM,1336,10,1
AR,1994,SLDL,93.0,ANN BUSH,REP,2882,20,1
AR,1994,SLDL,93.0,JACK GOODMAN,DEM,2338,20,1
AR,1994,SLDL,94.0,CHRISTINE BROWNLEE,REP,2211,29,2
AR,1994,SLDL,94.0,"JOE HARRIS, JR.",DEM,2330,29,2
AR,1994,SLDL,96.0,JOE E. BAKER,REP,2231,20,1
AR,1994,SLDL,96.0,SCOTT FERGUSON,DEM,3766,20,1
AR,1994,SLDL,98.0,CHARLIE FITE,IND,842,29,2
AR,1994,SLDL,98.0,CHARLIE FITE,REP,739,29,2
AR,1994,SLDL,98.0,ERNEST CUNNINGHAM,DEM,5056,58,4
AR,1994,SLDL,99.0,JIMMIE L. WILSON,DEM,5674,21,1
AR,1994,SLDL,99.0,JIMMIE WILSON,DEM,2912,48,1
AR,1994,SLDU,2.0,JODIE MAHONEY,DEM,12467,82,3
AR,1994,SLDU,2.0,JODY MAHONY,DEM,335,8,1
AR,1994,SLDU,2.0,PAT HALL,REP,7063,90,4
AR,1994,SLDU,7.0,KEVIN A. SMITH,DEM,5674,21,1
AR,1994,SLDU,14.0,DEL ROBERSON,DEM,8920,65,2
AR,1994,SLDU,14.0,DOYLE WEBB,REP,12772,65,2
AR,1994,SLDU,17.0,ANTIMOORE JACKSON,REP,2469,24,1
AR,1994,SLDU,17.0,"WILLIAM ""BILL"" WALKER, JR.",DEM,8964,25,1
AR,1994,SLDU,18.0,CLIFF HOOFMAN,DEM,10683,30,1
AR,1994,SLDU,18.0,JIM FREELAND,REP,8730,29,1
AR,1994,SLDU,21.0,SENATOR MIKE BEEBE,DEM,8855,72,1
AR,1994,SLDU,23.0,MIKE EVERETT,DEM,4653,39,2
AR,1994,SLDU,23.0,MIKE EVERETTE,DEM,3133,13,1
AR,1994,SLDU,23.0,SENATOR MIKE EVERETT,DEM,2646,17,1
AR,1994,SLDU,23.0,STAN BRAWLEY,REP,9393,69,4
AR,1994,SLDU,24.0,LONNIE BIGGERS,REP,346,14,1
AR,1994,SLDU,24.0,LONNIE D. BIGGERS,REP,5027,100,4
AR,1994,SLDU,24.0,SENATOR STEVE BELL,DEM,2483,27,2
AR,1994,SLDU,24.0,STEVE BALL,DEM,7314,35,1
AR,1994,SLDU,24.0,STEVE BELL,DEM,4531,40,1
AR,1994,SLDU,24.0,STEVEN L. BELL,DEM,1091,12,1
AR,1994,SLDU,26.0,SENATOR JOHN FITCH,DEM,2436,27,1
AR,1994,SLDU,30.0,KAY WILLIAMS,REP,7020,68,4
AR,1994,SLDU,30.0,MIKE TODD,DEM,6511,26,2
AR,1994,SLDU,30.0,SENATOR MIKE TODD,DEM,6645,42,2
AR,1994,SLDU,32.0,GARY D. HUNTER,REP,13172,68,3
AR,1994,SLDU,32.0,RICHARD SHEID,DEM,12271,68,3
AR,1994,SLDU,33.0,FAY W. BOOZEMAN,REP,5369,18,1
AR,1994,SLDU,33.0,REID HOLIMAN,DEM,3897,24,1
AR,1994,SLDU,33.0,RIED HOLIMAN,DEM,4792,17,1
AR,1994,USH,1.0,BLACHE LAMBERT,DEM,5695,73,1
AR,1994,USH,1.0,BLANCHE LAMBERT,DEM,33873,243,8
AR,1994,USH,1.0,BLANCHE LAMBERT LINCOLN,DEM,6502,56,1
AR,1994,USH,1.0,BLANCHE M. LAMBERT,DEM,38605,348,12
AR,1994,USH,1.0,BLANCHE N. LAMBERT,DEM,1772,17,1
AR,1994,USH,1.0,DUPWE,REP,4508,22,1
AR,1994,USH,1.0,LAMBERT,DEM,5369,21,1
AR,1994,USH,1.0,WARREN DUPWE,REP,72896,715,22
AR,1994,USH,1.0,WARREN DUPWEE,REP,2705,21,1
AR,1994,USH,2.0,BILL POWELL,REP,72467,432,8
AR,1994,USH,2.0,RAY THORNTON,DEM,97680,432,8
AR,1994,USH,3.0,BERTA L. SEITZ,DEM,39794,434,9
AR,1994,USH,3.0,BERTA SEITZ,DEM,18372,187,6
AR,1994,USH,3.0,CONG. TIM HUTCHINSON,REP,20812,68,1
AR,1994,USH,3.0,CONGRESSMAN TIM HUTCHINSON,REP,11169,55,2
AR,1994,USH,3.0,TIM HUTCHINSON,OTH,23415,94,1
AR,1994,USH,3.0,TIM HUTCHINSON,REP,65357,406,11
AR,1994,USH,4.0,CONG. JAY DICKEY,REP,1437,21,1
AR,1994,USH,4.0,CONGRESSMAN JAY DICKEY,REP,15188,95,3
AR,1994,USH,4.0,JAY BRADFORD,DEM,76984,642,25
AR,1994,USH,4.0,JAY BRADFORD,REP,4452,34,1
AR,1994,USH,4.0,JAY DICKEY,DEM,3989,34,1
AR,1994,USH,4.0,JAY DICKEY,REP,67022,527,21
AR,1994,USH,104.0,BERTA L. SEITZ,DEM,3815,37,1
AR,1994,USH,104.0,TIM HUTCHINSON,REP,9154,37,1
AR,1996,SLDL,3.0,REP. DAVE BISBEE,REP,4283,19,1
AR,1996,SLDL,8.0,BILL PRITCHARD,REP,5666,23,1
AR,1996,SLDL,8.0,SUE MADISON,DEM,5895,22,1
AR,1996,SLDL,12.0,B.G. HENDRIX,DEM,10489,41,1
AR,1996,SLDL,13.0,PAUL SCHLAF,OTH,4272,41,1
AR,1996,SLDL,13.0,REPRESENTATIVE CAROLYN POLLAN,REP,16456,41,1
AR,1996,SLDL,14.0,DON HUTCHINGS,REP,10320,41,1
AR,1996,SLDL,14.0,"W.K. (MAC) MCGEHEE, JR.",DEM,11997,41,1
AR,1996,SLDL,15.0,JERRY KING,REP,4177,30,2
AR,1996,SLDL,15.0,REP. ED WILKINSON,DEM,6070,29,2
AR,1996,SLDL,16.0,BRUCE CAMPBELL,REP,4128,44,2
AR,1996,SLDL,16.0,EVELYN AMMONS,DEM,5592,44,2
AR,1996,SLDL,17.0,AUDRY WHISENHUNT,REP,4288,40,3
AR,1996,SLDL,17.0,ODE MADDOX,DEM,5719,40,3
