state,year,county,precinct,office,district,candidate,party,votes,source_file,source_sheet,source_row,duplicate_source_rows
AR,1994,ARKANSAS,ABSENTEE,GOV,,GOVERNOR JIM GUY TUCKER,DEM,293,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,ABSENTEE,GOV,,SHEFFIELD NELSON,REP,130,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,ABSENTEE,SLDL,81.0,WANDA NORTHCUT,DEM,367,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,ABSENTEE,SLDL,98.0,CHARLIE FITE,REP,36,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,ABSENTEE,SLDL,98.0,ERNEST CUNNINGHAM,DEM,98,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,ABSENTEE,SLDL,99.0,JIMMIE L. WILSON,DEM,367,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,ABSENTEE,SLDU,7.0,KEVIN A. SMITH,DEM,367,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,ABSENTEE,USH,1.0,BLANCHE M. LAMBERT,DEM,266,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,ABSENTEE,USH,1.0,WARREN DUPWEE,REP,142,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,GOV,,GOVERNOR JIM GUY TUCKER,DEM,110,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,GOV,,SHEFFIELD NELSON,REP,48,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,SLDL,81.0,WANDA NORTHCUT,DEM,138,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,SLDL,99.0,JIMMIE L. WILSON,DEM,138,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,SLDU,7.0,KEVIN A. SMITH,DEM,138,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,USH,1.0,BLANCHE M. LAMBERT,DEM,84,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,ALMYRA COMMUNITY CENTER,USH,1.0,WARREN DUPWEE,REP,73,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,GOV,,GOVERNOR JIM GUY TUCKER,DEM,504,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,GOV,,SHEFFIELD NELSON,REP,244,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,SLDL,81.0,WANDA NORTHCUT,DEM,673,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,SLDL,99.0,JIMMIE L. WILSON,DEM,673,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,SLDU,7.0,KEVIN A. SMITH,DEM,673,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,USH,1.0,BLANCHE M. LAMBERT,DEM,373,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,AP & L REDDY ROOM,USH,1.0,WARREN DUPWEE,REP,359,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,319,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,GOV,,SHEFFIELD NELSON,REP,100,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,SLDL,81.0,WANDA NORTHCUT,DEM,355,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,SLDL,99.0,JIMMIE L. WILSON,DEM,355,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,SLDU,7.0,KEVIN A. SMITH,DEM,355,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,USH,1.0,BLANCHE M. LAMBERT,DEM,263,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,CLARY ELEMENTARY SCHOOL,USH,1.0,WARREN DUPWEE,REP,137,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,DEWITT CITY HALL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,223,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,DEWITT CITY HALL,GOV,,SHEFFIELD NELSON,REP,123,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,DEWITT CITY HALL,SLDL,81.0,WANDA NORTHCUT,DEM,302,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,DEWITT CITY HALL,SLDL,98.0,CHARLIE FITE,REP,101,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,DEWITT CITY HALL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,233,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,DEWITT CITY HALL,SLDL,99.0,JIMMIE L. WILSON,DEM,302,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,DEWITT CITY HALL,SLDU,7.0,KEVIN A. SMITH,DEM,302,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,DEWITT CITY HALL,USH,1.0,BLANCHE M. LAMBERT,DEM,202,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,DEWITT CITY HALL,USH,1.0,WARREN DUPWEE,REP,127,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,GOV,,GOVERNOR JIM GUY TUCKER,DEM,248,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,GOV,,SHEFFIELD NELSON,REP,143,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,SLDL,81.0,WANDA NORTHCUT,DEM,347,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,SLDL,98.0,CHARLIE FITE,REP,96,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,SLDL,98.0,ERNEST CUNNINGHAM,DEM,281,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,SLDL,99.0,JIMMIE L. WILSON,DEM,347,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,SLDU,7.0,KEVIN A. SMITH,DEM,347,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,USH,1.0,BLANCHE M. LAMBERT,DEM,223,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,FIRST ASSEMBLY OF GOD,USH,1.0,WARREN DUPWEE,REP,159,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,GOV,,GOVERNOR JIM GUY TUCKER,DEM,210,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,GOV,,SHEFFIELD NELSON,REP,122,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,SLDL,81.0,WANDA NORTHCUT,DEM,281,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,SLDL,98.0,CHARLIE FITE,REP,71,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,SLDL,98.0,ERNEST CUNNINGHAM,DEM,246,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,SLDL,99.0,JIMMIE L. WILSON,DEM,281,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,SLDU,7.0,KEVIN A. SMITH,DEM,281,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,USH,1.0,BLANCHE M. LAMBERT,DEM,183,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,FIRST NATIONAL BANK,USH,1.0,WARREN DUPWEE,REP,132,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,GILLETT CITY HALL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,248,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,GILLETT CITY HALL,GOV,,SHEFFIELD NELSON,REP,101,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,GILLETT CITY HALL,SLDL,81.0,WANDA NORTHCUT,DEM,304,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,GILLETT CITY HALL,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,GILLETT CITY HALL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,GILLETT CITY HALL,SLDL,99.0,JIMMIE L. WILSON,DEM,304,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,GILLETT CITY HALL,SLDU,7.0,KEVIN A. SMITH,DEM,304,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,GILLETT CITY HALL,USH,1.0,BLANCHE M. LAMBERT,DEM,237,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,GILLETT CITY HALL,USH,1.0,WARREN DUPWEE,REP,102,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,GOV,,GOVERNOR JIM GUY TUCKER,DEM,230,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,GOV,,SHEFFIELD NELSON,REP,133,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,SLDL,81.0,WANDA NORTHCUT,DEM,333,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,SLDL,99.0,JIMMIE L. WILSON,DEM,333,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,SLDU,7.0,KEVIN A. SMITH,DEM,333,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,USH,1.0,BLANCHE M. LAMBERT,DEM,187,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,GRAND AVE. METHODIST,USH,1.0,WARREN DUPWEE,REP,170,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,94,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,GOV,,SHEFFIELD NELSON,REP,46,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,SLDL,81.0,WANDA NORTHCUT,DEM,114,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,SLDL,99.0,JIMMIE L. WILSON,DEM,114,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,SLDU,7.0,KEVIN A. SMITH,DEM,114,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,USH,1.0,BLANCHE M. LAMBERT,DEM,84,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,HUMPHREY CITY HALL,USH,1.0,WARREN DUPWEE,REP,44,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,221,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,GOV,,SHEFFIELD NELSON,REP,128,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,SLDL,81.0,WANDA NORTHCUT,DEM,293,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,SLDL,99.0,JIMMIE L. WILSON,DEM,293,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,SLDU,7.0,KEVIN A. SMITH,DEM,293,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,USH,1.0,BLANCHE M. LAMBERT,DEM,158,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,JULIA SHANNON SCHOOL,USH,1.0,WARREN DUPWEE,REP,188,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,GOV,,GOVERNOR JIM GUY TUCKER,DEM,111,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,GOV,,SHEFFIELD NELSON,REP,60,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,SLDL,81.0,WANDA NORTHCUT,DEM,144,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,SLDL,99.0,JIMMIE L. WILSON,DEM,144,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,SLDU,7.0,KEVIN A. SMITH,DEM,144,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,USH,1.0,BLANCHE M. LAMBERT,DEM,92,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,LODGES CORNER METHODIST CHURCH,USH,1.0,WARREN DUPWEE,REP,80,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,GOV,,GOVERNOR JIM GUY TUCKER,DEM,306,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,14,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,GOV,,SHEFFIELD NELSON,REP,181,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,15,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,SLDL,81.0,WANDA NORTHCUT,DEM,447,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,62,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,SLDL,98.0,CHARLIE FITE,REP,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,59,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,SLDL,98.0,ERNEST CUNNINGHAM,DEM,0,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,58,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,SLDL,99.0,JIMMIE L. WILSON,DEM,447,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,65,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,SLDU,7.0,KEVIN A. SMITH,DEM,447,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,55,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,USH,1.0,BLANCHE M. LAMBERT,DEM,219,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,5,1
AR,1994,ARKANSAS,MEEKINS MIDDLE SCHOOL,USH,1.0,WARREN DUPWEE,REP,261,data/raw/southern_sos_elections/AR/1994/94general_election_results.xls,Arkansas,6,1
