state,year,source_member,source_rows,has_county,has_precinct,has_house_district,has_senate_district,offices,legislative_offices,use_class
AL,2000,AL_2000.dta,2224,True,True,False,False,USH|USP,,context_only
AL,2002,AL_2002.dta,2753,True,True,False,False,ATG|AUD|GOV|LTG|SOS|TRE|USH|USS,,context_only
AL,2004,AL_2004.dta,2593,True,True,False,False,USH|USP|USS,,context_only
AL,2006,AL_2006.dta,2690,True,True,False,False,ATG|AUD|GOV|LTG|SOS|TRE|USH,,context_only
AL,2008,AL_2008.dta,2683,True,True,False,False,USH|USP|USS,,context_only
AL,2010,AL_2010.dta,2202,True,True,True,True,AGR|ATG|AUD|CCA|CVA|GOV|LTG|PSC1|PSC2|SBOE|SC1|SC2|SC3|SOS|STH|STS|TRE|USH|USS,STH|STS,direct_legislative
AL,2012,AL_2012.dta,2069,True,True,False,False,BALL|REG|USH|USP,,context_only
AR,2000,AR_2000.dta,2481,True,True,False,False,USH|USP,,context_only
AR,2002,AR_2002.dta,2334,True,True,False,False,GOV|LTG|SOS|TRE|USH|USS,,context_only
AR,2004,AR_2004.dta,2315,True,True,False,False,USH|USP|USS,,context_only
AR,2006,AR_2006.dta,2205,True,True,False,False,ATG|GOV|LTG|SOS|TRE|USH,,context_only
AR,2008,AR_2008.dta,2113,True,True,False,False,USH|USP|USS,,context_only
AR,2010,AR_2010.dta,2310,True,True,False,False,ATG|GOV|LTG|SOS|TRE|USH|USS,,context_only
AR,2012,AR_2012.dta,2333,True,True,False,False,REG|USH|USP,,context_only
FL,2010,FL_2010.dta,6861,True,True,True,True,AGR|ATG|BALL|CFO|GOV|REG|STH|STS|USH|USS,STH|STS,direct_legislative
GA,2002,GA_2002.dta,2898,True,True,False,False,GOV|USS,,context_only
GA,2004,GA_2004.dta,2993,True,True,False,False,USP|USS,,context_only
GA,2006,GA_2006.dta,2998,True,True,False,False,GOV|REG,,context_only
GA,2008,GA_2008.dta,2925,True,True,False,False,REG|USP|USS,,context_only
GA,2012,GA_2012.dta,2819,True,True,True,True,REG|STH|STS|USH|USP,STH|STS,direct_legislative
KY,2007,KY_2007.dta,4342,True,True,True,True,AGR|ATG|AUD|GOV|SOS|TRE,,context_only
KY,2008,KY_2008.dta,4342,True,True,True,True,REG|USP|USS,,context_only
KY,2010,KY_2010.dta,3039,True,True,True,True,BALL|STH|STS|USH|USS,STH|STS,direct_legislative
KY,2012,KY_2012.dta,3608,True,True,False,False,USH|USP,,context_only
LA,2000,LA_2000.dta,3962,False,True,False,False,USH|USP,,context_only
LA,2001,LA_2001.dta,754,False,True,True,True,SC6|STH|STS,STH|STS,direct_legislative
LA,2002,LA_2002.dta,3976,False,True,False,False,USH|USS,,context_only
LA,2003,LA_2003.dta,4221,False,True,True,True,AGR|ATG|CCA|GOV|INS|LTG|SBOE|SOS|STH|STS,STH|STS,direct_legislative
LA,2004,LA_2004.dta,4227,False,True,False,False,USH|USP|USS,,context_only
LA,2005,LA_2005.dta,320,False,True,True,True,STH|STS,STH|STS,direct_legislative
LA,2006,LA_2006.dta,4039,False,True,False,False,USH,,context_only
LA,2007,LA_2007.dta,4031,False,True,True,True,AGR|ATG|GOV|LTG|SBOE|SOS|STH|STS,STH|STS,direct_legislative
LA,2008,LA_2008.dta,4057,False,True,False,False,USH|USP|USS,,context_only
LA,2009,LA_2009.dta,1779,False,True,True,True,CCA|PSC4|SC4|STH|STS,STH|STS,direct_legislative
LA,2010,LA_2010.dta,4005,False,True,False,False,LTG|USH|USS,,context_only
