cycle,county_key,precinct_key,place_key,donor_vtd_id,donor_name,donor_vintage,longitude,latitude,geocoder_score,matched_address,geocoder_name_similarity,geocoder_address_type,match_method,confidence,verification_status
1994,AUTAUGA,AUTAUGA COUNTY V.S. SD2,AUTAUGA COUNTY V S SD2,VTD2000-001-13,Autauga County Court House,2000,-86.4748808,32.4635805,92.11,Autauga County,90.0,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,AUTAUGA,PINE LEVEL COMMUNITY CTR SD4,PINE LEVEL COMMUNITY CENTER SD4,VTD2000-001-7,Pine Level Fire Station,2000,-86.461628,32.583481,96.81,Pine Level Community Center,95.0,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,BALDWIN,BON SECOUR SCHOOL,BON SECOUR SCHOOL,VTD2000-003-37,Ben Secour Swift School,2000,-87.7363363,30.3190791,92.21,"Bon Secour, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,BALDWIN,GATESWOOD SCHOOL,GATESWOOD SCHOOL,VTD2000-003-20,Gateswood Hamilton Church,2000,-87.582444,30.722668,92.21,"Gateswood, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,BALDWIN,WHITE HOUSE SCHOOL,WHITE HOUSE SCHOOL,VTD2000-003-17,White House Forks Vol Fire Dept,2000,-87.82666,30.80491,100.0,Whitehouse School,97.14285714285714,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,BULLOCK,CORNERSTONE- MACHINE #1,CORNERSTONE MACHINE,VTD2000-011-9,Hector,2000,-85.842333,32.156849,91.71,"Cornerstone, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CALHOUN,ANNISTON GOLDEN SPRINGS COMM,ANNISTON GOLDEN SPRINGS COMMUNITY,VTD2000-015-24,Anniston National Guard Armory,2000,-85.783719,33.631958,88.16,Golden Springs Community Center,82.9090909090909,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CALHOUN,CEDAR SPRINGS SCHOOL,CEDAR SPRINGS SCHOOL,VTD2000-015-5,Weaver First United Methodist Church,2000,-85.8333139,33.8188657,100.0,Cedar Springs School,100.0,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CALHOUN,EULATON CIVIC CENTER,EULATON CIVIC CENTER,VTD2000-015-4,Oxford,2000,-85.912388,33.646518,87.54,"Eulaton, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CALHOUN,HOLLINGSWORTH HOLLEY'S CROSS,HOLLINGSWORTH HOLLEY S CROSS,VTD2000-015-10,Holley's Crossroad Baptist Church,2000,-85.697741,33.825102,88.44,"Hollingsworth, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CHAMBERS,HUGULEY,HUGULEY,VTD2000-017-13,Valley,2000,-85.226866,32.831709,100.0,"Huguley, Alabama",100.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,CHOCTAW,BUTLER A-D DIST #1,BUTLER A D DIST,VTD2000-023-5,Butler-Mt. Sterling,2000,-88.220095,32.089833,91.58,"Butler, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,CARTER SCHOOL,CARTER SCHOOL,VTD2000-039-1,Andalusia,2000,-86.5183825,31.2839304,87.0,Covington County School,85.5,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,FLORAL-3,FLORAL,VTD2000-039-9,Florala,2000,-86.3276418,31.0050864,93.14,"Florala, Alabama",92.3076923076923,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,GANTT 1 RAWLS-1,GANTT 1 RAWLS,VTD2000-039-15,Gantt City Hall,2000,-86.480367,31.453226,91.23,"Rawls, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,GANTT 1 RAWLS-2,GANTT 1 RAWLS,VTD2000-039-15,Gantt City Hall,2000,-86.480367,31.453226,91.23,"Rawls, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,RED LEVEL-1,RED LEVEL,VTD2000-039-12,Red Level City Hall,2000,-86.603398,31.408049,98.63,"Red Level, Alabama",100.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,RED LEVEL-2,RED LEVEL,VTD2000-039-12,Red Level City Hall,2000,-86.603398,31.408049,98.63,"Red Level, Alabama",100.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,VALLEY GROVE,VALLEY GROVE,VTD2000-039-14,Valley Grave-Friendship,2000,-86.264377,31.39037,87.23,Valley Grove Church,90.0,POI,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
1994,COVINGTN,WING 1 BEDA,WING 1 BEDA,VTD2000-039-10,Beda Wing Fire Dept.-Catoe's Store,2000,-86.581928,31.051063,92.05,"Beda, Alabama",90.0,Locality,named_place_geocode_to_containing_vtd,low,approximate_geocoded_polling_place
