cycle,chamber,geometry_confidence,precinct_district_slices
1994,house,high,576
1994,house,low,1109
1994,house,medium,468
1994,house,unresolved,797
1994,senate,high,554
1994,senate,low,1100
1994,senate,medium,463
1994,senate,unresolved,676
1998,house,high,670
1998,house,low,1409
1998,house,medium,351
1998,house,unresolved,549
1998,senate,high,660
1998,senate,low,1392
1998,senate,medium,355
1998,senate,unresolved,497
2002,house,high,531
2002,house,low,1549
2002,house,medium,397
2002,house,unresolved,617
2002,senate,high,511
2002,senate,low,1455
2002,senate,medium,391
2002,senate,unresolved,544
2006,house,high,577
2006,house,low,1063
2006,house,medium,320
2006,house,unresolved,563
2006,senate,high,567
2006,senate,low,981
2006,senate,medium,306
2006,senate,unresolved,446
