link_id,cycle,county_key,precinct_key,donor_vintage,donor_vtd_id,donor_name,relationship,is_primary,vtd_to_precinct_weight,evidence_method,confidence,district_overlap_share,name_score,verification_status
PVL-940D4DF9E2209CA3,1994,AUTAUGA,AUTAUGA COUNTY V.S. SD2,2000,VTD2000-001-13,Autauga County Court House,overflow_member,True,,named_place_geocode_to_containing_vtd,low,,90.0,audited_scalar_anchor
PVL-C858231A4486C20A,1994,AUTAUGA,AUTAUGAVILLE TOWN HALL SD5,2000,VTD2000-001-14,Autaugaville Town Hall,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-9C5BAF5A9C07B497,1994,AUTAUGA,BILLINGSLEY GOVERNMENTAL SD4,2000,VTD2000-001-3,Billingsley Governmental Center,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,87.6923076923077,audited_scalar_anchor
PVL-3A0197CDD75D1003,1994,AUTAUGA,BOOTH POST OFFICE SD3,2000,VTD2000-001-9,Booth Post Office,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-D1FB7431AC41551A,1994,AUTAUGA,CAMELLIA BAPTIST CHURCH SD2,2000,VTD2000-001-17,Camelia Baptist Church,overflow_member,True,,fuzzy_name,medium,,89.79591836734694,audited_scalar_anchor
PVL-88DEFFAB2EC4268E,1994,AUTAUGA,COURTHOUSE SD5,2000,VTD2000-001-13,Autauga County Court House,overflow_member,True,,adjacent_cycle_alias_graph,medium,,,audited_scalar_anchor
PVL-4635B158267825A6,1994,AUTAUGA,E. MEMORIAL BAPTIST CHURCH SD 1,2000,VTD2000-001-2,East Memorial Baptist Church,overflow_member,True,,fuzzy_name,medium,,89.28571428571429,audited_scalar_anchor
PVL-BA179882C8FD4D47,1994,AUTAUGA,HAYNES COMMUNITY CTR SD3,2000,VTD2000-001-4,Haynes Community Center,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-1A3FF5FECD455407,1994,AUTAUGA,INDEPENDENCE V.H. SD5,2000,VTD2000-001-8,Independence Voting House,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,75.55555555555556,audited_scalar_anchor
PVL-8135E2FB4FC837CB,1994,AUTAUGA,JONES COMMUNITY CTR SD3,2000,VTD2000-001-1,Jones Community Center,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-922F1F1761FB9F80,1994,AUTAUGA,MARBURY COMMUNITY CTR SD4,2000,VTD2000-001-6,Marbury Community Center,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-C5CA641C73AA836F,1994,AUTAUGA,MULBERRY-STATESVILLE SD5,2000,VTD2000-001-11,Mulberry-Statesville,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-28FE5C5139ABC14E,1994,AUTAUGA,NATIONAL GUARD ARMORY SD3-1,2000,VTD2000-001-16,National Guard Armory,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-E2B5448F634697B4,1994,AUTAUGA,NATIONAL GUARD ARMORY SD3-2,2000,VTD2000-001-16,National Guard Armory,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-880BD356BFA2ED6B,1994,AUTAUGA,NEWTON PARK SD1-1,2000,VTD2000-001-10,Newton Park Voting Center,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,74.64285714285714,audited_scalar_anchor
PVL-F8E10ED4A884A972,1994,AUTAUGA,NEWTON PARK SD1-2,2000,VTD2000-001-10,Newton Park Voting Center,overflow_member,True,,named_place_geocode_to_containing_vtd,low,,95.0,audited_scalar_anchor
PVL-87652365DD6781C9,1994,AUTAUGA,OLD KINGSTON FIRE ST SD5,2000,VTD2000-001-18,Old Kingston Vote Site,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,73.46938775510203,audited_scalar_anchor
PVL-48AE4ABC3BE59D75,1994,AUTAUGA,PINE LEVEL COMMUNITY CTR SD4,2000,VTD2000-001-7,Pine Level Fire Station,overflow_member,True,,named_place_geocode_to_containing_vtd,low,,95.0,audited_scalar_anchor
PVL-1BD60702BE45C2BE,1994,AUTAUGA,PRATTMONT BAPTIST CHURCH SD2,2000,VTD2000-001-15,Prattmont Baptist Church,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-BE2BC57A4635FEB0,1994,AUTAUGA,VOCATIONAL CENTER SD4,2000,VTD2000-001-22,Autauga County Vocational Center,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,85.5,audited_scalar_anchor
PVL-6A6BFB3A36A95EA8,1994,AUTAUGA,WHITE CITY FIRE STATION SD3,2000,VTD2000-001-5,White City Fire Station,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-A445617DDE77CC2B,1994,BALDWIN,BAPTIST CHURCH-LILLIAN,2000,VTD2000-003-20,Gateswood Hamilton Church,overflow_member,True,,iterative_adjacent_cycle_consensus,low,,,audited_scalar_anchor
PVL-6730ADCC7FBAD576,1994,BALDWIN,BARNWELL COMMUNITY HALL,2000,VTD2000-003-35,Barnwell Church,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-B824166DC76D41E7,1994,BALDWIN,BAY MINETTE CITY HALL 1,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,overflow_member,True,,fuzzy_name,medium,,90.0,audited_scalar_anchor
PVL-8B7D2941C28835B0,1994,BALDWIN,BAY MINETTE CITY HALL 2,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,overflow_member,True,,fuzzy_name,medium,,90.0,audited_scalar_anchor
PVL-6E3296DBA1B3AB79,1994,BALDWIN,BAY MINETTE CITY HALL 3,2000,VTD2000-003-15,Bay Minette City Hall-Civic Center,overflow_member,True,,fuzzy_name,medium,,90.0,audited_scalar_anchor
PVL-6200A15F024880A9,1994,BALDWIN,BAY MINETTE MIDDLE SCHOOL,2000,VTD2000-003-5,Bay Minette Intermediate School,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,79.53488372093024,audited_scalar_anchor
PVL-DE92C19F0BBF3CEC,1994,BALDWIN,BELFOREST COMMUNITY CENTER,2000,VTD2000-003-23,Belforest Community Center,overflow_member,True,,exact_name,high,,100.0,audited_scalar_anchor
PVL-8FB91ACE79301D37,1994,BALDWIN,BON SECOUR SCHOOL,2000,VTD2000-003-37,Ben Secour Swift School,overflow_member,True,,named_place_geocode_to_containing_vtd,low,,90.0,audited_scalar_anchor
PVL-7391030F86E83238,1994,BALDWIN,CROSSROADS SCHOOL,2000,VTD2000-003-4,Crossroads Alternative School,overflow_member,True,,iterative_adjacent_cycle_consensus,low,,,audited_scalar_anchor
PVL-B37FFFDF4560AFA6,1994,BALDWIN,DAPHNE INTERMEDIATE SCHOOL,2000,VTD2000-003-7,Daphne Intermediate School,overflow_member,True,,exact_name,high,,100.0,audited_scalar_anchor
PVL-D98890BB29142DE7,1994,BALDWIN,DAPHNE RECREATION CENTER 1,2000,VTD2000-003-49,Daphne Nicholson Center,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,72.34042553191489,audited_scalar_anchor
PVL-7D32A874E1E4DF5A,1994,BALDWIN,DAPHNE RECREATION CENTER 2,2000,VTD2000-003-49,Daphne Nicholson Center,overflow_member,True,,district_constrained_nonexclusive_approximation,low,,72.34042553191489,audited_scalar_anchor
PVL-93C475CF046835AA,1994,BALDWIN,ELBERTA-FIRE HOUSE,2000,VTD2000-003-40,Fort Morgan Vol Fire Dept #2,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-721B238C032D5783,1994,BALDWIN,ELLISVILLE COMMUNITY CENTER,2000,VTD2000-003-8,Loxley Ellisville Comm Center,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
PVL-D5AE4B6EAAE103A2,1994,BALDWIN,ELSANOR COMMUNITY CENTER,2000,VTD2000-003-26,Elsanor Community Center,overflow_member,True,,exact_name,high,,100.0,audited_scalar_anchor
PVL-BEF1B408BBF31BDA,1994,BALDWIN,FAIRHOPE CITY HALL 1,2000,VTD2000-003-43,Fairhope J Larry Newton School,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-E03675EFAB54CC66,1994,BALDWIN,FAIRHOPE CITY HALL 2,2000,VTD2000-003-43,Fairhope J Larry Newton School,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-476ED5D78B57FC2F,1994,BALDWIN,FAIRHOPE CITY HALL 3,2000,VTD2000-003-43,Fairhope J Larry Newton School,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-B500A63FA90D8801,1994,BALDWIN,FAIRHOPE CITY HALL 4,2000,VTD2000-003-43,Fairhope J Larry Newton School,overflow_member,True,,fuzzy_name_district_constraint,medium,,85.5,audited_scalar_anchor
PVL-0A6812C2B8729CCB,1994,BALDWIN,FERGUSON STORE-LITTLE RIVER,2000,VTD2000-003-1,Little River Ferguson Store,overflow_member,True,,fuzzy_name,medium,,95.0,audited_scalar_anchor
