state,year,chamber,district,dem_votes,rep_votes,dem_margin
AR,2008,house,3,4708.0,1746.0,45.89401921289123
AR,2008,house,13,3574.0,,
AR,2008,house,14,5817.0,,
AR,2008,house,15,5736.0,3935.0,18.622686381966705
AR,2008,house,28,3551.0,2837.0,11.177207263619286
AR,2008,house,29,3064.0,5392.0,-27.530747398297066
AR,2008,house,33,3975.0,,
AR,2008,house,34,3641.0,1602.0,38.88994850276559
AR,2008,house,38,4020.0,4780.0,-8.636363636363637
AR,2008,house,42,3737.0,4931.0,-13.774803876326718
AR,2008,house,43,3569.0,3951.0,-5.079787234042553
AR,2008,house,45,4218.0,2827.0,19.744499645138397
AR,2008,house,49,3622.0,4313.0,-8.70825456836799
AR,2008,house,50,2939.0,2764.0,3.068560406803437
AR,2008,house,54,3538.0,,
AR,2008,house,62,4937.0,5610.0,-6.380961410827724
AR,2008,house,64,2344.0,2995.0,-12.19329462446151
AR,2008,house,67,4466.0,3615.0,10.530874891721322
AR,2008,house,68,450.0,566.0,-11.417322834645669
AR,2008,house,70,3450.0,3497.0,-0.6765510292212465
AR,2008,house,73,4161.0,3263.0,12.095905172413794
AR,2008,house,81,1427.0,4125.0,-48.59510086455332
AR,2008,house,85,2078.0,2819.0,-15.13171329385338
AR,2008,house,87,4510.0,5422.0,-9.182440596053162
AR,2008,house,89,5026.0,4604.0,4.382139148494288
AR,2008,house,90,,9665.0,
AR,2008,house,91,2715.0,4615.0,-25.920873124147338
AR,2008,senate,30,14184.0,15047.0,-2.9523451130648968
GA,2012,house,1,5149.0,11180.0,-36.934288688835814
GA,2012,house,2,,15612.0,
GA,2012,house,3,,16494.0,
GA,2012,house,4,,9807.0,
GA,2012,house,5,3242.0,11302.0,-55.41804180418042
GA,2012,house,6,,12341.0,
GA,2012,house,7,,18545.0,
GA,2012,house,8,7103.0,18742.0,-45.03385567808087
GA,2012,house,9,,18278.0,
GA,2012,house,10,,15777.0,
GA,2012,house,11,,17090.0,
GA,2012,house,12,8279.0,8777.0,-2.9197936210131332
GA,2012,house,13,,13232.0,
GA,2012,house,14,,16348.0,
GA,2012,house,15,4707.0,13526.0,-48.368343114133715
GA,2012,house,16,5421.0,12338.0,-38.94926516132665
GA,2012,house,17,,17348.0,
GA,2012,house,18,5020.0,12181.0,-41.631300505784544
GA,2012,house,19,,17013.0,
GA,2012,house,20,5524.0,18422.0,-53.86285809738578
GA,2012,house,21,,20198.0,
GA,2012,house,22,,22737.0,
GA,2012,house,23,,17472.0,
GA,2012,house,24,,21466.0,
GA,2012,house,25,,21983.0,
GA,2012,house,26,,21824.0,
GA,2012,house,27,,17290.0,
GA,2012,house,28,,15993.0,
