state,year,chamber,district,dvote,rvote,ovote,klarner_total_votes,dinc,rinc,uncont,dontuse,bigthird,legislative_turnout,_merge,vote_delta,reconciliation_status,model_eligible
TN,1998,house,1.0,4230.0,5390.0,0.0,9620.0,0.0,1.0,0.0,0.0,0.0,9517,both,-103.0,material_mismatch,False
TN,1998,house,2.0,0.0,8822.0,0.0,8822.0,0.0,1.0,1.0,0.0,0.0,8824,both,2.0,within_one_percent,True
TN,1998,house,3.0,2483.0,8150.0,0.0,10633.0,0.0,1.0,0.0,0.0,0.0,10633,both,0.0,exact,True
TN,1998,house,4.0,0.0,7625.0,0.0,7625.0,0.0,1.0,1.0,0.0,0.0,7676,both,51.0,within_one_percent,True
TN,1998,house,5.0,0.0,5534.0,2703.0,8237.0,0.0,1.0,1.0,0.0,1.0,8237,both,0.0,exact,True
TN,1998,house,6.0,0.0,7495.0,0.0,7495.0,0.0,0.0,1.0,0.0,0.0,7567,both,72.0,within_one_percent,True
TN,1998,house,7.0,0.0,6064.0,0.0,6064.0,0.0,1.0,1.0,0.0,0.0,6233,both,169.0,material_mismatch,False
TN,1998,house,8.0,4404.0,6808.0,0.0,11212.0,0.0,0.0,0.0,0.0,0.0,10540,both,-672.0,material_mismatch,False
TN,1998,house,9.0,6937.0,3394.0,0.0,10331.0,1.0,0.0,0.0,0.0,0.0,9948,both,-383.0,material_mismatch,False
TN,1998,house,10.0,3790.0,6540.0,0.0,10330.0,0.0,1.0,0.0,0.0,0.0,10309,both,-21.0,within_one_percent,True
TN,1998,house,11.0,0.0,5320.0,873.0,6193.0,0.0,1.0,1.0,0.0,0.0,6194,both,1.0,within_one_percent,True
TN,1998,house,12.0,0.0,8093.0,0.0,8093.0,0.0,0.0,1.0,0.0,0.0,8128,both,35.0,within_one_percent,True
TN,1998,house,13.0,3695.0,3038.0,0.0,6733.0,1.0,0.0,0.0,0.0,0.0,6733,both,0.0,exact,True
TN,1998,house,14.0,0.0,10738.0,0.0,10738.0,0.0,1.0,1.0,0.0,0.0,10738,both,0.0,exact,True
TN,1998,house,15.0,3712.0,0.0,0.0,3712.0,1.0,0.0,1.0,0.0,0.0,3325,both,-387.0,material_mismatch,False
TN,1998,house,16.0,0.0,7967.0,0.0,7967.0,0.0,1.0,1.0,0.0,0.0,7970,both,3.0,within_one_percent,True
TN,1998,house,17.0,5620.0,7297.0,0.0,12917.0,0.0,0.0,0.0,0.0,0.0,12916,both,-1.0,within_one_percent,True
TN,1998,house,18.0,0.0,7560.0,0.0,7560.0,0.0,0.0,1.0,0.0,0.0,7559,both,-1.0,within_one_percent,True
TN,1998,house,19.0,0.0,5340.0,2380.0,7720.0,0.0,1.0,1.0,0.0,1.0,7720,both,0.0,exact,True
TN,1998,house,20.0,3776.0,6324.0,0.0,10100.0,0.0,1.0,0.0,0.0,0.0,10100,both,0.0,exact,True
TN,1998,house,21.0,0.0,7513.0,0.0,7513.0,0.0,1.0,1.0,0.0,0.0,7513,both,0.0,exact,True
TN,1998,house,22.0,3926.0,6218.0,0.0,10144.0,0.0,1.0,0.0,0.0,0.0,10144,both,0.0,exact,True
