cycle,county_key,precinct_key,dem_candidate,rep_candidate,source_file,dem_votes,rep_votes
1992,AUTAUGA,ABSENTEE BALLOTS,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,158.0,335.0
1992,AUTAUGA,AUTAUGA COUNTY VOTING SITE,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,104.0,127.0
1992,AUTAUGA,AUTAUGAVILLE TOWN HALL,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,317.0,110.0
1992,AUTAUGA,BILLINGSLEY GOVERNMENTAL CENTER,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,72.0,155.0
1992,AUTAUGA,BOOTH,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,140.0,265.0
1992,AUTAUGA,CAMELLIA BAPTIST CHURCH,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,303.0,627.0
1992,AUTAUGA,COURTHOUSE,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,652.0,411.0
1992,AUTAUGA,EAST MEMORIAL BAPTIST CHURCH,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,276.0,872.0
1992,AUTAUGA,HAYNES COMMUNITY CENTER,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,56.0,107.0
1992,AUTAUGA,INDEPENDENCE TOWN HALL,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,214.0,96.0
1992,AUTAUGA,JONES COMMUNITY CENTER,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,138.0,110.0
1992,AUTAUGA,MARBURY COMMUNITY CENTER,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,184.0,285.0
1992,AUTAUGA,MULBERRY/STATESVILLE,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,205.0,57.0
1992,AUTAUGA,NATIONAL GUARD ARMORY,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,396.0,1237.0
1992,AUTAUGA,NEWTON PARK,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,390.0,1345.0
1992,AUTAUGA,OLD KINGSTON FIRE STATION,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,328.0,114.0
1992,AUTAUGA,PINE LEVEL COMMUNITY CENTER,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,450.0,1353.0
1992,AUTAUGA,PRATTMONT BAPTIST CHURCH,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,357.0,932.0
1992,AUTAUGA,WHITE CITY FIRE STATION,Bill Clinton,George H. W. Bush,AUTAUGA.XLS,79.0,177.0
1992,BALDWIN,ABSENTEE BALLOTS,Bill Clinton,George H. W. Bush,BALDWIN.XLS,376.0,920.0
1992,BALDWIN,"ACTIVITY CENTER, GULF SHORES",Bill Clinton,George H. W. Bush,BALDWIN.XLS,671.0,1728.0
1992,BALDWIN,"ALLIANCE CHURCH, LILLIAN",Bill Clinton,George H. W. Bush,BALDWIN.XLS,135.0,181.0
1992,BALDWIN,"CITY HALL, BAY MINETTE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,741.0,1736.0
1992,BALDWIN,"CITY HALL, FAIRHOPE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,1340.0,3654.0
1992,BALDWIN,"CITY HALL, ROBERTSDALE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,324.0,829.0
1992,BALDWIN,"CITY HALL, SILVERHILL",Bill Clinton,George H. W. Bush,BALDWIN.XLS,197.0,603.0
1992,BALDWIN,"CIVIC CENTER, FOLEY",Bill Clinton,George H. W. Bush,BALDWIN.XLS,731.0,1445.0
1992,BALDWIN,"COMMUNITY CENTER, BELFOREST",Bill Clinton,George H. W. Bush,BALDWIN.XLS,70.0,175.0
1992,BALDWIN,"COMMUNITY CENTER, ELLISVILLE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,151.0,48.0
1992,BALDWIN,"COMMUNITY CENTER, ELSANOR",Bill Clinton,George H. W. Bush,BALDWIN.XLS,110.0,263.0
1992,BALDWIN,"COMMUNITY CENTER, MAGNOLIA SPRINGS",Bill Clinton,George H. W. Bush,BALDWIN.XLS,320.0,674.0
1992,BALDWIN,"COMMUNITY CENTER, TENSAW",Bill Clinton,George H. W. Bush,BALDWIN.XLS,90.0,17.0
1992,BALDWIN,"COMMUNITY HALL, BARNWELL",Bill Clinton,George H. W. Bush,BALDWIN.XLS,270.0,813.0
1992,BALDWIN,"COMMUNITY HALL, LILLIAN",Bill Clinton,George H. W. Bush,BALDWIN.XLS,349.0,641.0
1992,BALDWIN,"COMMUNITY HALL, LOXLEY",Bill Clinton,George H. W. Bush,BALDWIN.XLS,234.0,676.0
1992,BALDWIN,"COMMUNITY HALL, STAPLETON",Bill Clinton,George H. W. Bush,BALDWIN.XLS,131.0,338.0
1992,BALDWIN,"COMMUNITY HALL, STOCKTON",Bill Clinton,George H. W. Bush,BALDWIN.XLS,201.0,81.0
1992,BALDWIN,"COMMUNITY HALL, SUMMERDALE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,246.0,570.0
1992,BALDWIN,"FERGUSON STORE, LITTLE RIVER",Bill Clinton,George H. W. Bush,BALDWIN.XLS,48.0,17.0
1992,BALDWIN,"FIRE HOUSE, ELBERTA",Bill Clinton,George H. W. Bush,BALDWIN.XLS,243.0,688.0
1992,BALDWIN,"FIRE HOUSE, PERDIDO BEACH",Bill Clinton,George H. W. Bush,BALDWIN.XLS,131.0,264.0
1992,BALDWIN,"FIRE HOUSE, RABUN",Bill Clinton,George H. W. Bush,BALDWIN.XLS,87.0,176.0
1992,BALDWIN,"FIRE HOUSE, SEMINOLE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,46.0,111.0
1992,BALDWIN,"FIRE HOUSE, STOCKTON",Bill Clinton,George H. W. Bush,BALDWIN.XLS,86.0,188.0
1992,BALDWIN,"FIRE STATION NO. 3, DAPHNE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,326.0,1226.0
1992,BALDWIN,"KNIGHTS OF COLUMBIA HALL, DAPHNE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,888.0,725.0
1992,BALDWIN,LITTLE RIVER RESTAURANT,Bill Clinton,George H. W. Bush,BALDWIN.XLS,19.0,20.0
1992,BALDWIN,"METHODIST CHURCH, LOTTIE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,25.0,42.0
1992,BALDWIN,"MIDDLE SCHOOL, BAY MINETTE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,392.0,64.0
1992,BALDWIN,MIFLIN COMMUNITY CENTER,Bill Clinton,George H. W. Bush,BALDWIN.XLS,57.0,117.0
1992,BALDWIN,"MUNICIPAL COMPLEX, ORANGE BEACH",Bill Clinton,George H. W. Bush,BALDWIN.XLS,330.0,941.0
1992,BALDWIN,"OLD SP. FT., BAPT. CHUR., SP. FORT",Bill Clinton,George H. W. Bush,BALDWIN.XLS,160.0,395.0
1992,BALDWIN,"RECREATION CENTER, DAPHNE",Bill Clinton,George H. W. Bush,BALDWIN.XLS,484.0,1395.0
1992,BALDWIN,"SCHOOL, BON SECOUR",Bill Clinton,George H. W. Bush,BALDWIN.XLS,124.0,302.0
